county_fips,county_name,county_pop,state_name
35023,"Hidalgo County, New Mexico",4198,New Mexico
34017,"Hudson County, New Jersey",672391,New Jersey
34019,"Hunterdon County, New Jersey",124371,New Jersey
34027,"Morris County, New Jersey",491845,New Jersey
35031,"McKinley County, New Mexico",71367,New Mexico
35043,"Sandoval County, New Mexico",146748,New Mexico
35017,"Grant County, New Mexico",26998,New Mexico
35009,"Curry County, New Mexico",48954,New Mexico
35015,"Eddy County, New Mexico",58460,New Mexico
35033,"Mora County, New Mexico",4521,New Mexico
35045,"San Juan County, New Mexico",123958,New Mexico
28009,"Benton County, Mississippi",8259,Mississippi
28037,"Franklin County, Mississippi",7713,Mississippi
28027,"Coahoma County, Mississippi",22124,Mississippi
28061,"Jasper County, Mississippi",16383,Mississippi
28067,"Jones County, Mississippi",68098,Mississippi
28147,"Walthall County, Mississippi",14286,Mississippi
28095,"Monroe County, Mississippi",35252,Mississippi
28115,"Pontotoc County, Mississippi",32174,Mississippi
28051,"Holmes County, Mississippi",17010,Mississippi
28005,"Amite County, Mississippi",12297,Mississippi
28089,"Madison County, Mississippi",106272,Mississippi
28013,"Calhoun County, Mississippi",14361,Mississippi
28091,"Marion County, Mississippi",24573,Mississippi
28141,"Tishomingo County, Mississippi",19383,Mississippi
28153,"Wayne County, Mississippi",20183,Mississippi
28041,"Greene County, Mississippi",13586,Mississippi
28093,"Marshall County, Mississippi",35294,Mississippi
28119,"Quitman County, Mississippi",6792,Mississippi
28109,"Pearl River County, Mississippi",55535,Mississippi
28079,"Leake County, Mississippi",22786,Mississippi
28099,"Neshoba County, Mississippi",29118,Mississippi
28121,"Rankin County, Mississippi",155271,Mississippi
28151,"Washington County, Mississippi",43909,Mississippi
28077,"Lawrence County, Mississippi",12586,Mississippi
28111,"Perry County, Mississippi",11973,Mississippi
28017,"Chickasaw County, Mississippi",17103,Mississippi
28015,"Carroll County, Mississippi",9947,Mississippi
28039,"George County, Mississippi",24500,Mississippi
28043,"Grenada County, Mississippi",20758,Mississippi
28063,"Jefferson County, Mississippi",6990,Mississippi
28101,"Newton County, Mississippi",21018,Mississippi
28117,"Prentiss County, Mississippi",25126,Mississippi
28125,"Sharkey County, Mississippi",4321,Mississippi
28019,"Choctaw County, Mississippi",8210,Mississippi
28045,"Hancock County, Mississippi",47632,Mississippi
28057,"Itawamba County, Mississippi",23390,Mississippi
28055,"Issaquena County, Mississippi",1327,Mississippi
28059,"Jackson County, Mississippi",143617,Mississippi
28083,"Leflore County, Mississippi",28183,Mississippi
