hex,rank,emoji,year,category,subcategory,name,source
\x{1F602},1,😂,2014,Smileys & Emotion,face-smiling,face with tears of joy,2019
\x{2764 FE0F},2,❤️,1995,Smileys & Emotion,emotion,red heart,2019
\x{1F60D},3,😍,2014,Smileys & Emotion,face-affection,smiling face with heart-eyes,2019
\x{1F923},4,🤣,2016,Smileys & Emotion,face-smiling,rolling on the floor laughing,2019
\x{1F60A},5,😊,2014,Smileys & Emotion,face-smiling,smiling face with smiling eyes,2019
\x{1F64F},6,🙏,2014,People & Body,hands,folded hands,2019
\x{1F495},7,💕,2014,Smileys & Emotion,emotion,two hearts,2019
\x{1F62D},8,😭,2014,Smileys & Emotion,face-concerned,loudly crying face,2019
\x{1F618},9,😘,2014,Smileys & Emotion,face-affection,face blowing a kiss,2019
\x{1F44D},10,👍,2014,People & Body,hand-fingers-closed,thumbs up,2019
\x{1F605},11,😅,2014,Smileys & Emotion,face-smiling,grinning face with sweat,2019
\x{1F44F},12,👏,2014,People & Body,hands,clapping hands,2019
\x{1F601},13,😁,2014,Smileys & Emotion,face-smiling,beaming face with smiling eyes,2019
\x{2665 FE0F},14,♥️,1995,Activities,game,heart suit,2019
\x{1F525},15,🔥,2015,Travel & Places,sky & weather,fire,2019
\x{1F970},16,🥰,2018,Smileys & Emotion,face-affection,smiling face with hearts,2019
\x{1F494},17,💔,2014,Smileys & Emotion,emotion,broken heart,2019
\x{1F496},18,💖,2014,Smileys & Emotion,emotion,sparkling heart,2019
\x{1F499},19,💙,2014,Smileys & Emotion,emotion,blue heart,2019
\x{1F622},20,😢,2014,Smileys & Emotion,face-concerned,crying face,2019
\x{1F914},21,🤔,2015,Smileys & Emotion,face-hand,thinking face,2019
\x{1F606},22,😆,2014,Smileys & Emotion,face-smiling,grinning squinting face,2019
\x{1F644},23,🙄,2014,Smileys & Emotion,face-neutral-skeptical,face with rolling eyes,2019
\x{1F4AA},24,💪,2014,People & Body,body-parts,flexed biceps,2019
