table_name,column_name,data_type,n_with_data,n_distinct,pct_unique,pct_with_data
cpcms_alias_data,defendant_name,VARCHAR,2643172,1178994,0.4460526972894689,0.9999822186508194
cpcms_alias_data,docket_number,VARCHAR,2643219,767174,0.29024231439014325,1
cpcms_alias_data,otn,VARCHAR,2634278,741411,0.2814475161695159,0.99661738206331
cpcms_attorney_data,address,VARCHAR,4031373,28139,0.006980004082976197,1
cpcms_attorney_data,attorney_name,VARCHAR,4031373,17317,0.0042955588579870925,1
cpcms_attorney_data,attorney_status,VARCHAR,4031373,3,7.44163340876669e-7,1
cpcms_attorney_data,attorney_status_date,VARCHAR,4031373,1154109,0.2862818697252772,1
cpcms_attorney_data,city,VARCHAR,3652672,1534,4.1996653408792246e-4,0.9060615328822215
cpcms_attorney_data,docket_number,VARCHAR,4031373,1467912,0.36412209934431766,1
cpcms_attorney_data,otn,VARCHAR,4025823,1393788,0.34621194225379504,0.9986232978193782
cpcms_attorney_data,representation_date,VARCHAR,4026604,1055385,0.262103002927529,0.998817028342453
cpcms_attorney_data,representation_type,VARCHAR,4031373,35,8.68190564356114e-6,1
cpcms_attorney_data,state,VARCHAR,3653375,47,1.2864816779005713e-5,0.9062359151584336
cpcms_attorney_data,supreme_court_number,VARCHAR,2584068,14585,0.005644201313587723,0.6409895586441642
cpcms_attorney_data,zip_code,VARCHAR,3652074,5904,0.0016166156545568354,0.9059131963229401
cpcms_bail_action_data,bail_action,VARCHAR,2161741,19,8.789212028638028e-6,1
cpcms_bail_action_data,bail_action_authority,VARCHAR,2161730,2074,9.594167634255897e-4,0.9999949115088256
cpcms_bail_action_data,bail_action_created_system,VARCHAR,2132252,612,2.870204835075779e-4,0.986358680341447
cpcms_bail_action_data,bail_action_date,VARCHAR,2161192,1813937,0.8393224664907144,0.9997460380313831
cpcms_bail_action_data,bail_identifier,VARCHAR,2161741,1456866,0.6739317984901985,1
cpcms_bail_action_data,bail_percentage,VARCHAR,453480,10,2.205168915938961e-5,0.20977536161825122
cpcms_bail_action_data,bail_set_amount,DOUBLE,2161741,1430,6.615038526817042e-4,1
cpcms_bail_action_data,bail_type,VARCHAR,2127626,8,3.7600593337362863e-6,0.9842187385075271
cpcms_bail_action_data,docket_number,VARCHAR,2161741,1359849,0.6290526941016523,1
cpcms_bail_action_data,otn,VARCHAR,2161498,1290947,0.5972464466772581,0.9998875906040547
cpcms_bail_post_data,bail_identifier,VARCHAR,639361,587696,0.9191927565178358,1
cpcms_bail_post_data,bail_post_created_system,VARCHAR,629837,608,9.653291248370611e-4,0.9851038771523443
cpcms_bail_post_data,bail_posting_status,VARCHAR,639361,4,6.256246471085975e-6,1
cpcms_bail_post_data,bail_posting_status_date,VARCHAR,639361,390572,0.6108786741762479,1
cpcms_bail_post_data,docket_number,VARCHAR,639361,567379,0.8874157166295723,1
cpcms_bail_post_data,otn,VARCHAR,639220,547990,0.8572791840055067,0.9997794673118943
cpcms_bail_post_data,security_amount,DOUBLE,639298,816,0.0012764000513062765,0.9999014641180803
cpcms_bail_post_data,security_type,VARCHAR,639298,14,2.1899020488097884e-5,0.9999014641180803
cpcms_bail_post_data,surety_name,VARCHAR,639290,342401,0.5355957390229786,0.9998889516251382
cpcms_bail_post_data,surety_type,VARCHAR,637691,7,1.0977103330609967e-5,0.9973880170983216
cpcms_calendar_event_data,attending_judge,VARCHAR,8483284,1059,1.24833731842527e-4,0.7871158195240869
cpcms_calendar_event_data,calendar_event_date,VARCHAR,10777682,7746,7.187074177916922e-4,1
cpcms_calendar_event_data,calendar_event_location,VARCHAR,9824954,493,5.017835198007034e-5,0.9116017711415126
cpcms_calendar_event_data,calendar_event_type,VARCHAR,10777682,1597,1.4817657451760035e-4,1
cpcms_calendar_event_data,docket_number,VARCHAR,10777682,1424597,0.13218027772576701,1
cpcms_calendar_event_data,otn,VARCHAR,10767280,1350185,0.12539703620598702,0.9990348574025473
cpcms_calendar_event_data,schedule_status,VARCHAR,10777672,6,5.567064946864221e-7,0.999999072156703
cpcms_case_data,arrest_date,VARCHAR,831699,17693,0.021273321237611203,0.5573265715160681
cpcms_case_data,case_status,VARCHAR,1492301,5,3.3505304894924013e-6,1
cpcms_case_data,county,VARCHAR,1492301,67,4.489710855919818e-5,1
cpcms_case_data,defendant_dob,DATE,1489703,23818,0.015988421853215036,0.9982590643576598
cpcms_case_data,defendant_gender,VARCHAR,1490435,3,2.012835178991368e-6,0.9987495820213215
cpcms_case_data,defendant_name,VARCHAR,1492301,837844,0.5614443734876543,1
cpcms_case_data,defendant_race,VARCHAR,1486811,8,5.3806435384188035e-6,0.9963211175225374
