year,film,category,winner,has_indicators,name,mpaa_rating,rating_imdb,rating_rtaudience,rating_rtcritic,release_date,format,genre_action,genre_adventure,genre_biography,genre_comedy,genre_crime,genre_drama,genre_family,genre_fantasy,genre_filmnoir,genre_history,genre_horror,genre_music,genre_mystery,genre_romance,genre_sci-fi,genre_sport,genre_thriller,genre_war,genre_western
1961,The Horse With The Flying Tail,DOCUMENTARY (Feature),1,TRUE,"Larry Lansburgh, Producer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1961,Rebel In Paradise,DOCUMENTARY (Feature),0,TRUE,"Robert D. Fraser, Producer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1961,Beyond Silence,DOCUMENTARY (Short Subject),0,TRUE,United States Information Agency,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1961,A City Called Copenhagen,DOCUMENTARY (Short Subject),0,TRUE,"Statens Filmcentral, The Danish Government Film Office",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1961,George Grosz' Interregnum,DOCUMENTARY (Short Subject),0,TRUE,"Charles Carey and Altina Carey, Producers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1961,Giuseppina,DOCUMENTARY (Short Subject),1,TRUE,"James Hill, Producer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1961,Universe,DOCUMENTARY (Short Subject),0,TRUE,"Colin Low, Producer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1961,Kapo,INTERNATIONAL FEATURE FILM,0,TRUE,Italy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1961,La Vérité,INTERNATIONAL FEATURE FILM,0,TRUE,France,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1961,Macario,INTERNATIONAL FEATURE FILM,0,TRUE,Mexico,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1961,The Ninth Circle,INTERNATIONAL FEATURE FILM,0,TRUE,Yugoslavia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1961,The Virgin Spring,INTERNATIONAL FEATURE FILM,1,TRUE,Sweden,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1961,The Alamo,MUSIC (Original Score),0,TRUE,Dimitri Tiomkin,UNRATED,6.9,64,50,1960-10-24,NA,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
1961,Elmer Gantry,MUSIC (Original Score),0,TRUE,Andre Previn,APPROVED,7.9,86,96,1960-07-01,NA,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1961,Exodus,MUSIC (Original Score),1,TRUE,Ernest Gold,APPROVED,6.8,70,64,1961-01-02,NA,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
1961,The Magnificent Seven,MUSIC (Original Score),0,TRUE,Elmer Bernstein,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1961,Spartacus,MUSIC (Original Score),0,TRUE,Alex North,PG-13,7.9,87,96,1960-11-17,NA,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1961,Bells Are Ringing,MUSIC (Original Song Score or Adaptation Score),0,TRUE,Andre Previn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1961,Can-Can,MUSIC (Original Song Score or Adaptation Score),0,TRUE,Nelson Riddle,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1961,Let's Make Love,MUSIC (Original Song Score or Adaptation Score),0,TRUE,"Lionel Newman, Earle H. Hagen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1961,Pepe,MUSIC (Original Song Score or Adaptation Score),0,TRUE,Johnny Green,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1961,Song Without End (The Story Of Franz Liszt),MUSIC (Original Song Score or Adaptation Score),1,TRUE,"Morris Stoloff, Harry Sukman",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
