route,location,url,avg_stars,route_type,rating,pitches,length,y,x
Dime Crack,Trailside Boulder > Trailside Area > West Side Boulders > Rumbling Bald Bouldering > Rumbling Bald > 1. Southern Mountains Region > North Carolina,https://www.mountainproject.com/route/106967927/dime-crack,3.6,Boulder,V4+,1,15,35.44919,-82.21852
XXX,XXX Boulder > The Valley Boulderfield > Moore's Wall (Bouldering) > Hanging Rock State Park > 3. Piedmont Region > North Carolina,https://www.mountainproject.com/route/108527294/xxx,3.6,Boulder,V4,1,NA,36.40087,-80.28441
Rotator Cuff (sit),Cave Boulder > West Side Boulders > Rumbling Bald Bouldering > Rumbling Bald > 1. Southern Mountains Region > North Carolina,https://www.mountainproject.com/route/106615473/rotator-cuff-sit,3.6,Boulder,V5-6,1,15,35.45016,-82.21828
Brackish One,Brackish Boulder > East Side Boulders > Rumbling Bald Bouldering > Rumbling Bald > 1. Southern Mountains Region > North Carolina,https://www.mountainproject.com/route/106650459/brackish-one,3.5,Boulder,V4,1,NA,35.44861,-82.21211
The Helicopter sds,Washing Machine Boulder > West Side Boulders > Rumbling Bald Bouldering > Rumbling Bald > 1. Southern Mountains Region > North Carolina,https://www.mountainproject.com/route/106968883/the-helicopter-sds,3,Boulder,V4-5,1,10,35.34877,-82.16269
Driver,Driver Boulder > East Side Boulders > Rumbling Bald Bouldering > Rumbling Bald > 1. Southern Mountains Region > North Carolina,https://www.mountainproject.com/route/106650450/driver,3.4,Boulder,V4,1,NA,35.44874,-82.21236
Proper Modulation,Proper Modulation Boulder > The Valley Boulderfield > Moore's Wall (Bouldering) > Hanging Rock State Park > 3. Piedmont Region > North Carolina,https://www.mountainproject.com/route/108527314/proper-modulation,3.8,Boulder,V6,1,NA,36.40048,-80.28448
Kung Fu Grip,Cave Boulder > West Side Boulders > Rumbling Bald Bouldering > Rumbling Bald > 1. Southern Mountains Region > North Carolina,https://www.mountainproject.com/route/106615419/kung-fu-grip,3.3,Boulder,V5,1,15,35.45016,-82.21828
Stickman,Stickman Boulder > Central Area > Sentinel Buttress Boulderfield > Moore's Wall (Bouldering) > Hanging Rock State Park > 3. Piedmont Region > North Carolina,https://www.mountainproject.com/route/108182981/stickman,3.8,Boulder,V5,1,25,36.39688,-80.2877
The Campus Problem,Trailside Boulder > Trailside Area > West Side Boulders > Rumbling Bald Bouldering > Rumbling Bald > 1. Southern Mountains Region > North Carolina,https://www.mountainproject.com/route/106968889/the-campus-problem,2.8,Boulder,V5-,1,15,35.44919,-82.21852
Pit BBQ,The Pit > East Side Boulders > Rumbling Bald Bouldering > Rumbling Bald > 1. Southern Mountains Region > North Carolina,https://www.mountainproject.com/route/107439819/pit-bbq,3.8,Boulder,V6,1,15,35.44897,-82.2143
Sleeping in the Devil's Bed,Devil Boulder > West Side Boulders > Rumbling Bald Bouldering > Rumbling Bald > 1. Southern Mountains Region > North Carolina,https://www.mountainproject.com/route/106971331/sleeping-in-the-devils-bed,3.5,Boulder,V5,1,15,35.44977,-82.21876
The Green Knob (sit),Cave Boulder > West Side Boulders > Rumbling Bald Bouldering > Rumbling Bald > 1. Southern Mountains Region > North Carolina,https://www.mountainproject.com/route/106615455/the-green-knob-sit,3.5,Boulder,V7-,1,15,35.45016,-82.21828
French Maid,French Maid Area > West Side Boulders > Rumbling Bald Bouldering > Rumbling Bald > 1. Southern Mountains Region > North Carolina,https://www.mountainproject.com/route/107284155/french-maid,3.8,Boulder,V7,1,12,35.45007,-82.21986
11:11,Washing Machine Boulder > West Side Boulders > Rumbling Bald Bouldering > Rumbling Bald > 1. Southern Mountains Region > North Carolina,https://www.mountainproject.com/route/108052720/1111,3.6,Boulder,V7,1,NA,35.34877,-82.16269
