route,location,url,avg_stars,route_type,rating,pitches,length,y,x
Zoo View,Circus Wall > Sentinel Buttress > Moore's Wall (Routes) > Hanging Rock State Park > 3. Piedmont Region > North Carolina,https://www.mountainproject.com/route/105932744/zoo-view,3.8,Trad,5.7+,2,220,36.3973,-80.2861
Dopey Duck,Shortoff Mountain > Linville Gorge > 2. Northern Mountains Region > North Carolina,https://www.mountainproject.com/route/105969252/dopey-duck,3.8,Trad,5.9,3,350,35.83139,-81.90257
The Nose,Nose Area > Looking Glass Rock > 1. Southern Mountains Region > North Carolina,https://www.mountainproject.com/route/105874396/the-nose,3.5,Trad,5.8,4,400,35.30474,-82.79538
Air Show,Circus Wall > Sentinel Buttress > Moore's Wall (Routes) > Hanging Rock State Park > 3. Piedmont Region > North Carolina,https://www.mountainproject.com/route/106337238/air-show,3.8,Trad,5.9-,2,180,36.3973,-80.2861
White Lightning,Table Rock > Linville Gorge > 2. Northern Mountains Region > North Carolina,https://www.mountainproject.com/route/105925472/white-lightning,3.6,Trad,5.8+,2,200,35.88831,-81.88519
Frosted Flake,Cereal Buttress > Rumbling Bald > 1. Southern Mountains Region > North Carolina,https://www.mountainproject.com/route/105899306/frosted-flake,3.6,Trad,5.9+,1,80,35.44953,-82.21258
Boardwalk,Main Tier > Ship Rock > 2. Northern Mountains Region > North Carolina,https://www.mountainproject.com/route/105887636/boardwalk,3.7,Trad,5.8,2,130,36.099,-81.7815
Airlie Gardens,Main Tier > Ship Rock > 2. Northern Mountains Region > North Carolina,https://www.mountainproject.com/route/106803462/airlie-gardens,3.6,Trad,5.9,2,130,36.099,-81.7815
Fruit Loops,Cereal Buttress > Rumbling Bald > 1. Southern Mountains Region > North Carolina,https://www.mountainproject.com/route/105898439/fruit-loops,3.5,Trad,5.7+,2,160,35.44953,-82.21258
Construction Job,Shortoff Mountain > Linville Gorge > 2. Northern Mountains Region > North Carolina,https://www.mountainproject.com/route/105940162/construction-job,3.6,Trad,5.9,3,400,35.83139,-81.90257
Maginot Line,Shortoff Mountain > Linville Gorge > 2. Northern Mountains Region > North Carolina,https://www.mountainproject.com/route/106039706/maginot-line,3.5,Trad,5.7,4,300,35.83139,-81.90257
Paradise Alley,Shortoff Mountain > Linville Gorge > 2. Northern Mountains Region > North Carolina,https://www.mountainproject.com/route/106174037/paradise-alley,3.5,Trad,5.8+,4,450,35.83139,-81.90257
Comatose,Comatose Area > Rumbling Bald > 1. Southern Mountains Region > North Carolina,https://www.mountainproject.com/route/105937288/comatose,3.4,Trad,5.8,1,100,35.4499,-82.21438
Sundial Crack,Nose Area > Looking Glass Rock > 1. Southern Mountains Region > North Carolina,https://www.mountainproject.com/route/105891892/sundial-crack,3.3,Trad,5.8-,4,430,35.30474,-82.79538
Edge of a Dream,Upper Tier > Ship Rock > 2. Northern Mountains Region > North Carolina,https://www.mountainproject.com/route/106135677/edge-of-a-dream,3.3,Trad,5.7,1,70,36.09856,-81.80133
Rat's Ass,South Side > Looking Glass Rock > 1. Southern Mountains Region > North Carolina,https://www.mountainproject.com/route/105939182/rats-ass,3.2,Trad,5.8+,3,300,35.30054,-82.79229
Gemini Crack,South Side > Looking Glass Rock > 1. Southern Mountains Region > North Carolina,https://www.mountainproject.com/route/105939175/gemini-crack,3.2,Trad,5.8,2,200,35.30054,-82.79229
Second Coming,South Side > Looking Glass Rock > 1. Southern Mountains Region > North Carolina,https://www.mountainproject.com/route/105874379/second-coming,3,Trad,5.7,2,300,35.30054,-82.79229
Unfinished Concerto,South Side > Looking Glass Rock > 1. Southern Mountains Region > North Carolina,https://www.mountainproject.com/route/105950764/unfinished-concerto,3.1,Trad,5.9+,3,300,35.30054,-82.79229
The Pulpit,Stone Mountain South Face > Stone Mountain > 3. Piedmont Region > North Carolina,https://www.mountainproject.com/route/105894448/the-pulpit,3.1,Trad,5.8,5,800,36.3916,-81.0473
Caterpillar,04. David's Castle Wall > Main Climbing Areas > Crowders Mountain > 3. Piedmont Region > North Carolina,https://www.mountainproject.com/route/106101415/caterpillar,3.2,"Trad, TR",5.7+,1,80,35.2331,-81.2745
Crackerjack,Table Rock > Linville Gorge > 2. Northern Mountains Region > North Carolina,https://www.mountainproject.com/route/105925443/crackerjack,3.1,Trad,5.8,2,200,35.88831,-81.88519
Hindu Kush,Main Tier > Ship Rock > 2. Northern Mountains Region > North Carolina,https://www.mountainproject.com/route/105941036/hindu-kush,3.1,Trad,5.8,2,180,36.099,-81.7815
Lost at Sea,Upper Tier > Ship Rock > 2. Northern Mountains Region > North Carolina,https://www.mountainproject.com/route/106135806/lost-at-sea,3.1,Trad,5.8,1,70,36.09856,-81.80133
Seconds,Laurel Knob > 1. Southern Mountains Region > North Carolina,https://www.mountainproject.com/route/105899475/seconds,3.3,Trad,5.9,7,1100,35.15026,-83.0564
Chicken Bone,14. Parking Lot > Pilot Mountain > 3. Piedmont Region > North Carolina,https://www.mountainproject.com/route/106101924/chicken-bone,3,"Trad, Sport, TR",5.8,1,90,36.33961,-80.48101
Almost Seven (aka Golden Earring),The Amphitheater > Moore's Wall (Routes) > Hanging Rock State Park > 3. Piedmont Region > North Carolina,https://www.mountainproject.com/route/106019633/almost-seven-aka-golden-earring,2.9,Trad,5.7,1,120,36.39954,-80.28241
Granola,Cereal Buttress > Rumbling Bald > 1. Southern Mountains Region > North Carolina,https://www.mountainproject.com/route/105923513/granola,2.9,Trad,5.8+,1,70,35.44953,-82.21258
Slippin' into Darkness,Table Rock > Linville Gorge > 2. Northern Mountains Region > North Carolina,https://www.mountainproject.com/route/105882386/slippin-into-darkness,3,Trad,5.9,1,70,35.88831,-81.88519
Pole Dancing,08. Amphitheater > Pilot Mountain > 3. Piedmont Region > North Carolina,https://www.mountainproject.com/route/108364371/pole-dancing,2.9,Sport,5.7,1,60,36.34013,-80.48401
First Return,South Side > Looking Glass Rock > 1. Southern Mountains Region > North Carolina,https://www.mountainproject.com/route/105950799/first-return,2.9,Trad,5.8,1,200,35.30054,-82.79229
Crackin' Up,08. Amphitheater > Pilot Mountain > 3. Piedmont Region > North Carolina,https://www.mountainproject.com/route/106101938/crackin-up,2.9,Trad,5.7,1,50,36.34013,-80.48401
Opinionated,06. Red Wall > Main Climbing Areas > Crowders Mountain > 3. Piedmont Region > North Carolina,https://www.mountainproject.com/route/106100002/opinionated,2.8,Sport,5.9,1,60,35.23437,-81.27357
Bumblebee Butress,North Carolina Wall > Linville Gorge > 2. Northern Mountains Region > North Carolina,https://www.mountainproject.com/route/105972319/bumblebee-butress,3.5,Trad,5.8,4,450,35.87662,-81.89174
Hidden Crack,Table Rock > Linville Gorge > 2. Northern Mountains Region > North Carolina,https://www.mountainproject.com/route/106456174/hidden-crack,2.9,Trad,5.7,4,400,35.88831,-81.88519
Nutsweat,North End > Moore's Wall (Routes) > Hanging Rock State Park > 3. Piedmont Region > North Carolina,https://www.mountainproject.com/route/106820188/nutsweat,3.6,Trad,5.9+,1,110,36.40055,-80.27884
Block Route,Stone Mountain South Face > Stone Mountain > 3. Piedmont Region > North Carolina,https://www.mountainproject.com/route/105929999/block-route,2.7,Trad,5.7+ PG13,1,150,36.3916,-81.0473
Ooga Chocka,03. David's Castle (backside) > Main Climbing Areas > Crowders Mountain > 3. Piedmont Region > North Carolina,https://www.mountainproject.com/route/106101407/ooga-chocka,2.7,"Trad, TR",5.8,1,70,35.23304,-81.27463
Borrowed Time,Main Tier > Ship Rock > 2. Northern Mountains Region > North Carolina,https://www.mountainproject.com/route/105887642/borrowed-time,2.7,Trad,5.9,1,60,36.099,-81.7815
Short Crack,Short Crack Boulder > West Side Boulders > Rumbling Bald Bouldering > Rumbling Bald > 1. Southern Mountains Region > North Carolina,https://www.mountainproject.com/route/106923905/short-crack,2.9,Boulder,5.8- V2-,1,10,35.44986,-82.21903
Black Rain,09. Black Rain Wall > Pilot Mountain > 3. Piedmont Region > North Carolina,https://www.mountainproject.com/route/106101931/black-rain,2.7,Sport,5.9,1,80,36.33998,-80.48373
Holy Guacamole,Trundlasaurus Wall > 07. Resurgence Walls > Main Climbing Areas > Crowders Mountain > 3. Piedmont Region > North Carolina,https://www.mountainproject.com/route/106246828/holy-guacamole,2.6,Sport,5.8,1,50,35.23608,-81.27274
Raise Hell,The Amphitheater > Moore's Wall (Routes) > Hanging Rock State Park > 3. Piedmont Region > North Carolina,https://www.mountainproject.com/route/106480040/raise-hell,2.9,Trad,5.8,1,120,36.39954,-80.28241
Howdy Dude,06. Three Bears > Pilot Mountain > 3. Piedmont Region > North Carolina,https://www.mountainproject.com/route/106106865/howdy-dude,2.6,TR,5.7,1,60,36.34011,-80.48519
The Fin,Little Wilson > 2. Northern Mountains Region > North Carolina,https://www.mountainproject.com/route/107265638/the-fin,2.6,Sport,5.9+,1,45,36.0885,-81.79303
Great White Way,Stone Mountain South Face > Stone Mountain > 3. Piedmont Region > North Carolina,https://www.mountainproject.com/route/106397899/great-white-way,3.6,Trad,5.9,3,250,36.3916,-81.0473
Lichen Worms,Middle Hawksbill > Hawksbill Mtn > Linville Gorge > 2. Northern Mountains Region > North Carolina,https://www.mountainproject.com/route/107614682/lichen-worms,3.2,"Trad, Sport",5.8+,1,100,35.91263,-81.88769
U Slot,Stone Mountain South Face > Stone Mountain > 3. Piedmont Region > North Carolina,https://www.mountainproject.com/route/105887741/u-slot,2.4,Trad,5.7+ PG13,1,140,36.3916,-81.0473
Peregrine,Nose Area > Looking Glass Rock > 1. Southern Mountains Region > North Carolina,https://www.mountainproject.com/route/105950734/peregrine,2.8,Trad,5.9,4,450,35.30474,-82.79538
Bear Cub,Flakeview Area > Rumbling Bald > 1. Southern Mountains Region > North Carolina,https://www.mountainproject.com/route/106065537/bear-cub,2.3,Sport,5.8-,1,75,35.45193,-82.21857
Step,The Amphitheater > Moore's Wall (Routes) > Hanging Rock State Park > 3. Piedmont Region > North Carolina,https://www.mountainproject.com/route/106582189/step,3.2,Trad,5.8+,1,140,36.39954,-80.28241
Is This How You Clip?  AKA: Douglas's Excellent Adventure,The Dump aka Warpin and Dorphin (Routes) > The Dump > 2. Northern Mountains Region > North Carolina,https://www.mountainproject.com/route/107989279/is-this-how-you-clip-aka-douglass-excellent-adventure,2.3,"Sport, TR",5.7,1,50,36.09709,-81.7719
Turkey Shoot,08. Amphitheater > Pilot Mountain > 3. Piedmont Region > North Carolina,https://www.mountainproject.com/route/106101943/turkey-shoot,2.3,Sport,5.8,1,50,36.34013,-80.48401
Bloody Crack,South Side > Looking Glass Rock > 1. Southern Mountains Region > North Carolina,https://www.mountainproject.com/route/105874179/bloody-crack,2.3,Trad,5.8+,3,300,35.30054,-82.79229
Mild Mannered Secretary,08. Amphitheater > Pilot Mountain > 3. Piedmont Region > North Carolina,https://www.mountainproject.com/route/106101952/mild-mannered-secretary,2.3,Sport,5.7,1,50,36.34013,-80.48401
Unknown 5.8 (splitter hand crack),Cereal Buttress > Rumbling Bald > 1. Southern Mountains Region > North Carolina,https://www.mountainproject.com/route/107015382/unknown-58-splitter-hand-crack,2.7,Trad,5.8,1,70,35.44953,-82.21258
Second Stanza,Table Rock > Linville Gorge > 2. Northern Mountains Region > North Carolina,https://www.mountainproject.com/route/106285720/second-stanza,3.1,Trad,5.9,4,250,35.88831,-81.88519
Flight Time,Section 4 > Rocky Face Recreational Area > 3. Piedmont Region > North Carolina,https://www.mountainproject.com/route/108556815/flight-time,2.8,Sport,5.7+,1,NA,35.96367,-81.11972
Grand Funk Railroad,Stone Mountain South Face > Stone Mountain > 3. Piedmont Region > North Carolina,https://www.mountainproject.com/route/106311253/grand-funk-railroad,3.5,Trad,5.9-,5,600,36.3916,-81.0473
Left Up,South Side > Looking Glass Rock > 1. Southern Mountains Region > North Carolina,https://www.mountainproject.com/route/105950776/left-up,2.2,Trad,5.8,1,80,35.30054,-82.79229
The Gift,Flakeview Area > Rumbling Bald > 1. Southern Mountains Region > North Carolina,https://www.mountainproject.com/route/106065494/the-gift,2.6,"Trad, Sport",5.7,1,125,35.45193,-82.21857
Sunny Day,Section 2 > Rocky Face Recreational Area > 3. Piedmont Region > North Carolina,https://www.mountainproject.com/route/108540528/sunny-day,2.7,Sport,5.8,1,50,35.96386,-81.12042
Walk The Plank,Upper Tier > Ship Rock > 2. Northern Mountains Region > North Carolina,https://www.mountainproject.com/route/106926973/walk-the-plank,2.8,Trad,5.8,1,80,36.09856,-81.80133
