106923851,Description,Climb flakes a large curving crack.,Description`Climb flakes a large curving crack.
106923851,Location,Southeast side of the boulder.,Location`Southeast side of the boulder.
106923851,Protection,Boulder Pad(s).,Protection`Boulder Pad(s).
106924367,Description,Sit start on small edges and climb the face to an interesting top out of the nicely named hold.,Description`Sit start on small edges and climb the face to an interesting top out of the nicely named hold.
106924367,Location,"Shady Grove boulder, north side.","Location`Shady Grove boulder, north side."
106924367,Protection,Pad.,Protection`Pad.
106700575,Description,Start matched on small crimp rail.  Climb up to jug and continue to the top.,Description`Start matched on small crimp rail.  Climb up to jug and continue to the top.
106700575,Location,Cave Boulder,Location`Cave Boulder
106700575,Protection,Pad.,Protection`Pad.
106923897,Description,Climb the slabby face beginning from the long horizontal crack.,Description`Climb the slabby face beginning from the long horizontal crack.
106923897,Location,Center of the Northeast side.,Location`Center of the Northeast side.
106923897,Protection,Boulder pad(s).,Protection`Boulder pad(s).
106923905,Description,Climb the hand-sized splitter crack.,Description`Climb the hand-sized splitter crack.
106923905,Location,South side of boulder.,Location`South side of boulder.
106923905,Protection,Boulder pad(s),Protection`Boulder pad(s)
108548398,Description,"This is obvious highball up the center of the overhang. I've heard stories of several broken ankles so pad it up, get psyched and don't fall.","Description`This is obvious highball up the center of the overhang. I've heard stories of several broken ankles so pad it up, get psyched and don't fall."
108548398,Protection,4 pads would take some of the edge off.,Protection`4 pads would take some of the edge off.
107074873,Description,"For many this is the most classic and coveted V3 in the High Country.   This beauty goes from the stand start in the center of the wall just left of Flagyl. The start is probably the crux, going off of a crimp with a high right foot and matching on a jug rail. Then jugs to a easy(ish) top out.","Description`For many this is the most classic and coveted V3 in the High Country.   This beauty goes from the stand start in the center of the wall just left of Flagyl. The start is probably the crux, going off of a crimp with a high right foot and matching on a jug rail. Then jugs to a easy(ish) top out."
107074873,Protection,Crash pads and spotters.,Protection`Crash pads and spotters.
106615393,Description,Left problem on the shady side of the warm up wall.  SDS on low holds generally trending up and right.  Finish straight up with a crimpy crux just before the lip.,Description`Left problem on the shady side of the warm up wall.  SDS on low holds generally trending up and right.  Finish straight up with a crimpy crux just before the lip.
106615393,Location,Right side of the shady side of the warm up boulder.,Location`Right side of the shady side of the warm up boulder.
106615393,Protection,Good Landing,Protection`Good Landing
114186546,Description,Sit start and two longer moves that tops out over easy slab.,Description`Sit start and two longer moves that tops out over easy slab.
114186546,Location,Right corner of the Trailside Boulder,Location`Right corner of the Trailside Boulder
114186546,Protection,Pad,Protection`Pad
106652741,Description,"Follow the off-width, overhanging crack making use of some hidden crimps along the way to the top.  Great problem to practice chicken winging on.","Description`Follow the off-width, overhanging crack making use of some hidden crimps along the way to the top.  Great problem to practice chicken winging on."
106652741,Location,"Next to the pit boulder down below the Cereal Buttress.  There is a nice flat landing, and the boulder is marked by the obvious wide crack.","Location`Next to the pit boulder down below the Cereal Buttress.  There is a nice flat landing, and the boulder is marked by the obvious wide crack."
106652741,Protection,Pads,Protection`Pads
108526195,Description,Follow the crack to the left until the end of the overhang and top it out. The crux is generally just finding feet.  You can walk down to the right along the ledge.,Description`Follow the crack to the left until the end of the overhang and top it out. The crux is generally just finding feet.  You can walk down to the right along the ledge.
108526195,Location,Starts on the right side of masterlock boulder on a good hold at the bottom of the crack.,Location`Starts on the right side of masterlock boulder on a good hold at the bottom of the crack.
108526195,Protection,Pads,Protection`Pads
106286589,Description,Up the lieback rail to a slopey mantel top out.,Description`Up the lieback rail to a slopey mantel top out.
106286589,Protection,Soft Landing,Protection`Soft Landing
108182992,Description,Start on a triangle pinch with a heel hook and move up through crystal jugs to pull over the lip,Description`Start on a triangle pinch with a heel hook and move up through crystal jugs to pull over the lip
108182992,Location,"Walk down the trail past the second large boulder(with an overhanging face), and walk across the face until you find the overhanging prow.","Location`Walk down the trail past the second large boulder(with an overhanging face), and walk across the face until you find the overhanging prow."
108182992,Protection,One pad is all you need,Protection`One pad is all you need
107726854,Description,The crack is on for this variation. Look for feet on the face to make the crux easier,Description`The crack is on for this variation. Look for feet on the face to make the crux easier
107726854,Protection,Pad and a friend to move it for long traverse,Protection`Pad and a friend to move it for long traverse
107726919,Description,"Route starts on the jugs in the middle of the formation then goes through the crack in the middle. If you know how to jam it will be much easier. After jam, grab left or to sharp hold in straight up.  Fight for jugs at over lip","Description`Route starts on the jugs in the middle of the formation then goes through the crack in the middle. If you know how to jam it will be much easier. After jam, grab left or to sharp hold in straight up.  Fight for jugs at over lip"
107726919,Location,Middle of formation,Location`Middle of formation
107726919,Protection,pad,Protection`pad
107704884,Description,To stick to the V3 rating stick to the face (not the juggy crack) and head straight up,Description`To stick to the V3 rating stick to the face (not the juggy crack) and head straight up
107704884,Location,Roof side of boulder,Location`Roof side of boulder
107704884,Protection,pad,Protection`pad
106615353,Description,"First boulder problem on the shady warm up wall.  This boulder is sometimes referred to as the ladder boulder, since the horizontal holds trace a ladder to the top.  This is the leftmost boulder problem.  Make a hard move off the ground, or start on the standing hold (V0), move up towards the scoop and make an interesting mantle.","Description`First boulder problem on the shady warm up wall.  This boulder is sometimes referred to as the ladder boulder, since the horizontal holds trace a ladder to the top.  This is the leftmost boulder problem.  Make a hard move off the ground, or start on the standing hold (V0), move up towards the scoop and make an interesting mantle."
106615353,Location,"Shady side of the boulder, far left problem on warm up wall.","Location`Shady side of the boulder, far left problem on warm up wall."
106615353,Protection,Good Landing,Protection`Good Landing
106924011,Description,Climb the right side of the large hueco and large jugs to the top.,Description`Climb the right side of the large hueco and large jugs to the top.
106924011,Location,right of Homer on the right side of the heart-shaped hueco.,Location`right of Homer on the right side of the heart-shaped hueco.
106924011,Protection,Boulder pad(s).,Protection`Boulder pad(s).
106968874,Description,"Fun. This is the original, natural line. Stand start at the Bald's biggest hold, climb the over hanging face, and roll over onto the upper slab. Top out or jump down via The Bowl.","Description`Fun. This is the original, natural line. Stand start at the Bald's biggest hold, climb the over hanging face, and roll over onto the upper slab. Top out or jump down via The Bowl."
106968874,Location,You will see the huge jug.,Location`You will see the huge jug.
106968874,Protection,"Good landing, however getting down after the top out can be interesting.","Protection`Good landing, however getting down after the top out can be interesting."
106615401,Description,Start on the jug in the cave and traverse out and under the tree with some long reaches along the way.  Finish up on the crimpy finish to Unknown V1 just to the left.,Description`Start on the jug in the cave and traverse out and under the tree with some long reaches along the way.  Finish up on the crimpy finish to Unknown V1 just to the left.
106615401,Location,"Start in the obvious cave on the huge, heavily chalked jug.","Location`Start in the obvious cave on the huge, heavily chalked jug."
