route_id,route,location,url,avg_stars,rating,rating_simple,rating_int,pitches,length,x,y,region_1,region_2,region_3,region_4,x_diff,y_diff,description,protection,text,bad_tags,feature_tags,other_tags,skill,good_tags,bad_ind,good_ind,fun_ind,pretty_ind,boulder_ind,rope_ind,trad_ind,sport_ind,tr_ind
107508292,Carolina Bamboo,1. Southern Mountains Region > 107 Boulders > Front Door Boulder,https://www.mountainproject.com/route/107508292/carolina-bamboo,3.4,V3,v3,3,1,15,-83.13872,35.19565,1. Southern Mountains Region,107 Boulders,Front Door Boulder,NA,0,0,"Sit start in middle of face, up on sidepulls, trend left on slopey ledge, big move to horn, keep it together for the mantle.",Crash pad,"carolina bamboo: sit start in middle of face, up on sidepulls, trend left on slopey ledge, big move to horn, keep it together for the mantle.",-,"face, ledge, sloper",-,mantle,-,0,0,0,0,1,0,0,0,0
112874561,Baby Groot,1. Southern Mountains Region > 107 Boulders > Front Door Boulder,https://www.mountainproject.com/route/112874561/baby-groot,3.2,V1 PG13,v1,1,1,10,-83.13872,35.19565,1. Southern Mountains Region,107 Boulders,Front Door Boulder,NA,0,0,Effective beginner route.  Designed to be strength intensive with a strong pull at Baby Groot -or- technique oriented with a heel hook on the upper left ledge.,"Spotter, crash pad optional.",baby groot: effective beginner route.  designed to be strength intensive with a strong pull at baby groot -or- technique oriented with a heel hook on the upper left ledge.,-,ledge,-,heel hook,-,0,0,0,0,1,0,0,0,0
118270682,Stupid Little Head,1. Southern Mountains Region > 107 Boulders > Front Door Boulder,https://www.mountainproject.com/route/118270682/stupid-little-head,3,V3 PG13,v3,3,1,15,-83.13872,35.19565,1. Southern Mountains Region,107 Boulders,Front Door Boulder,NA,0,0,"Start left hand on sharp crimp, right hand in sidepull pocket around head height. Climb up using arete and face holds, rock over the arete about halfway up and finish on the slab of Hetchy Sketchy",Pads and spotters. Be sure to pad the rock right below the transition to the slab,"stupid little head: start left hand on sharp crimp, right hand in sidepull pocket around head height. climb up using arete and face holds, rock over the arete about halfway up and finish on the slab of hetchy sketchy",-,"arete, crimp, face, pocket, slab",-,-,-,0,0,0,0,1,0,0,0,0
107521994,Triple B Stand,1. Southern Mountains Region > 107 Boulders > Front Door Boulder,https://www.mountainproject.com/route/107521994/triple-b-stand,2.8,V3,v3,3,1,NA,-83.13872,35.19565,1. Southern Mountains Region,107 Boulders,Front Door Boulder,NA,0,0,5) Start on a ramp and climb straight up a slopey bulge.,Crashpad,triple b stand: 5) start on a ramp and climb straight up a slopey bulge.,-,sloper,-,-,-,0,0,0,0,1,0,0,0,0
107521977,Hetchy Sketchy,1. Southern Mountains Region > 107 Boulders > Front Door Boulder,https://www.mountainproject.com/route/107521977/hetchy-sketchy,2,V1,v1,1,1,15,-83.13872,35.19565,1. Southern Mountains Region,107 Boulders,Front Door Boulder,NA,0,0,2) A tall black slab with the crux about 3/4 of the way up.,Crashpad.,hetchy sketchy: 2) a tall black slab with the crux about 3/4 of the way up.,-,"crux, slab",-,-,-,0,0,0,0,1,0,0,0,0
107521991,Thorn in My Side,1. Southern Mountains Region > 107 Boulders > Front Door Boulder,https://www.mountainproject.com/route/107521991/thorn-in-my-side,2,V1,v1,1,1,NA,-83.13872,35.19565,1. Southern Mountains Region,107 Boulders,Front Door Boulder,NA,0,0,4) Start in a seam and follow the crack up and left.,Crashpad,thorn in my side: 4) start in a seam and follow the crack up and left.,-,crack,-,-,-,0,0,0,0,1,0,0,0,0
200622060,Sitting Boulder Mantle,1. Southern Mountains Region > 107 Boulders > Front Door Boulder,https://www.mountainproject.com/route/200622060/sitting-boulder-mantle,2,V2-,v2,2,1,5,-83.13872,35.19565,1. Southern Mountains Region,107 Boulders,Front Door Boulder,NA,0,0,"I love this thing, super fun to warm up on, and has a 'left' and 'right' variant depending on where you put your feet. I think feet right (put your foot on the starting jug) is easier, but feet left (get a heel hook on top of the rock to the left) is more fun. Start on the Jug about two feet off the ground, then bump left to the nice hold, choose desired feet direction, then mantle to the top.","1 pad, optional","sitting boulder mantle: i love this thing, super fun to warm up on, and has a 'left' and 'right' variant depending on where you put your feet. i think feet right (put your foot on the starting jug) is easier, but feet left (get a heel hook on top of the rock to the left) is more fun. start on the jug about two feet off the ground, then bump left to the nice hold, choose desired feet direction, then mantle to the top.",-,jug,thin,"heel hook, mantle","easier, fun, nice, warm up",0,1,1,0,1,0,0,0,0
200634125,Slippery When Whet,1. Southern Mountains Region > 107 Boulders > Front Door Boulder,https://www.mountainproject.com/route/200634125/slippery-when-whet,2.5,V3,v3,3,1,12,-83.13872,35.19565,1. Southern Mountains Region,107 Boulders,Front Door Boulder,NA,0,0,"Eliminant immediately down and left from Thorn in My Side. Crack is off-limits for this route.Sit start on horizontal quartz dike crimps. Mantle, stem and press yer way up. Move to crimp pinch to the right of the Thorn in my side crack, hike the feet and move straight up the boulder.",pad and spotter,"slippery when whet: eliminant immediately down and left from thorn in my side. crack is off-limits for this route.sit start on horizontal quartz dike crimps. mantle, stem and press yer way up. move to crimp pinch to the right of the thorn in my side crack, hike the feet and move straight up the boulder.",-,"crack, crimp",-,mantle,-,0,0,0,0,1,0,0,0,0
107521985,Triple B Sit,1. Southern Mountains Region > 107 Boulders > Front Door Boulder,https://www.mountainproject.com/route/107521985/triple-b-sit,2.5,V8,v8,8,1,8,-83.13872,35.19565,1. Southern Mountains Region,107 Boulders,Front Door Boulder,NA,0,0,3) Start on a slopey sidepull and go left towards a rounded top,crashpad,triple b sit: 3) start on a slopey sidepull and go left towards a rounded top,-,sloper,-,-,-,0,0,0,0,1,0,0,0,0
200634160,Big Brier Bear Hug,1. Southern Mountains Region > 107 Boulders > Front Door Boulder,https://www.mountainproject.com/route/200634160/big-brier-bear-hug,2,V5,v5,5,1,16,-83.13872,35.19565,1. Southern Mountains Region,107 Boulders,Front Door Boulder,NA,0,0,"Thorn in My Side Eliminant, The crack, and everything left of the crack is totally off.Start down in a scoop slab, balance up into grips on Arete. Move left to pinch crimp that is to the right of Thorn in Side Crack. Hike your right heel up and start-a-slappin up very blunt arete, using crystal crimps and small dishes as you go. Exit up and right.",pad and spotter,"big brier bear hug: thorn in my side eliminant, the crack, and everything left of the crack is totally off.start down in a scoop slab, balance up into grips on arete. move left to pinch crimp that is to the right of thorn in side crack. hike your right heel up and start-a-slappin up very blunt arete, using crystal crimps and small dishes as you go. exit up and right.",-,"arete, crack, crimp, slab",thin,balance,-,0,0,0,0,1,0,0,0,0
