route,location,url,avg_stars,route_type,rating,pitches,length,y,x
Straight and Narrow,Shortoff Mountain > Linville Gorge > 2. Northern Mountains Region > North Carolina,https://www.mountainproject.com/route/106025962/straight-and-narrow,3.8,Trad,5.10a,3,340,35.83139,-81.90257
Built to Tilt,Shortoff Mountain > Linville Gorge > 2. Northern Mountains Region > North Carolina,https://www.mountainproject.com/route/106174053/built-to-tilt,3.7,Trad,5.10a/b,3,300,35.83139,-81.90257
"Titties and Beer  (aka ""World's Hardest 5.8"")",Sun Wall > Looking Glass Rock > 1. Southern Mountains Region > North Carolina,https://www.mountainproject.com/route/105900752/titties-and-beer-aka-worlds-hardest-58,3.6,Trad,5.10a,5,500,35.30308,-82.79529
Creatures of Waste,North Side > Looking Glass Rock > 1. Southern Mountains Region > North Carolina,https://www.mountainproject.com/route/106831306/creatures-of-waste,3.6,"Trad, Aid",5.10c A3,4,300,35.30546,-82.79093
Invisible Airways,North Side > Looking Glass Rock > 1. Southern Mountains Region > North Carolina,https://www.mountainproject.com/route/106451575/invisible-airways,3.5,"Trad, Aid",5.10c A2,3,240,35.30546,-82.79093
Linn Cove Lullaby,Main Tier > Ship Rock > 2. Northern Mountains Region > North Carolina,https://www.mountainproject.com/route/105888558/linn-cove-lullaby,3.5,Trad,5.10a,2,120,36.099,-81.7815
Lost in Space,Main Wall > Hawksbill Mtn > Linville Gorge > 2. Northern Mountains Region > North Carolina,https://www.mountainproject.com/route/106617876/lost-in-space,3.8,Trad,5.10b,3,170,35.91381,-81.88637
The Seal,North Side > Looking Glass Rock > 1. Southern Mountains Region > North Carolina,https://www.mountainproject.com/route/105934845/the-seal,3.4,Trad,5.10a/b,4,400,35.30546,-82.79093
Hot Yoga,07. Little Amphitheater > Pilot Mountain > 3. Piedmont Region > North Carolina,https://www.mountainproject.com/route/117071993/hot-yoga,3.3,Sport,5.10a/b,1,50,36.34005,-80.48457
Gunboat Diplomacy,Flakeview Area > Rumbling Bald > 1. Southern Mountains Region > North Carolina,https://www.mountainproject.com/route/105937346/gunboat-diplomacy,3.3,Sport,5.10b,2,160,35.45193,-82.21857
Devil in the White House,10. Devil in the White House > Pilot Mountain > 3. Piedmont Region > North Carolina,https://www.mountainproject.com/route/106955638/devil-in-the-white-house,3.2,Sport,5.10c/d,1,60,36.33997,-80.48255
Harpoon,Main Tier > Ship Rock > 2. Northern Mountains Region > North Carolina,https://www.mountainproject.com/route/105887719/harpoon,3.2,Trad,5.10a,1,50,36.099,-81.7815
Electra,04. David's Castle Wall > Main Climbing Areas > Crowders Mountain > 3. Piedmont Region > North Carolina,https://www.mountainproject.com/route/106101380/electra,3.1,Sport,5.10c,1,50,35.2331,-81.2745
Breakfast of Champions,Cereal Buttress > Rumbling Bald > 1. Southern Mountains Region > North Carolina,https://www.mountainproject.com/route/105924900/breakfast-of-champions,3.3,Trad,5.10d,1,80,35.44953,-82.21258
Whisky For Breakfast,Cereal Buttress > Rumbling Bald > 1. Southern Mountains Region > North Carolina,https://www.mountainproject.com/route/106002311/whisky-for-breakfast,3,Trad,5.10d PG13,2,90,35.44953,-82.21258
The Herculean Test,10. Devil in the White House > Pilot Mountain > 3. Piedmont Region > North Carolina,https://www.mountainproject.com/route/107264984/the-herculean-test,3.1,"Trad, Sport",5.10d,1,NA,36.33997,-80.48255
Homegrown,The Dump aka Warpin and Dorphin (Routes) > The Dump > 2. Northern Mountains Region > North Carolina,https://www.mountainproject.com/route/106562237/homegrown,3,"Sport, TR",5.10a,1,NA,36.09709,-81.7719
