route_id,route,location,url,avg_stars,rating,rating_simple,rating_int,pitches,length,x,y,region_1,region_2,region_3,region_4,x_diff,y_diff,description,protection,text,feature_tags,good_tags,other_tags,skill,bad_tags,bad_ind,good_ind,fun_ind,pretty_ind,sport_ind,trad_ind,boulder_ind,rope_ind,tr_ind
118563375,Lost In The Moss,Central & Southern VA Region > Amherst County > Blue Ridge Rail Way Trail > Mossy Wall,https://www.mountainproject.com/route/118563375/lost-in-the-moss,2.5,5.8,5.8,8,1,40,-78.99662,37.70002,Central & Southern VA Region,Amherst County,Blue Ridge Rail Way Trail,NA,0,0,"Begin by climbing the first part of El Pescado. At the second bolt proceed straight up the dihedral past the last 2 bolts to the anchor.**4 Bolts and bolted anchor**FA Jeremiah Fish, 2019",Bolts,"lost in the moss: begin by climbing the first part of el pescado. at the second bolt proceed straight up the dihedral past the last 2 bolts to the anchor.**4 bolts and bolted anchor**fa jeremiah fish, 2019",dihedral,-,-,-,-,0,0,0,0,1,0,0,1,0
118563350,Turkey Leftovers,Central & Southern VA Region > Amherst County > Blue Ridge Rail Way Trail > Mossy Wall,https://www.mountainproject.com/route/118563350/turkey-leftovers,2.8,5.8,5.8,8,1,40,-78.99662,37.70002,Central & Southern VA Region,Amherst County,Blue Ridge Rail Way Trail,NA,0,0,"A gem for those who enjoy splitters. Find the obvious small hands to fingers crack in the middle of the wall. Climb directly up the crack to the 2 bolt anchor. **BD .75 - finger size cams**FA Ryan Ferro, 11/18",Cams and stoppers.,"turkey leftovers: a gem for those who enjoy splitters. find the obvious small hands to fingers crack in the middle of the wall. climb directly up the crack to the 2 bolt anchor. **bd .75 - finger size cams**fa ryan ferro, 11/18",crack,-,-,-,-,0,0,0,0,0,1,0,1,0
118563409,El Pescado,Central & Southern VA Region > Amherst County > Blue Ridge Rail Way Trail > Mossy Wall,https://www.mountainproject.com/route/118563409/el-pescado,2.8,5.10c,5.10c,10,1,40,-78.99662,37.70002,Central & Southern VA Region,Amherst County,Blue Ridge Rail Way Trail,NA,0,0,"**If you enjoy thin moves and slabby finishes then this is the route for you. ***Begin Climbing up the dihedral and clip the first 2 bolts. From the second bolt move right, across the slab to the arete. At the arete head up past 2 more bolts, finishing at a 2 bolt anchor.**4 Bolts and bolted anchor**FA Ryan Ferro, 2019",Bolts,"el pescado: **if you enjoy thin moves and slabby finishes then this is the route for you. ***begin climbing up the dihedral and clip the first 2 bolts. from the second bolt move right, across the slab to the arete. at the arete head up past 2 more bolts, finishing at a 2 bolt anchor.**4 bolts and bolted anchor**fa ryan ferro, 2019","arete, dihedral, slab",-,thin,-,-,0,0,0,0,1,0,0,1,0
118562839,No Hands,Central & Southern VA Region > Amherst County > Blue Ridge Rail Way Trail > Piney Hive Boulder,https://www.mountainproject.com/route/118562839/no-hands,3,V1,v1,1,1,12,-78.99096,37.69846,Central & Southern VA Region,Amherst County,Blue Ridge Rail Way Trail,NA,0.005659999999991783,-0.0015600000000048908,"Begin at the furthest left of the boulder. Climb directly up without using the crack system and top out. FA Jon Anderson, 2019.",Crash Pads,"no hands: begin at the furthest left of the boulder. climb directly up without using the crack system and top out. fa jon anderson, 2019.",crack,-,-,-,-,0,0,0,0,0,0,1,0,0
120084641,Supercrack,Central & Southern VA Region > Amherst County > Blue Ridge Rail Way Trail > Trail side bouldering,https://www.mountainproject.com/route/120084641/supercrack,3.3,V1,v1,1,1,NA,-79.00532,37.69803,Central & Southern VA Region,Amherst County,Blue Ridge Rail Way Trail,NA,-0.014359999999996376,-4.299999999943793e-4,Start low in the muck.  Climb up through obvious hand crack. Nice feature!,-,supercrack: start low in the muck.  climb up through obvious hand crack. nice feature!,crack,nice,-,-,-,0,1,0,0,0,0,1,0,0
120084637,A.C.A.B.,Central & Southern VA Region > Amherst County > Blue Ridge Rail Way Trail > Trail side bouldering,https://www.mountainproject.com/route/120084637/acab,3,V2-3,v3,3,1,NA,-79.00532,37.69803,Central & Southern VA Region,Amherst County,Blue Ridge Rail Way Trail,NA,0,0,"Left leaning diagonal crack, finishes same as 'Eviction is Violence'",-,"a.c.a.b.: left leaning diagonal crack, finishes same as 'eviction is violence'",crack,-,-,-,-,0,0,0,0,0,0,1,0,0
121861721,Unnamed classic?,Central & Southern VA Region > Amherst County > Blue Ridge Rail Way Trail > Trail side bouldering,https://www.mountainproject.com/route/121861721/unnamed-classic,3.3,V3,v3,3,1,NA,-79.00532,37.69803,Central & Southern VA Region,Amherst County,Blue Ridge Rail Way Trail,NA,0,0,The right facing corner/arete just to the right of elephant in the room.,-,unnamed classic?: the right facing corner/arete just to the right of elephant in the room.,arete,classic,-,-,-,0,1,0,0,0,0,1,0,0
120084633,Eviction is Violence,Central & Southern VA Region > Amherst County > Blue Ridge Rail Way Trail > Trail side bouldering,https://www.mountainproject.com/route/120084633/eviction-is-violence,3.3,V2-3,v3,3,1,NA,-79.00532,37.69803,Central & Southern VA Region,Amherst County,Blue Ridge Rail Way Trail,NA,0,0,"starts same as Guatemalan Insanity Pepper, follow obvious feature up right into diagonal crack to top out.",-,"eviction is violence: starts same as guatemalan insanity pepper, follow obvious feature up right into diagonal crack to top out.",crack,-,-,-,-,0,0,0,0,0,0,1,0,0
120084651,Elephant in the Room,Central & Southern VA Region > Amherst County > Blue Ridge Rail Way Trail > Trail side bouldering,https://www.mountainproject.com/route/120084651/elephant-in-the-room,3,V2-3,v3,3,1,NA,-79.00532,37.69803,Central & Southern VA Region,Amherst County,Blue Ridge Rail Way Trail,NA,0,0,"Start right in front of annoying low block sticking out of ground, climb up left leaning feature",-,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0
120084648,Farnsworth Layback,Central & Southern VA Region > Amherst County > Blue Ridge Rail Way Trail > Trail side bouldering,https://www.mountainproject.com/route/120084648/farnsworth-layback,3,V2-3,v3,3,1,NA,-79.00532,37.69803,Central & Southern VA Region,Amherst County,Blue Ridge Rail Way Trail,NA,0,0,Layback up nice leaning feature,-,farnsworth layback: layback up nice leaning feature,-,nice,-,-,-,0,1,0,0,0,0,1,0,0
