route,location,url,avg_stars,route_type,rating,pitches,length,y,x
Periscope,Periscope Boulder > Contact Station Boulders > Contact Station Area > Grayson Highlands State Park > Southwest Virginia (Appalachia) > Virginia,https://www.mountainproject.com/route/106566425/periscope,3.5,Boulder,V3,1,12,36.61245,-81.48093
Ranger Rick,Ranger Rick Boulder > Contact Station Boulders > Contact Station Area > Grayson Highlands State Park > Southwest Virginia (Appalachia) > Virginia,https://www.mountainproject.com/route/106483605/ranger-rick,3,Boulder,V0-1,1,12,36.61245,-81.48093
Highland Highball,Highland Highball > Horizon Area > Highlands > Grayson Highlands State Park > Southwest Virginia (Appalachia) > Virginia,https://www.mountainproject.com/route/106799730/highland-highball,3.9,Boulder,V2,1,20,36.6409,-81.5056
Indian Outlaw,Rock House Boulder > Picnic Area Boulders > Picnic Area > Grayson Highlands State Park > Southwest Virginia (Appalachia) > Virginia,https://www.mountainproject.com/route/106779712/indian-outlaw,3.1,Boulder,V3,1,13,36.62523,-81.48157
Horse Head Route,Springfield Bouldering (Hooes Rd) > DC & Northern VA Region > Virginia,https://www.mountainproject.com/route/108906405/horse-head-route,3.6,Boulder,V3,1,15,38.7615,-77.2077
The Hive,Hive Boulder > 1. Overlook Area > Listening Rock Trail > Grayson Highlands State Park > Southwest Virginia (Appalachia) > Virginia,https://www.mountainproject.com/route/107333030/the-hive,2.9,Boulder,V3,1,14,36.62238,-81.50243
Senior Discount,Big Boy > Main Area > The Forest > Blue Ridge Parkway > Charlottesville vicinity > Central & Southern VA Region > Virginia,https://www.mountainproject.com/route/119697127/senior-discount,3.6,Boulder,V3,1,16,37.89461,-79.04896
Static Crack,Olympus Boulder > Picnic Area Boulders > Picnic Area > Grayson Highlands State Park > Southwest Virginia (Appalachia) > Virginia,https://www.mountainproject.com/route/106537530/static-crack,2.5,Boulder,V2,1,12,36.62727,-81.48103
Bombsight,Periscope Boulder > Contact Station Boulders > Contact Station Area > Grayson Highlands State Park > Southwest Virginia (Appalachia) > Virginia,https://www.mountainproject.com/route/106830441/bombsight,2.5,Boulder,V3,1,16,36.61245,-81.48093
Ballad of Love and Hate,Mike-N-Ike Boulder > 2. SLS Area > Listening Rock Trail > Grayson Highlands State Park > Southwest Virginia (Appalachia) > Virginia,https://www.mountainproject.com/route/107290137/ballad-of-love-and-hate,2.9,Boulder,V3-4,1,9,36.62166,-81.5037
