route,location,url,avg_stars,route_type,rating,pitches,length,y,x
Big Balls,Talking Headwall > Elizabeth Furnace > Shenandoah & NW VA Region > Virginia,https://www.mountainproject.com/route/106152581/big-balls,2.7,Sport,5.10a/b,1,70,38.9466,-78.3022
Pure Energy,Talking Headwall > Elizabeth Furnace > Shenandoah & NW VA Region > Virginia,https://www.mountainproject.com/route/106152687/pure-energy,2.6,Sport,5.10a,1,40,38.9466,-78.3022
Fortis,Talking Headwall > Elizabeth Furnace > Shenandoah & NW VA Region > Virginia,https://www.mountainproject.com/route/106152658/fortis,2.6,Sport,5.10a,1,50,38.9466,-78.3022
Galen's 10,Talking Headwall > Elizabeth Furnace > Shenandoah & NW VA Region > Virginia,https://www.mountainproject.com/route/110551056/galens-10,2.6,Sport,5.10a,1,NA,38.9466,-78.3022
Two-Lane Highway,Bird's Nest > Great Falls > DC & Northern VA Region > Virginia,https://www.mountainproject.com/route/107150094/two-lane-highway,3.1,TR,5.10a,1,60,38.98789,-77.24715
The Eagle's Gift,Eagle's Gift > Old Rag > Shenandoah National Park > Shenandoah & NW VA Region > Virginia,https://www.mountainproject.com/route/107850464/the-eagles-gift,4,"Trad, Sport",5.10a/b R,1,150,38.5515,-78.3106
Strong Finish,Seclusion > Great Falls > DC & Northern VA Region > Virginia,https://www.mountainproject.com/route/110391416/strong-finish,3.4,TR,5.10a/b,1,55,38.98996,-77.24799
Archer Right,Alpha Wall > Mile Two Routes > (2) Mile Two > Guest River Gorge > Southwest Virginia (Appalachia) > Virginia,https://www.mountainproject.com/route/108770777/archer-right,4,Trad,5.10a,1,NA,36.89936,-82.42035
Tuning In,Big Shot Jr. > Mile 3 Routes > (3) Mile Three > Guest River Gorge > Southwest Virginia (Appalachia) > Virginia,https://www.mountainproject.com/route/116513016/tuning-in,4,Trad,5.10-,1,60,37.01073,-82.36108
Silver Scream,Downstream Climbs > Great Falls > DC & Northern VA Region > Virginia,https://www.mountainproject.com/route/109579972/silver-scream,4,"Trad, TR",5.10-,1,50,38.98537,-77.24613
Space Walk,The Space Station > Pinnacle Rock Area > Breaks Interstate Park > Southwest Virginia (Appalachia) > Virginia,https://www.mountainproject.com/route/118137129/space-walk,3.2,Sport,5.10-,1,40,37.28955,-82.30838
Cortez the Killer,Buzzard Rocks > Elizabeth Furnace > Shenandoah & NW VA Region > Virginia,https://www.mountainproject.com/route/112212701/cortez-the-killer,3.4,Sport,5.10-,1,80,38.9422,-78.3017
10 Minute Kevin,Eastern Prospectors > Prospectors > Breaks Interstate Park > Southwest Virginia (Appalachia) > Virginia,https://www.mountainproject.com/route/116749495/10-minute-kevin,3.5,Sport,5.10a,1,60,37.28329,-82.30227
Froopsy Daisy,Froopy Land Cliff > Froopy Land > Pinnacle Rock Area > Breaks Interstate Park > Southwest Virginia (Appalachia) > Virginia,https://www.mountainproject.com/route/114501654/froopsy-daisy,2.9,Sport,5.10-,1,70,37.28989,-82.30833
Earn Your Stripes,Eastern Prospectors > Prospectors > Breaks Interstate Park > Southwest Virginia (Appalachia) > Virginia,https://www.mountainproject.com/route/116718747/earn-your-stripes,2.8,Sport,5.10a,1,50,37.28329,-82.30227
Root Canal,A) Main Wall > Manchester Wall > Richmond Vicinity > Central & Southern VA Region > Virginia,https://www.mountainproject.com/route/107784693/root-canal,2.6,Sport,5.10a,1,NA,37.5296,-77.4459
Mind Games,"Fetish Wall > Iron Gate, VA > Shenandoah & NW VA Region > Virginia",https://www.mountainproject.com/route/107094185/mind-games,3.4,Sport,5.10a,1,NA,37.8109,-79.7985
Titania,Cow's Hoof > Great Falls > DC & Northern VA Region > Virginia,https://www.mountainproject.com/route/110507179/titania,3.2,"Trad, TR",5.10- PG13,1,35,38.9817,-77.243
Green with Envy,The Cracks > Wintergreen > Charlottesville vicinity > Central & Southern VA Region > Virginia,https://www.mountainproject.com/route/109439818/green-with-envy,3,Trad,5.10a,1,50,37.90605,-78.9376
Unhappy Cracks,The Cracks > Wintergreen > Charlottesville vicinity > Central & Southern VA Region > Virginia,https://www.mountainproject.com/route/108952491/unhappy-cracks,2.8,"Trad, TR",5.10a,1,50,37.90605,-78.9376
Pretty Poison,"Fetish Wall > Iron Gate, VA > Shenandoah & NW VA Region > Virginia",https://www.mountainproject.com/route/107131813/pretty-poison,3.5,"Trad, Sport",5.10- PG13,1,80,37.8109,-79.7985
Foops Junior,Canal Cut > Great Falls > DC & Northern VA Region > Virginia,https://www.mountainproject.com/route/109570283/foops-junior,3.7,"Trad, TR",5.10-,1,30,38.9884,-77.24749
Old Growth,Lower Lodges > Towers/Lodges > Breaks Interstate Park > Southwest Virginia (Appalachia) > Virginia,https://www.mountainproject.com/route/118135699/old-growth,2.8,Sport,5.10-,1,80,37.28629,-82.30648
Old School,Maury River Wall > Goshen Pass > Charlottesville vicinity > Central & Southern VA Region > Virginia,https://www.mountainproject.com/route/107083548/old-school,3.3,"Trad, TR",5.10a,1,NA,37.94557,-79.45655
Rebel Yell,Rebel Wall > Mile 3 Routes > (3) Mile Three > Guest River Gorge > Southwest Virginia (Appalachia) > Virginia,https://www.mountainproject.com/route/111250450/rebel-yell,3.8,Sport,5.10-,1,80,36.87025,-82.24574
It's the Feet,Cow's Hoof > Great Falls > DC & Northern VA Region > Virginia,https://www.mountainproject.com/route/110507167/its-the-feet,3.2,"Trad, TR",5.10- PG13,1,30,38.9817,-77.243
First Blood,Cornice > Great Falls > DC & Northern VA Region > Virginia,https://www.mountainproject.com/route/109594718/first-blood,3.2,"Trad, TR",5.10-,1,50,38.98804,-77.24726
Twin Blade,Dr. Needlepoint > Great Falls > DC & Northern VA Region > Virginia,https://www.mountainproject.com/route/109591191/twin-blade,3.4,TR,5.10-,1,60,38.98652,-77.24668
Backscratch,Degree 101 > Great Falls > DC & Northern VA Region > Virginia,https://www.mountainproject.com/route/109570605/backscratch,3,"Trad, TR",5.10-,1,50,38.9863,-77.24659
Anonymous Flake - Left Variation,Buzzard Rocks > Elizabeth Furnace > Shenandoah & NW VA Region > Virginia,https://www.mountainproject.com/route/115170895/anonymous-flake-left-variation,2.7,Trad,5.10a PG13,1,100,38.9422,-78.3017
A Bridge Too Far,Dr. Needlepoint > Great Falls > DC & Northern VA Region > Virginia,https://www.mountainproject.com/route/107509145/a-bridge-too-far,2.8,TR,5.10a,1,NA,38.98652,-77.24668
Java Crazy,Lower Ridge Trail Slabs > Old Rag > Shenandoah National Park > Shenandoah & NW VA Region > Virginia,https://www.mountainproject.com/route/110197902/java-crazy,3,Trad,5.10- PG13,2,150,38.5535,-78.3047
Proctologist,A) Main Wall > Manchester Wall > Richmond Vicinity > Central & Southern VA Region > Virginia,https://www.mountainproject.com/route/107784711/proctologist,2.9,"Trad, Sport",5.10a,1,NA,37.5296,-77.4459
Tunnel Hill,The Train Station > Mile 1 Routes > (1) Mile One > Guest River Gorge > Southwest Virginia (Appalachia) > Virginia,https://www.mountainproject.com/route/118752384/tunnel-hill,3,Sport,5.10a,1,50,36.92135,-82.44924
Mamaw's Route,The Rectory > Mile Two Routes > (2) Mile Two > Guest River Gorge > Southwest Virginia (Appalachia) > Virginia,https://www.mountainproject.com/route/108803912/mamaws-route,3,Sport,5.10a,1,80,36.89936,-82.42035
Lost Friend,A) Main Wall > Manchester Wall > Richmond Vicinity > Central & Southern VA Region > Virginia,https://www.mountainproject.com/route/107787228/lost-friend,2.7,Sport,5.10a,1,NA,37.5296,-77.4459
Phil's Solo,Lower Sunset Wall > Sunset Walls > Old Rag > Shenandoah National Park > Shenandoah & NW VA Region > Virginia,https://www.mountainproject.com/route/108850127/phils-solo,2.5,Trad,5.10a,1,35,38.55309,-78.31809
Gutterballs,Gutterballs Crag > Old Rag > Shenandoah National Park > Shenandoah & NW VA Region > Virginia,https://www.mountainproject.com/route/119069283/gutterballs,2.7,Trad,5.10a,1,115,38.5515,-78.31058
Anglers Arete,Browns Island > Richmond Vicinity > Central & Southern VA Region > Virginia,https://www.mountainproject.com/route/111620904/anglers-arete,3,Sport,5.10a,1,60,37.53372,-77.44224
Right Side Up,Tunnel Turret Wall > Mile 1 Routes > (1) Mile One > Guest River Gorge > Southwest Virginia (Appalachia) > Virginia,https://www.mountainproject.com/route/118923600/right-side-up,3,Sport,5.10a,1,50,36.90348,-82.42151
The Carpenter,Trade Wall > Lower Lightside Routes > Lower Lightside > Lightside > Jay's Creek > Southwest Virginia (Appalachia) > Virginia,https://www.mountainproject.com/route/117378193/the-carpenter,3,Sport,5.10a/b,1,45,36.89937,-82.41859
Ain't Easy Being Green,Jeopardy Wall > Prospectors > Breaks Interstate Park > Southwest Virginia (Appalachia) > Virginia,https://www.mountainproject.com/route/119008155/aint-easy-being-green,3,Sport,5.10a,1,NA,37.28355,-82.29842
Naked and Ashamed,The Rectory > Mile Two Routes > (2) Mile Two > Guest River Gorge > Southwest Virginia (Appalachia) > Virginia,https://www.mountainproject.com/route/111151793/naked-and-ashamed,2.7,Sport,5.10a/b,1,65,36.89936,-82.42035
Ice Dreams,2nd (Main) Trestle > The Trestles > Central & Southern VA Region > Virginia,https://www.mountainproject.com/route/106958525/ice-dreams,3,Sport,5.10a,1,50,37.3559,-79.4164
The Wells Run Deep,The Sanctuary > Lower Reservoir > HKL East > High Knob Landform > Southwest Virginia (Appalachia) > Virginia,https://www.mountainproject.com/route/109554126/the-wells-run-deep,3,Sport,5.10-,1,60,36.9193,-82.6269
Make it Rain,Lower Lodges > Towers/Lodges > Breaks Interstate Park > Southwest Virginia (Appalachia) > Virginia,https://www.mountainproject.com/route/122260641/make-it-rain,2.8,Sport,5.10a/b,1,80,37.28629,-82.30648
Achy Breaky Start,State Line 2nd Tier > Prospectors > Breaks Interstate Park > Southwest Virginia (Appalachia) > Virginia,https://www.mountainproject.com/route/111794328/achy-breaky-start,3,Sport,5.10a,1,60,37.12845,-82.41344
Juggling Act,Pinnacle Overlook > Pinnacle Rock Area > Breaks Interstate Park > Southwest Virginia (Appalachia) > Virginia,https://www.mountainproject.com/route/116121675/juggling-act,3,Trad,5.10a,1,60,37.12845,-82.41344
Tombstone,Love Lost > Love Gap > Blue Ridge Parkway > Charlottesville vicinity > Central & Southern VA Region > Virginia,https://www.mountainproject.com/route/121095617/tombstone,3,Trad,5.10a,1,65,37.87623,-79.01687
Little Piggy,(1) Lower Hidden > Hidden Rocks > Shenandoah & NW VA Region > Virginia,https://www.mountainproject.com/route/113987200/little-piggy,3,TR,5.10a PG13,1,40,38.45563,-79.11399
Egg Hunt,Lower Lodges > Towers/Lodges > Breaks Interstate Park > Southwest Virginia (Appalachia) > Virginia,https://www.mountainproject.com/route/122256784/egg-hunt,2.2,Sport,5.10-,1,80,37.28629,-82.30648
Drill Kill,Lodges > Towers/Lodges > Breaks Interstate Park > Southwest Virginia (Appalachia) > Virginia,https://www.mountainproject.com/route/118203235/drill-kill,2.6,Sport,5.10a,1,60,37.15873,-82.40324
80 Proof,Alcohol Wall > Flag Rock Routes > Flag Rock > HKL East > High Knob Landform > Southwest Virginia (Appalachia) > Virginia,https://www.mountainproject.com/route/119814824/80-proof,2.3,Sport,5.10a/b,1,60,36.91936,-82.62732
The Return of Tom,Lower Lodges > Towers/Lodges > Breaks Interstate Park > Southwest Virginia (Appalachia) > Virginia,https://www.mountainproject.com/route/118134999/the-return-of-tom,3,Trad,5.10-,1,70,37.28629,-82.30648
Bacon Strip,", The Vault > Mile Two Routes > (2) Mile Two > Guest River Gorge > Southwest Virginia (Appalachia) > Virginia",https://www.mountainproject.com/route/121615959/bacon-strip,2.5,Sport,5.10a,1,40,36.91281,-82.43411
Fake News,Big Shot Jr. > Mile 3 Routes > (3) Mile Three > Guest River Gorge > Southwest Virginia (Appalachia) > Virginia,https://www.mountainproject.com/route/116513025/fake-news,3,Trad,5.10-,1,60,37.01073,-82.36108
Spot On!,The Spot > Pinnacle Ridge > Charlottesville vicinity > Central & Southern VA Region > Virginia,https://www.mountainproject.com/route/113972193/spot-on,3,"Trad, TR",5.10a R,1,50,37.84158,-79.06637
Back slide,Waterworld > Mile 1 Routes > (1) Mile One > Guest River Gorge > Southwest Virginia (Appalachia) > Virginia,https://www.mountainproject.com/route/118968754/back-slide,3,Sport,5.10a,1,45,36.90445,-82.42347
