route,location,url,avg_stars,route_type,rating,pitches,length,y,x
Strawberry Fields,Reflector Oven > Old Rag > Shenandoah National Park > Shenandoah & NW VA Region > Virginia,https://www.mountainproject.com/route/105898326/strawberry-fields,3.8,Trad,5.9+,1,65,38.55,-78.3089
Romeo's Ladder,Romeo's Ladder > Great Falls > DC & Northern VA Region > Virginia,https://www.mountainproject.com/route/106854484/romeos-ladder,3,"Trad, TR",5.7,1,35,38.98922,-77.24759
Melungian Brotherhood,Buzzard Rocks > Elizabeth Furnace > Shenandoah & NW VA Region > Virginia,https://www.mountainproject.com/route/106705551/melungian-brotherhood,2.8,"Trad, TR",5.8,1,125,38.9422,-78.3017
Pulp Friction,Buzzard Rocks > Elizabeth Furnace > Shenandoah & NW VA Region > Virginia,https://www.mountainproject.com/route/106337862/pulp-friction,2.7,Sport,5.9-,1,50,38.9422,-78.3017
I Love Big Jugs,Talking Headwall > Elizabeth Furnace > Shenandoah & NW VA Region > Virginia,https://www.mountainproject.com/route/106152665/i-love-big-jugs,2.5,Sport,5.8,1,60,38.9466,-78.3022
Ass Cannibal,Buzzard Rocks > Elizabeth Furnace > Shenandoah & NW VA Region > Virginia,https://www.mountainproject.com/route/106705564/ass-cannibal,2.6,"Trad, TR",5.8-,1,110,38.9422,-78.3017
Raising Arizona,Buzzard Rocks > Elizabeth Furnace > Shenandoah & NW VA Region > Virginia,https://www.mountainproject.com/route/106337872/raising-arizona,2.4,Sport,5.7,1,60,38.9422,-78.3017
Anonymous Flake Right,Buzzard Rocks > Elizabeth Furnace > Shenandoah & NW VA Region > Virginia,https://www.mountainproject.com/route/106152571/anonymous-flake-right,3.3,"Trad, TR",5.8-,1,100,38.9422,-78.3017
Ne Plus Ultra,Talking Headwall > Elizabeth Furnace > Shenandoah & NW VA Region > Virginia,https://www.mountainproject.com/route/106152681/ne-plus-ultra,2.1,Sport,5.9,1,60,38.9466,-78.3022
Splinters,Aid Box > Great Falls > DC & Northern VA Region > Virginia,https://www.mountainproject.com/route/107189522/splinters,2.7,TR,5.7,1,35,38.98854,-77.24734
Fat Bastard,Talking Headwall > Elizabeth Furnace > Shenandoah & NW VA Region > Virginia,https://www.mountainproject.com/route/106152649/fat-bastard,1.9,Sport,5.8-,1,50,38.9466,-78.3022
Cornice,Cornice > Great Falls > DC & Northern VA Region > Virginia,https://www.mountainproject.com/route/106763978/cornice,3.3,"Trad, TR",5.7+,1,50,38.98804,-77.24726
The Bulge,Buzzard Rocks > Elizabeth Furnace > Shenandoah & NW VA Region > Virginia,https://www.mountainproject.com/route/106350799/the-bulge,2.7,Sport,5.9-,1,100,38.9422,-78.3017
Diagonal,Aid Box > Great Falls > DC & Northern VA Region > Virginia,https://www.mountainproject.com/route/106762652/diagonal,2.5,"Trad, TR",5.9,1,40,38.98854,-77.24734
Romeo's Left,Romeo's Ladder > Great Falls > DC & Northern VA Region > Virginia,https://www.mountainproject.com/route/106854501/romeos-left,2.9,"Trad, TR",5.9,1,35,38.98922,-77.24759
Simon Says,Desert Pony Buttress > Pinnacle Rock Area > Breaks Interstate Park > Southwest Virginia (Appalachia) > Virginia,https://www.mountainproject.com/route/117796957/simon-says,3.7,Sport,5.7,1,75,37.2873,-82.30922
Belle of The Ball,Eastern Prospectors > Prospectors > Breaks Interstate Park > Southwest Virginia (Appalachia) > Virginia,https://www.mountainproject.com/route/116654696/belle-of-the-ball,3.6,Sport,5.9,1,100,37.28329,-82.30227
Happy Cracks,The Cracks > Wintergreen > Charlottesville vicinity > Central & Southern VA Region > Virginia,https://www.mountainproject.com/route/108952511/happy-cracks,3,"Trad, TR",5.8,1,40,37.90605,-78.9376
Half and Half,Buzzard Rocks > Elizabeth Furnace > Shenandoah & NW VA Region > Virginia,https://www.mountainproject.com/route/108823514/half-and-half,2.6,"Trad, TR",5.8-,1,120,38.9422,-78.3017
Debutante,Eastern Prospectors > Prospectors > Breaks Interstate Park > Southwest Virginia (Appalachia) > Virginia,https://www.mountainproject.com/route/116654705/debutante,3.7,Sport,5.9,1,90,37.28329,-82.30227
Lunging Ledges,Romeo's Ladder > Great Falls > DC & Northern VA Region > Virginia,https://www.mountainproject.com/route/108375912/lunging-ledges,2.9,TR,5.9,1,45,38.98922,-77.24759
Pure Fun,Summit Crags > Old Rag > Shenandoah National Park > Shenandoah & NW VA Region > Virginia,https://www.mountainproject.com/route/106246960/pure-fun,2.8,"Trad, TR",5.7,1,50,38.5518,-78.3153
The Dobie Gillis Route,Skyline Wall (PATC Wall) > Old Rag > Shenandoah National Park > Shenandoah & NW VA Region > Virginia,https://www.mountainproject.com/route/106006674/the-dobie-gillis-route,2.9,Trad,5.8,1,60,38.5517,-78.3115
Great Beginnings,Seclusion > Great Falls > DC & Northern VA Region > Virginia,https://www.mountainproject.com/route/106762636/great-beginnings,2.7,"Trad, TR",5.7,1,50,38.98996,-77.24799
Armbuster,Bird's Nest > Great Falls > DC & Northern VA Region > Virginia,https://www.mountainproject.com/route/106025523/armbuster,2.8,TR,5.9,1,40,38.98789,-77.24715
Bird's Nest,Bird's Nest > Great Falls > DC & Northern VA Region > Virginia,https://www.mountainproject.com/route/107992161/birds-nest,2.9,"Trad, TR",5.7,1,60,38.98789,-77.24715
Premature Ecrakulation,IGR East side > Indian Graves Ridge > Shenandoah & NW VA Region > Virginia,https://www.mountainproject.com/route/107907674/premature-ecrakulation,3.7,Trad,5.9,1,30,38.8099,-78.4035
