route_id,field,value,info
106566425,Description,"-Periscope Boulder-  Sit Start in the crimpy lines and connect into the rail. follow feet and hands across the protrusion, using whatever feet feel good and make fun moves to transfer and traverse to the next side of the boulder to your right. as you transfer around you will trend higher and up above the slab of rock that will now be under you. top high on good hands and feet.","Description`-Periscope Boulder-  Sit Start in the crimpy lines and connect into the rail. follow feet and hands across the protrusion, using whatever feet feel good and make fun moves to transfer and traverse to the next side of the boulder to your right. as you transfer around you will trend higher and up above the slab of rock that will now be under you. top high on good hands and feet."
106566425,Location,"The Periscope Boulder is located right before and off set to the front from the Ranger Rick Boulder. it is toughing the side of ranger rick boulder as well. Periscope has an ascending diagonal ledge feature with a rail behind it that forms a large geometric and angular feature that defines the boulder.  look to the left of the protruding area and there should be low, flat jugs to sit start on.  This problem trends and travels right, across the protrusion via the constant rail. continue around to the right and transfer around to the next, right side of the boulder, topping out high and above the slab with a solid and confidant mantle.","Location`The Periscope Boulder is located right before and off set to the front from the Ranger Rick Boulder. it is toughing the side of ranger rick boulder as well. Periscope has an ascending diagonal ledge feature with a rail behind it that forms a large geometric and angular feature that defines the boulder.  look to the left of the protruding area and there should be low, flat jugs to sit start on.  This problem trends and travels right, across the protrusion via the constant rail. continue around to the right and transfer around to the next, right side of the boulder, topping out high and above the slab with a solid and confidant mantle."
106566425,Protection,pads,Protection`pads
106483605,Description,"Ranger Rick is one of the best v0-1s in the park. A GHSP classic.Ranger Rick starts standing on two nice crimp slashes mid face, with good feet lower. the move from the start is the longest, and it goes to another, bigger rail with a nice jug in-cut.After the initial crux, this line is a steep jug-fest up to the high-ish top. The top out is likewise a massive jug and you can pick you poison for the mantle: either roll over directly for the full-value finish, for skate over and left to walk over.this problem can go from the sit, and becomesv-4ish. sit start is from a small crimp at the very base of the boulder with bad feet. the rest is the normal ranger rick problem.","Description`Ranger Rick is one of the best v0-1s in the park. A GHSP classic.Ranger Rick starts standing on two nice crimp slashes mid face, with good feet lower. the move from the start is the longest, and it goes to another, bigger rail with a nice jug in-cut.After the initial crux, this line is a steep jug-fest up to the high-ish top. The top out is likewise a massive jug and you can pick you poison for the mantle: either roll over directly for the full-value finish, for skate over and left to walk over.this problem can go from the sit, and becomesv-4ish. sit start is from a small crimp at the very base of the boulder with bad feet. the rest is the normal ranger rick problem."
106483605,Location,"Walk past the True Grit Boulder and around the right of the second set of boulders. as you start to see the next boulder open up, keep walking around it and get up on to the patio type slab of rock and you will see the taller face. this is the Ranger Rick Boulder.  The ""Ranger Rick"" problem starts standing on big rails, and follows up to large, long ledge edges and jug ledges. top out is straight forward.","Location`Walk past the True Grit Boulder and around the right of the second set of boulders. as you start to see the next boulder open up, keep walking around it and get up on to the patio type slab of rock and you will see the taller face. this is the Ranger Rick Boulder.  The ""Ranger Rick"" problem starts standing on big rails, and follows up to large, long ledge edges and jug ledges. top out is straight forward."
106483605,Protection,pads,Protection`pads
106799730,Highland Highball,"This is a true classic in Grayson Highlands State Park. This line is hands down my favorite v2 in GHSP.    Sit start in front of the boulder matched on the massive, acute angled side-pull column. Make a tough move up to establish on the face (may be the physical crux). Work in a direct line up the face through big moves to massive hands. The last move or two are possibly the hardest due to the mental crux, but the hands are huge. Bring a solid mind to this problem and it will feel like cake.","Highland Highball`This is a true classic in Grayson Highlands State Park. This line is hands down my favorite v2 in GHSP.    Sit start in front of the boulder matched on the massive, acute angled side-pull column. Make a tough move up to establish on the face (may be the physical crux). Work in a direct line up the face through big moves to massive hands. The last move or two are possibly the hardest due to the mental crux, but the hands are huge. Bring a solid mind to this problem and it will feel like cake."
106779712,Description,"Easy to find and a classic for the area.  Walk to the Rock House Boulder and start around the left side (as if you are going to hike along the trail past the boulder itself). Find the bright blue blaze that is the trail marker for the Rock House Ridge hiking trail.  Once you find that blaze, you have found the problem.   The starting hand hold is down and to the right from the blaze, and is a big side-pull with a good edge on top. under the start hand is a large edge that you will heel hook for the start.  Start low with a left hand side-pull, or sit start lower to add a move (but not a grade). From the side-pull, bump out to the left to a good crimp edge.   make a bump up to a good side-pull and work up and along the long, vertical feature until you can access the horizontal crimp rail (running about 9 or 10 feet off of the ground). Gain the long rail and move to the top sloper (find the nice edge in the sloper) that is just before the nice top out jug.  The topout is more or less above the starting holds.","Description`Easy to find and a classic for the area.  Walk to the Rock House Boulder and start around the left side (as if you are going to hike along the trail past the boulder itself). Find the bright blue blaze that is the trail marker for the Rock House Ridge hiking trail.  Once you find that blaze, you have found the problem.   The starting hand hold is down and to the right from the blaze, and is a big side-pull with a good edge on top. under the start hand is a large edge that you will heel hook for the start.  Start low with a left hand side-pull, or sit start lower to add a move (but not a grade). From the side-pull, bump out to the left to a good crimp edge.   make a bump up to a good side-pull and work up and along the long, vertical feature until you can access the horizontal crimp rail (running about 9 or 10 feet off of the ground). Gain the long rail and move to the top sloper (find the nice edge in the sloper) that is just before the nice top out jug.  The topout is more or less above the starting holds."
106779712,Location,"Walk to the Rock House Boulder and start around the left side of it as if you are going to hike along the trail past the boulder itself. as you walk, find the bright blue blaze that is the trail marker for the Rock House Ridge hiking trail.  Once you find that blaze, you have found the problem. the starting hand hold is down and to the right of the blaze, and is a big sidepull with a good edge on top. under the start hand is a large edge that you will heel hook for the start.  start low, but not with a sit start, with a left hand sidepull, right hand on upper edge, and a heel hook below on the left facing edge.","Location`Walk to the Rock House Boulder and start around the left side of it as if you are going to hike along the trail past the boulder itself. as you walk, find the bright blue blaze that is the trail marker for the Rock House Ridge hiking trail.  Once you find that blaze, you have found the problem. the starting hand hold is down and to the right of the blaze, and is a big sidepull with a good edge on top. under the start hand is a large edge that you will heel hook for the start.  start low, but not with a sit start, with a left hand sidepull, right hand on upper edge, and a heel hook below on the left facing edge."
106779712,Protection,pad,Protection`pad
108906405,Description,"This route is a blast! Start on an obvious jug, with an obvious foot, and work up the route using pretty wild moves. I believe the crux is latching the small hold coming off the horizontalsideunderclings. I found that topping out to the right is a good secure way to go.","Description`This route is a blast! Start on an obvious jug, with an obvious foot, and work up the route using pretty wild moves. I believe the crux is latching the small hold coming off the horizontalsideunderclings. I found that topping out to the right is a good secure way to go."
108906405,Location,"On the right wall in the middle, directly to the right where it says that Robyn & Wayne.","Location`On the right wall in the middle, directly to the right where it says that Robyn & Wayne."
108906405,Protection,Pads and a spotter.,Protection`Pads and a spotter.
107333030,Description,"Hive Boulder:   Sit-start at the base of the boulder on the slab block under the boulder itself. hands on top, and feet on smallish edges, or smeared. lever up and nab any good ripple or edge above the slab on the big main boulder, and bring feet up onto the top of the slab block.   from here, follow the line up the boulder as a sort of wide arete, using edge holds, smooth knobs, or shallow pockets to the top out. feet follows most of the way.   the top out is straight forward.Be sure to check out the problem description of the Hive on GHSP Bouldering!  graysonhighlandsbouldering.…","Description`Hive Boulder:   Sit-start at the base of the boulder on the slab block under the boulder itself. hands on top, and feet on smallish edges, or smeared. lever up and nab any good ripple or edge above the slab on the big main boulder, and bring feet up onto the top of the slab block.   from here, follow the line up the boulder as a sort of wide arete, using edge holds, smooth knobs, or shallow pockets to the top out. feet follows most of the way.   the top out is straight forward.Be sure to check out the problem description of the Hive on GHSP Bouldering!  graysonhighlandsbouldering.…"
107333030,Location,"On the Hive Boulder.   Approaching the Hive Boulder from the ""Room"", the ""Hive"" problem is on the front of the boulder, nearest to the trail. The problem sit Starts down on the vertical slab block under the base of the boulder. the problem follows the boulder almost as a wide arete, vertically, to the top out.","Location`On the Hive Boulder.   Approaching the Hive Boulder from the ""Room"", the ""Hive"" problem is on the front of the boulder, nearest to the trail. The problem sit Starts down on the vertical slab block under the base of the boulder. the problem follows the boulder almost as a wide arete, vertically, to the top out."
107333030,Protection,pad,Protection`pad
119697127,Description,SDS on large jug on the left of boulder. Climb up and onto the arete. Climb up the perfect holds on the middle of the arete.,Description`SDS on large jug on the left of boulder. Climb up and onto the arete. Climb up the perfect holds on the middle of the arete.
119697127,Location,Large jug near the smooth portion of rock on left side of the boulder.,Location`Large jug near the smooth portion of rock on left side of the boulder.
119697127,Protection,Pads,Protection`Pads
106537530,Description,"Start to the right of ""Blue Jet"". the start is low, matched at a sharp, deep, long crimp rail at the base of the vertical face below the crack system, and above the overhanging portion of the boulder.   feet wherever you can find them (or just campus from the jug crimp rail up to the crack jug).  Toss up and right to anywhere positive along the crack.  Follow the good crack all the way right and then trend left with a good toss, ending up at the only clean top out above you. top out.  Grabbing the old pine tree is acceptable style since we would have to cut up all the beautiful old-growth moss for a silly top out move. Just use the tree.","Description`Start to the right of ""Blue Jet"". the start is low, matched at a sharp, deep, long crimp rail at the base of the vertical face below the crack system, and above the overhanging portion of the boulder.   feet wherever you can find them (or just campus from the jug crimp rail up to the crack jug).  Toss up and right to anywhere positive along the crack.  Follow the good crack all the way right and then trend left with a good toss, ending up at the only clean top out above you. top out.  Grabbing the old pine tree is acceptable style since we would have to cut up all the beautiful old-growth moss for a silly top out move. Just use the tree."
106537530,Location,"This line is on the first (short) side of Olympus. Directly to the right of ""Blue Jet."" This line starts low, with a right hand on a sharp flake jug and a left hand in a juggish slot below the crack. this line trends right along the diagonal crack through jugs and then left again, topping out above the start.. just follow the crack to the only clear place to top out..","Location`This line is on the first (short) side of Olympus. Directly to the right of ""Blue Jet."" This line starts low, with a right hand on a sharp flake jug and a left hand in a juggish slot below the crack. this line trends right along the diagonal crack through jugs and then left again, topping out above the start.. just follow the crack to the only clear place to top out.."
106537530,Protection,pads,Protection`pads
106830441,Description,"Periscope Boulder:  Sit Start on the same low flat hand that ""periscope"" does, which is in the middle/bottom of the front face of the Periscope Boulder. work up and to the left through a sidepull/crimp and another sidepull/crimp with a crooked undercling. move up to a ledge and work across the lip to the right into a long jug. from the long jug, heel hook the previous ledge and press up into a fun but slightly hard top out.","Description`Periscope Boulder:  Sit Start on the same low flat hand that ""periscope"" does, which is in the middle/bottom of the front face of the Periscope Boulder. work up and to the left through a sidepull/crimp and another sidepull/crimp with a crooked undercling. move up to a ledge and work across the lip to the right into a long jug. from the long jug, heel hook the previous ledge and press up into a fun but slightly hard top out."
106830441,Location,"Periscope Boulder:  Sit Start on the same low flat hand that ""periscope"" does, which is in the middle/bottom of the front face of the Periscope Boulder.","Location`Periscope Boulder:  Sit Start on the same low flat hand that ""periscope"" does, which is in the middle/bottom of the front face of the Periscope Boulder."
106830441,Protection,pad,Protection`pad
107290137,Description,"Mike-N-Ike Boulder:(""Ballad"" for short)  walk around to the heavy overhang on the right end of the main front face along the trail side of the boulder. Look for the jagged crack line on the left side of the severe overhang. this crack is off. Ballad climbs the fun features to the right of the crack and tops out to the right of the start. If you use the crack whatsoever, you are not climbing the problem.Sit start very low on two opposing incut crimp hands. Toss high and right to a long solid rail, and then with your left to a flat sidepull and then to another higher incut. establish on incuts and launch right to a deep sharpish, massive ledge. continue to top out (tricky until you figure it out).","Description`Mike-N-Ike Boulder:(""Ballad"" for short)  walk around to the heavy overhang on the right end of the main front face along the trail side of the boulder. Look for the jagged crack line on the left side of the severe overhang. this crack is off. Ballad climbs the fun features to the right of the crack and tops out to the right of the start. If you use the crack whatsoever, you are not climbing the problem.Sit start very low on two opposing incut crimp hands. Toss high and right to a long solid rail, and then with your left to a flat sidepull and then to another higher incut. establish on incuts and launch right to a deep sharpish, massive ledge. continue to top out (tricky until you figure it out)."
107290137,Location,"Walk down the trail past the top lookout, passing The Room, MOW, and as soon as you pass MOW, look in front of you at the boulder in front of the curve in the trail and this is Mike-N-Ike. walk around to the heavy overhang on the right end of the main front face along the trail side of the boulder. Look for the jagged crack line on the left side of the severe overhang. this crack is off... ""Ballad"" climbs the phenomenal features to the right of the crack and tops out to the right of the start. If you use the crack whatsoever, you are not climbing the problem.   Sit start very low on two opposing incut crimp hands, with feet below on whats good.","Location`Walk down the trail past the top lookout, passing The Room, MOW, and as soon as you pass MOW, look in front of you at the boulder in front of the curve in the trail and this is Mike-N-Ike. walk around to the heavy overhang on the right end of the main front face along the trail side of the boulder. Look for the jagged crack line on the left side of the severe overhang. this crack is off... ""Ballad"" climbs the phenomenal features to the right of the crack and tops out to the right of the start. If you use the crack whatsoever, you are not climbing the problem.   Sit start very low on two opposing incut crimp hands, with feet below on whats good."
107290137,Protection,pads,Protection`pads
106536630,Description,"sit start on the large chunk. heel hook the chunk and move up through the crimps to the ledge where one spot is very positive. toss from there up to a good ledge rail on the next ""platform.""  Get feet up on ledge and then find the horn/spike type knob on top and top out...","Description`sit start on the large chunk. heel hook the chunk and move up through the crimps to the ledge where one spot is very positive. toss from there up to a good ledge rail on the next ""platform.""  Get feet up on ledge and then find the horn/spike type knob on top and top out..."
106536630,Location,"As you are passing the short side of the Olymups Boulder, the first side you come to, The ""Blue Jet"" Problem is the second problem you will find.   Look for a large chunk of rock to sit start on, and above, past a couple of crimps, is a very large gap and ledge that leads up to another platform of rock to top out on. this is ""Blue Jet.""","Location`As you are passing the short side of the Olymups Boulder, the first side you come to, The ""Blue Jet"" Problem is the second problem you will find.   Look for a large chunk of rock to sit start on, and above, past a couple of crimps, is a very large gap and ledge that leads up to another platform of rock to top out on. this is ""Blue Jet."""
106536630,Protection,pads,Protection`pads
106771841,Description,the meeting of the two blades forms an enticing dihedral.  sit start at the base of the dihedral on a left jug.  work up the dihedral through reachy jugs and diagonal rails to gain a right side crack to utilize for gaining the top-out (which is fantastic on the left blade's top edge)  Be sure to check out the problem description for Dark Horse on GHSP Bouldering!  graysonhighlandsbouldering.…,Description`the meeting of the two blades forms an enticing dihedral.  sit start at the base of the dihedral on a left jug.  work up the dihedral through reachy jugs and diagonal rails to gain a right side crack to utilize for gaining the top-out (which is fantastic on the left blade's top edge)  Be sure to check out the problem description for Dark Horse on GHSP Bouldering!  graysonhighlandsbouldering.…
106771841,Location,the meeting of the two blades forms an enticing dihedral.  sit start at the base of the dihedral on a left jug.,Location`the meeting of the two blades forms an enticing dihedral.  sit start at the base of the dihedral on a left jug.
106771841,Protection,pads,Protection`pads
107612757,Description,"Big, bold, and beautiful. -Sit start low under the enormous, steep overhang at the base. The base on the far left side of the main overhang has a nice obvious chunk.-Pull up onto the high break and get out to the massive jug lobe. Surf that for about 10 feet to the end. Blast out left to the next rail jug line.- follow the higher jug line up and left to a jug chunk and follow to the top.-Its fine to use the thin Yellow Birch tree to help with the top out. It's there and no one should harm it, so why not make the top a little safer right? Use the tree.","Description`Big, bold, and beautiful. -Sit start low under the enormous, steep overhang at the base. The base on the far left side of the main overhang has a nice obvious chunk.-Pull up onto the high break and get out to the massive jug lobe. Surf that for about 10 feet to the end. Blast out left to the next rail jug line.- follow the higher jug line up and left to a jug chunk and follow to the top.-Its fine to use the thin Yellow Birch tree to help with the top out. It's there and no one should harm it, so why not make the top a little safer right? Use the tree."
107612757,Location,Moonlight/left,Location`Moonlight/left
107612757,Protection,pads!!!!,Protection`pads!!!!
121247232,Description,"Big morpho compression squeezing. Stand start with your right hand on the right arete, left hand on the low crimp on the face. Bump left to the left arete. From there, compress all the way up the boulder using both sides and toe hooks where needed. Thrutch to the top lip and mantle.","Description`Big morpho compression squeezing. Stand start with your right hand on the right arete, left hand on the low crimp on the face. Bump left to the left arete. From there, compress all the way up the boulder using both sides and toe hooks where needed. Thrutch to the top lip and mantle."
121247232,Location,Far Cry,Location`Far Cry
121247232,Protection,pads,Protection`pads
120536726,Description,Sit start to the left side of the big red flake. Move up along the left arete and the diagonal seam. Follow slopers and perfect turtle shell pinches to top out.,Description`Sit start to the left side of the big red flake. Move up along the left arete and the diagonal seam. Follow slopers and perfect turtle shell pinches to top out.
120536726,Location,Lost World,Location`Lost World
120536726,Protection,pads,Protection`pads
