route_id,route,location,url,avg_stars,rating,rating_simple,rating_int,pitches,length,x,y,region_1,region_2,region_3,region_4,x_diff,y_diff,description,protection,text,feature_tags,good_tags,other_tags,bad_tags,skill,bad_ind,good_ind,fun_ind,pretty_ind,boulder_ind,rope_ind,tr_ind,trad_ind,sport_ind
107844230,New High Score,Eastern WV > Bear Haven,https://www.mountainproject.com/route/107844230/new-high-score,4,V2-3 PG13,v3,3,1,20,-79.6795,38.9293,Eastern WV,Bear Haven,-,NA,0,0,"This is a traverse. Start on the right side before the rock blocking the path. Traverse left using any of the very abundant hand holds and go as far as you can, or around the corner past the dead tree. Make your own routine.","Pads are optional, but never a bad idea. The ground is mostly flat with the exception of a few protruding rocks.","new high score: this is a traverse. start on the right side before the rock blocking the path. traverse left using any of the very abundant hand holds and go as far as you can, or around the corner past the dead tree. make your own routine.",traverse,-,-,-,-,0,0,0,0,1,0,0,0,0
107760199,Bear Haven Hanger,Eastern WV > Bear Haven,https://www.mountainproject.com/route/107760199/bear-haven-hanger,2.8,V1-2 PG13,v2,2,1,12,-79.6795,38.9293,Eastern WV,Bear Haven,-,NA,0,0,"Start low and to the left of the problem. Match both hands in the bottom of the crack for a sit start. Reach, with your right hand, to the small horizontal ridge where the over-hang meets the vertical rock. Match your hands to reposition your feet and body to get fully under the over-hang. Reposition again. Once comfortable, utilize the small left hand above your head to reach the 'fold' in the rock with an out turned right hand. From there, go to the left hand pocket above the over-hang. Set your right hand where you like, then bump your left hand to the small vertical lip. Lay back on your left hand and bring your feet up. Balance and finish with the large overhanging hold above your head.  Implement your own style... That's what climbing is all about.",The ground is flat so spotting is fairly easy. Pads are recommended.,"bear haven hanger: start low and to the left of the problem. match both hands in the bottom of the crack for a sit start. reach, with your right hand, to the small horizontal ridge where the over-hang meets the vertical rock. match your hands to reposition your feet and body to get fully under the over-hang. reposition again. once comfortable, utilize the small left hand above your head to reach the 'fold' in the rock with an out turned right hand. from there, go to the left hand pocket above the over-hang. set your right hand where you like, then bump your left hand to the small vertical lip. lay back on your left hand and bring your feet up. balance and finish with the large overhanging hold above your head.  implement your own style... that's what climbing is all about.","crack, pocket",-,-,-,balance,0,0,0,0,1,0,0,0,0
109225527,Deek,Eastern WV > Bear Haven,https://www.mountainproject.com/route/109225527/deek,2.7,V1 PG13,v1,1,1,NA,-79.6795,38.9293,Eastern WV,Bear Haven,-,NA,0,0,"Shares the same start as Lucky Pierre. Low two-handed start. Instead of heading straight up the arete, move into the crack system to the right and make your way up. Solid holds, one large sloper. The top out is covered in lichen.  The conglomerate rock can crumble and tear your hands, but this is still a great route.",Crash pad and spotter to make sure you don't fall off the nearby cliff.,"deek: shares the same start as lucky pierre. low two-handed start. instead of heading straight up the arete, move into the crack system to the right and make your way up. solid holds, one large sloper. the top out is covered in lichen.  the conglomerate rock can crumble and tear your hands, but this is still a great route.","arete, crack, sloper",great,-,-,-,0,1,1,0,1,0,0,0,0
111454025,It's All Ogre Now,Eastern WV > Bear Haven,https://www.mountainproject.com/route/111454025/its-all-ogre-now,2,V0 PG13,v0,0,1,15,-79.6795,38.9293,Eastern WV,Bear Haven,-,NA,0,0,Start slightly left of the crack and work your way right and move up. The ledge at the top of the crack has limited hand holds but there is a blind hand slap sidepull above and to the right. Use it to pull your feet up to the ledge. Shrek appears and puts you on your hands and knees. Escape his swamp by moving along the ledge and topping out to the Frenchy Boulder before his powerful ogre hands get you.,Bottle of Jergens,it's all ogre now: start slightly left of the crack and work your way right and move up. the ledge at the top of the crack has limited hand holds but there is a blind hand slap sidepull above and to the right. use it to pull your feet up to the ledge. shrek appears and puts you on your hands and knees. escape his swamp by moving along the ledge and topping out to the frenchy boulder before his powerful ogre hands get you.,"crack, ledge",-,-,-,powerful,0,0,0,0,1,0,0,0,0
109223033,Lucky Pierre,Eastern WV > Bear Haven,https://www.mountainproject.com/route/109223033/lucky-pierre,3,V4+ PG13,v4,4,1,15,-79.6795,38.9293,Eastern WV,Bear Haven,-,NA,0,0,"Start low on a two hand start - Make a move to a small rail and a right hand sloper. Throw big to a pocket (crux), hold the swing, bump the right hand up marginal pockets, and top out on the arete","Crash pad and a good spotter. If you don't hold the swing, you may be going for a 30+ foot fall down a nearby ledge.","lucky pierre: start low on a two hand start - make a move to a small rail and a right hand sloper. throw big to a pocket (crux), hold the swing, bump the right hand up marginal pockets, and top out on the arete","arete, crux, pocket, sloper",-,-,-,-,0,0,0,0,1,0,0,0,0
107551181,The Arsonist has Oddly-Shaped Feet,Eastern WV > Bear Haven,https://www.mountainproject.com/route/107551181/the-arsonist-has-oddly-shaped-feet,3,5.9+ PG13,5.9,9,1,35,-79.6795,38.9293,Eastern WV,Bear Haven,-,NA,0,0,The landing for your belay buddy offers a place to sit.  From the of the route there are descent hand holds.  If possible rap down first and brush out alot of the cracks and obvious hand holds.  Work up the route to the left and some simple lay backs will eventually get you to a rest spot in a big crack about 2/3 up the way up the rock.  The crux moves are about two feet off the ground when trying to get started.  Cleaning the route can greatly help you hold your grip until you get your footing.  The hardest move of the route is about half was up when moving left. Hand holds begin to slope and the slight over hanging angle of the rock makes this a bit tricky.  Cleaning in the this area of the rock can offer more hand holds because the amount of spider nests in some smaller huecos.,Anchor to the large rock on top of the High Wall. With long enough slings this also be used for additional routes.,the arsonist has oddly-shaped feet: the landing for your belay buddy offers a place to sit.  from the of the route there are descent hand holds.  if possible rap down first and brush out alot of the cracks and obvious hand holds.  work up the route to the left and some simple lay backs will eventually get you to a rest spot in a big crack about 2/3 up the way up the rock.  the crux moves are about two feet off the ground when trying to get started.  cleaning the route can greatly help you hold your grip until you get your footing.  the hardest move of the route is about half was up when moving left. hand holds begin to slope and the slight over hanging angle of the rock makes this a bit tricky.  cleaning in the this area of the rock can offer more hand holds because the amount of spider nests in some smaller huecos.,"crack, crux, hueco, sloper",great,tricky,-,-,0,1,1,0,0,1,1,0,0
124432207,Dobbin’s Porch,Eastern WV > Blackwater Falls State Park > Dobbin’s House,https://www.mountainproject.com/route/124432207/dobbins-porch,3,V1-,v1,1,1,12,-79.50971,39.11232,Eastern WV,Blackwater Falls State Park,Dobbin’s House,NA,0,0,"A fun, safe slab for beginners. Start just to the left of the nearest arete (from the trail) and make your way to the top on great hands and feet.",crashpad,"dobbin’s porch: a fun, safe slab for beginners. start just to the left of the nearest arete (from the trail) and make your way to the top on great hands and feet.","arete, slab","fun, great",-,-,-,0,1,1,0,1,0,0,0,0
121786645,Camp 4 Crack,Eastern WV > Blackwater Falls State Park > Granite Boulder,https://www.mountainproject.com/route/121786645/camp-4-crack,3,V5-6,v6,6,1,12,-79.48277,39.10938,Eastern WV,Blackwater Falls State Park,Granite Boulder,NA,0,0,"Ascend the obvious layback crack on the left side of the boulder. Begin with desperate smearing to establish into the layback, and finish with a desperate throw to the top. Feels just like a chunk of granite.",-,"camp 4 crack: ascend the obvious layback crack on the left side of the boulder. begin with desperate smearing to establish into the layback, and finish with a desperate throw to the top. feels just like a chunk of granite.",crack,-,smear,-,-,0,0,0,0,1,0,0,0,0
121786674,Stand Tall,Eastern WV > Blackwater Falls State Park > Granite Boulder,https://www.mountainproject.com/route/121786674/stand-tall,3,V7,v7,7,1,NA,-79.48277,39.10938,Eastern WV,Blackwater Falls State Park,Granite Boulder,NA,0,0,"Climb the blank looking grey face. Begin with stand start on a left hand edge and a right hand undercling. Stand tall to a very small left hand crimp, lockoff to a funky pinch on the arete, and stretch out for a huge move to a sloper. A sit start can also be done to add a grade. It has not been done, but it is a little lower in quality.",-,"stand tall: climb the blank looking grey face. begin with stand start on a left hand edge and a right hand undercling. stand tall to a very small left hand crimp, lockoff to a funky pinch on the arete, and stretch out for a huge move to a sloper. a sit start can also be done to add a grade. it has not been done, but it is a little lower in quality.","arete, crimp, face, sloper",fun,-,-,-,0,1,1,0,1,0,0,0,0
121786549,Cartoon Sized Hammer,Eastern WV > Blackwater Falls State Park > Pendleton Point,https://www.mountainproject.com/route/121786549/cartoon-sized-hammer,4,V6,v6,6,1,15,-79.49149,39.11168,Eastern WV,Blackwater Falls State Park,Pendleton Point,NA,0,0,The smack down you weren’t ready for. This is an absolutely amazing line squeezing up the right side of the stand alone boulder located skier’s left/climber’s right of the small cliff. Slap your way up the wide squeeze and ride the arete along easier terrain for a highball topout. This is one of the best lines around- a must do!,-,cartoon sized hammer: the smack down you weren’t ready for. this is an absolutely amazing line squeezing up the right side of the stand alone boulder located skier’s left/climber’s right of the small cliff. slap your way up the wide squeeze and ride the arete along easier terrain for a highball topout. this is one of the best lines around- a must do!,arete,"best, easier",-,-,-,0,1,0,0,1,0,0,0,0
