route,location,url,avg_stars,route_type,rating,pitches,length,y,x
Egyptian Root Canal,08. Egyptian Boulder > Meadow Top Boulders > Meadow River Gorge > The New River Gorge Region > West Virginia,https://www.mountainproject.com/route/116140328/egyptian-root-canal,3.6,Boulder,V5,1,NA,38.15359,-80.93483
Animal Logic,DC Memorial Boulder > Summersville Lake (main) > Summersville (Gauley River) Area > The New River Gorge Region > West Virginia,https://www.mountainproject.com/route/105992257/animal-logic,2.9,"Sport, Boulder",5.12b V5,1,20,38.24156,-80.84428
The MacGuffin,10. MacGuffin Boulder > Meadow Top Boulders > Meadow River Gorge > The New River Gorge Region > West Virginia,https://www.mountainproject.com/route/116564735/the-macguffin,3.7,Boulder,V5,1,20,38.15371,-80.93505
Mechanical Sensei,02. Mechanical Sensei Boulder > Meadow Top Boulders > Meadow River Gorge > The New River Gorge Region > West Virginia,https://www.mountainproject.com/route/117070700/mechanical-sensei,3.1,Boulder,V5,1,10,38.15277,-80.92832
Leaving Las Fayetteville,Leaving Las Fayetteville Boulder > Hawk's Nest Proper > Lower New River Gorge Bouldering > New River Gorge Proper > The New River Gorge Region > West Virginia,https://www.mountainproject.com/route/107294439/leaving-las-fayetteville,3.1,Boulder,V5,1,NA,38.11762,-81.13159
Slopers Malone,Malone Boulder > Cotton Bottom > Lower New River Gorge Bouldering > New River Gorge Proper > The New River Gorge Region > West Virginia,https://www.mountainproject.com/route/108578879/slopers-malone,3.4,Boulder,V6-,1,15,38.11552,-81.14362
"1,2 Punch","1, 2 Punch Boulder > Sunshine Boulders > New River Gorge Proper > The New River Gorge Region > West Virginia",https://www.mountainproject.com/route/114232065/12-punch,3.8,Boulder,V7,1,15,38.0738,-81.08513
Anti-Elvis,Anti-Elvis Area > Tilted Tree > Coopers Rock State Forest > Northern WV > West Virginia,https://www.mountainproject.com/route/112814763/anti-elvis,3.5,Boulder,V4,1,NA,39.6341,-79.80722
Slitty Titty Traverse,Slitty Titty Boulder > Cotton Bottom > Lower New River Gorge Bouldering > New River Gorge Proper > The New River Gorge Region > West Virginia,https://www.mountainproject.com/route/108578268/slitty-titty-traverse,3.5,Boulder,V4-5,1,20,38.11576,-81.14353
Sunshine Arete,Sunshine Boulder > Sunshine Boulders > New River Gorge Proper > The New River Gorge Region > West Virginia,https://www.mountainproject.com/route/114232015/sunshine-arete,3.6,Boulder,V5,1,14,38.0733,-81.08549
