route,location,url,avg_stars,route_type,rating,pitches,length,y,x
Super Crack,7) Thunder Buttress > Beauty Mountain > New River Gorge Proper > The New River Gorge Region > West Virginia,https://www.mountainproject.com/route/105949134/super-crack,3.9,Trad,5.9+,1,100,38.05053,-81.03102
Two Bag Face,3) Workmen's Buttress > Fern Buttress > New River Gorge Proper > The New River Gorge Region > West Virginia,https://www.mountainproject.com/route/107129358/two-bag-face,3.9,Trad,5.9 R,1,80,38.06369,-81.06911
Four Sheets to the Wind,Junkyard Wall > Junkyard Area > New River Gorge Proper > The New River Gorge Region > West Virginia,https://www.mountainproject.com/route/105943666/four-sheets-to-the-wind,3.8,Trad,5.9+,1,75,38.08299,-81.08043
West Pole,South Peak West Face (Main Area) > South Peak - West Face > Seneca Rocks > West Virginia,https://www.mountainproject.com/route/105868530/west-pole,3.7,Trad,5.7+,3,220,38.83453,-79.36677
Ecstasy,South End > Seneca Rocks > West Virginia,https://www.mountainproject.com/route/105910030/ecstasy,3.6,Trad,5.7,3,250,38.83377,-79.36693
Triple S,South Peak West Face (Main Area) > South Peak - West Face > Seneca Rocks > West Virginia,https://www.mountainproject.com/route/105908844/triple-s,3.6,Trad,5.8+,2,90,38.83453,-79.36677
Pleasant Overhangs,South Peak West Face (Main Area) > South Peak - West Face > Seneca Rocks > West Virginia,https://www.mountainproject.com/route/106171582/pleasant-overhangs,3.6,Trad,5.7,3,290,38.83453,-79.36677
Soler,Upper Broadway > South Peak - East Face > Seneca Rocks > West Virginia,https://www.mountainproject.com/route/106061731/soler,3.6,Trad,5.7,2,200,38.8344,-79.36659
Fantasy,M) Fantasy Area > Endless Wall > New River Gorge Proper > The New River Gorge Region > West Virginia,https://www.mountainproject.com/route/106155521/fantasy,3.6,Trad,5.8,2,120,38.05596,-81.05393
Management Wore Masks,Cotton Club > Cotton Hill > New River Gorge Proper > The New River Gorge Region > West Virginia,https://www.mountainproject.com/route/117081023/management-wore-masks,3.6,Sport,5.8,1,80,38.1138,-81.13935
Ferrovieri,3. Second Buttress > Upper Meadow > Meadow River Gorge > The New River Gorge Region > West Virginia,https://www.mountainproject.com/route/113785114/ferrovieri,3.6,Sport,5.7,1,100,38.14295,-80.91755
Winter Harvest,Reeds Creek > Eastern WV > West Virginia,https://www.mountainproject.com/route/110620729/winter-harvest,3.6,Sport,5.8,1,70,38.785,-79.288
Flight of the Gumbie,6. Butcher's Branch > Kaymoor > New River Gorge Proper > The New River Gorge Region > West Virginia,https://www.mountainproject.com/route/105944377/flight-of-the-gumbie,3.5,Sport,5.9+,1,80,38.05092,-81.07276
New Yosemite,Junkyard Wall > Junkyard Area > New River Gorge Proper > The New River Gorge Region > West Virginia,https://www.mountainproject.com/route/105943658/new-yosemite,3.5,"Trad, TR",5.9,1,65,38.08299,-81.08043
Mrs. Field's Follies,01. Sandstonia > Bubba City > New River Gorge Proper > The New River Gorge Region > West Virginia,https://www.mountainproject.com/route/106138609/mrs-fields-follies,3.5,Sport,5.8,1,95,38.10049,-81.09596
Climbin' Punishment,Southern Pillar - West Side > Southern Pillar > Seneca Rocks > West Virginia,https://www.mountainproject.com/route/106040877/climbin-punishment,3.5,Trad,5.8+,3,180,38.83261,-79.36748
Lichen or Leave It,North Peak - East Face > Seneca Rocks > West Virginia,https://www.mountainproject.com/route/106058493/lichen-or-leave-it,3.6,Trad,5.8,1,90,38.83537,-79.36542
Dufty's Popoff,Southeast Corner > South Peak - East Face > Seneca Rocks > West Virginia,https://www.mountainproject.com/route/107265652/duftys-popoff,3.5,Trad,5.7 PG13,1,130,38.83343,-79.36659
"Blood, Sweat and Chalk",Impact Zone > Main Wall > Franklin Gorge > Eastern WV > West Virginia,https://www.mountainproject.com/route/106188769/blood-sweat-and-chalk,3.5,Sport,5.9+,1,70,38.66516,-79.32026
Green Wall,South Peak West Face (Main Area) > South Peak - West Face > Seneca Rocks > West Virginia,https://www.mountainproject.com/route/105917255/green-wall,3.4,Trad,5.7,3,NA,38.83453,-79.36677
High Test,Upper Broadway > South Peak - East Face > Seneca Rocks > West Virginia,https://www.mountainproject.com/route/106193027/high-test,3.9,Trad,5.9+,1,120,38.8344,-79.36659
Marshall's Madness,South Peak West Face (Main Area) > South Peak - West Face > Seneca Rocks > West Virginia,https://www.mountainproject.com/route/107617999/marshalls-madness,3.4,Trad,5.9,3,165,38.83453,-79.36677
Ritz Cracker,8) Ritz Cracker Area > Fern Buttress > New River Gorge Proper > The New River Gorge Region > West Virginia,https://www.mountainproject.com/route/106660073/ritz-cracker,3.4,Trad,5.9,2,90,38.05999,-81.06543
Smooth Operator,B) Party Buttress > Endless Wall > New River Gorge Proper > The New River Gorge Region > West Virginia,https://www.mountainproject.com/route/106033163/smooth-operator,3.6,Trad,5.9,1,90,38.05569,-81.06276
Traffic Jam,South Peak West Face (Main Area) > South Peak - West Face > Seneca Rocks > West Virginia,https://www.mountainproject.com/route/105917539/traffic-jam,3.3,Trad,5.7+,1,60,38.83453,-79.36677
Fool Effect,E) Kaymoor Slabs > Endless Wall > New River Gorge Proper > The New River Gorge Region > West Virginia,https://www.mountainproject.com/route/106046063/fool-effect,3.3,Sport,5.9,1,120,38.05426,-81.06106
Alcoa Presents,Upper Broadway > South Peak - East Face > Seneca Rocks > West Virginia,https://www.mountainproject.com/route/106171592/alcoa-presents,3.3,Trad,5.8,1,50,38.8344,-79.36659
Chockstone,2 Bridge Buttress > Bridge Area > New River Gorge Proper > The New River Gorge Region > West Virginia,https://www.mountainproject.com/route/105943705/chockstone,3.3,"Trad, TR",5.9+,1,80,38.07178,-81.08006
The Burn,Southwest Corner > South Peak - West Face > Seneca Rocks > West Virginia,https://www.mountainproject.com/route/105910394/the-burn,3.2,Trad,5.8,2,150,38.83453,-79.36677
Geisha Girl,01. Sandstonia > Bubba City > New River Gorge Proper > The New River Gorge Region > West Virginia,https://www.mountainproject.com/route/106138127/geisha-girl,3.2,Sport,5.8,1,95,38.10049,-81.09596
Wendy's Arete,Whippoorwill > Summersville (Gauley River) Area > The New River Gorge Region > West Virginia,https://www.mountainproject.com/route/107554557/wendys-arete,3.2,"Sport, TR",5.7,1,40,38.2338,-80.8552
Tomato,South Peak West Face (Main Area) > South Peak - West Face > Seneca Rocks > West Virginia,https://www.mountainproject.com/route/106067705/tomato,3.1,Trad,5.8,2,155,38.83453,-79.36677
Bee Sting Corner,Southeast Corner > South Peak - East Face > Seneca Rocks > West Virginia,https://www.mountainproject.com/route/107265681/bee-sting-corner,3.2,Trad,5.7,1,75,38.83343,-79.36659
Ye Gods & Little Fishes,South End > Seneca Rocks > West Virginia,https://www.mountainproject.com/route/106150218/ye-gods-little-fishes,3.1,Trad,5.8,1,85,38.83377,-79.36693
Hippie Dreams,Orange Oswald Wall > Summersville Lake (main) > Summersville (Gauley River) Area > The New River Gorge Region > West Virginia,https://www.mountainproject.com/route/105992273/hippie-dreams,3,Sport,5.7,1,75,38.2422,-80.83949
Jaws,2 Bridge Buttress > Bridge Area > New River Gorge Proper > The New River Gorge Region > West Virginia,https://www.mountainproject.com/route/105943880/jaws,3.1,"Trad, TR",5.9+,1,70,38.07178,-81.08006
Superman,Reeds Creek > Eastern WV > West Virginia,https://www.mountainproject.com/route/112368654/superman,3,Sport,5.7,1,30,38.785,-79.288
The Upheaval,E) Kaymoor Slabs > Endless Wall > New River Gorge Proper > The New River Gorge Region > West Virginia,https://www.mountainproject.com/route/105963143/the-upheaval,3,Sport,5.9,1,85,38.05426,-81.06106
Easily Flakey,2 Bridge Buttress > Bridge Area > New River Gorge Proper > The New River Gorge Region > West Virginia,https://www.mountainproject.com/route/105943747/easily-flakey,3,"Trad, TR",5.7,1,80,38.07178,-81.08006
Gimme a Clown,Whippoorwill > Summersville (Gauley River) Area > The New River Gorge Region > West Virginia,https://www.mountainproject.com/route/106736089/gimme-a-clown,2.9,"Sport, TR",5.9,1,70,38.2338,-80.8552
Prune,South Peak West Face (Main Area) > South Peak - West Face > Seneca Rocks > West Virginia,https://www.mountainproject.com/route/106267363/prune,2.9,Trad,5.7,4,320,38.83453,-79.36677
Neck Press,South Peak West Face (Main Area) > South Peak - West Face > Seneca Rocks > West Virginia,https://www.mountainproject.com/route/106456586/neck-press,2.9,Trad,5.7,3,200,38.83453,-79.36677
Bongo,Whippoorwill > Summersville (Gauley River) Area > The New River Gorge Region > West Virginia,https://www.mountainproject.com/route/107384080/bongo,2.9,Sport,5.7,1,70,38.2338,-80.8552
Zag,2 Bridge Buttress > Bridge Area > New River Gorge Proper > The New River Gorge Region > West Virginia,https://www.mountainproject.com/route/105944184/zag,2.9,"Trad, TR",5.8,1,NA,38.07178,-81.08006
Hysteria,7) Orchard Wall > Fern Buttress > New River Gorge Proper > The New River Gorge Region > West Virginia,https://www.mountainproject.com/route/106073348/hysteria,2.9,Trad,5.8,1,90,38.06056,-81.06663
