route_id,tag,category
105868530,best,good_tags
105868530,crack,feature_tags
105868530,easy,good_tags
105868530,fun,good_tags
105868530,good,good_tags
105868530,ledge,feature_tags
105868530,nice,good_tags
105868530,roof,feature_tags
105868594,crack,feature_tags
105868594,crux,feature_tags
105868594,easier,good_tags
105868616,crack,feature_tags
105868616,crux,feature_tags
105868616,easy,good_tags
105868616,ledge,feature_tags
105868616,nice,good_tags
105868626,crack,feature_tags
105868626,difficult,other_tags
105868626,ledge,feature_tags
105868626,traverse,feature_tags
105908805,crack,feature_tags
105908805,crux,feature_tags
105908805,ledge,feature_tags
105908819,chimney,feature_tags
105908819,dirty,bad_tags
105908819,easier,good_tags
105908819,flake,feature_tags
105908844,best,good_tags
105909984,crack,feature_tags
105909984,ledge,feature_tags
105910023,arete,feature_tags
105910023,best,good_tags
105910023,crack,feature_tags
105910023,exposed,feature_tags
105910023,good,good_tags
105910023,run out,bad_tags
105910023,thin,other_tags
105910030,chimney,feature_tags
105910030,classic,good_tags
105910030,crack,feature_tags
105910030,exposed,feature_tags
105910030,face,feature_tags
105910030,good,good_tags
105910030,ledge,feature_tags
105910030,roof,feature_tags
105910030,traverse,feature_tags
105910043,burly,skill
105910043,crack,feature_tags
105910043,crux,feature_tags
105910043,flake,feature_tags
105910047,face,feature_tags
105910077,burly,skill
105910077,chimney,feature_tags
105910077,cool,good_tags
105910077,crack,feature_tags
105910077,flake,feature_tags
105910077,good,good_tags
105910077,ledge,feature_tags
105910077,roof,feature_tags
105910082,chimney,feature_tags
105910082,crack,feature_tags
105910082,roof,feature_tags
105910086,crack,feature_tags
105910086,flake,feature_tags
105910086,ledge,feature_tags
105910086,thin,other_tags
105910394,crack,feature_tags
105910394,face,feature_tags
105910394,ledge,feature_tags
105910397,face,feature_tags
105910397,ledge,feature_tags
105910403,best,good_tags
105910403,chimney,feature_tags
105910403,crack,feature_tags
105910403,easier,good_tags
105910403,face,feature_tags
105910406,arete,feature_tags
105910406,classic,good_tags
105910406,crack,feature_tags
105910414,arete,feature_tags
105910414,classic,good_tags
105910414,crack,feature_tags
105910414,face,feature_tags
105910414,flake,feature_tags
105910414,ledge,feature_tags
105910414,nice,good_tags
105917255,crack,feature_tags
105917255,crux,feature_tags
105917255,easy,good_tags
105917255,face,feature_tags
105917255,flake,feature_tags
