route_id,field,value,info
112522475,Description,Originally named Internet Arete (published as Moby's Dick in the 2007 Brayack Guide) Classic! One of the most popular routes at Coopers. Sit start and ascend the leaning block using some good holds and a few heel hooks. Make a big move to the lip of the boulder and top out right around the backside of the boulder.,Description`Originally named Internet Arete (published as Moby's Dick in the 2007 Brayack Guide) Classic! One of the most popular routes at Coopers. Sit start and ascend the leaning block using some good holds and a few heel hooks. Make a big move to the lip of the boulder and top out right around the backside of the boulder.
112522475,Location,The obvious leaning block on the Moby boulder,Location`The obvious leaning block on the Moby boulder
112522475,Protection,Pads,Protection`Pads
107495217,Description,"Start sitting with a left hand pocket and an undercling on the right (search around it can be a bit hidden), move left into a sidepull and then move up and right into some bulbous slopers that will show you how all these ""Tomb Raider"" names came to be. Make a big move to a jug/undercling pinch, then easy topout around to the left.","Description`Start sitting with a left hand pocket and an undercling on the right (search around it can be a bit hidden), move left into a sidepull and then move up and right into some bulbous slopers that will show you how all these ""Tomb Raider"" names came to be. Make a big move to a jug/undercling pinch, then easy topout around to the left."
107495217,Location,Left arete of the Tomb Raider boulder.,Location`Left arete of the Tomb Raider boulder.
107495217,Protection,pads,Protection`pads
107041756,Description,Start on your choice of good holds and follow the left side of the arete to the top.  Pretty good problem.,Description`Start on your choice of good holds and follow the left side of the arete to the top.  Pretty good problem.
107041756,Location,"The arete across from Twist Dah Hick, and the obvious arete on the left side of the corridor.","Location`The arete across from Twist Dah Hick, and the obvious arete on the left side of the corridor."
107041756,Protection,pads,Protection`pads
107294413,Description,"Start standing from the pockets in the middle of the boulder.  Move left to the next set of pockets, then a big move up to the ledge.    Sit start from the flexing flake makes it a little harder.","Description`Start standing from the pockets in the middle of the boulder.  Move left to the next set of pockets, then a big move up to the ledge.    Sit start from the flexing flake makes it a little harder."
107294413,Location,"If you are standing in front of the Leaving Las Favetteville, Puckerface is to your right.","Location`If you are standing in front of the Leaving Las Favetteville, Puckerface is to your right."
107294413,Protection,Pad,Protection`Pad
115679841,Description,"The smallest hold is the start hold that is a full pad crimp.  Stand start there on the chalked up crimper, and follow that to giant but sharp jugs.  The crux of this problem, as with all the others on this side of the boulder, is the topout.","Description`The smallest hold is the start hold that is a full pad crimp.  Stand start there on the chalked up crimper, and follow that to giant but sharp jugs.  The crux of this problem, as with all the others on this side of the boulder, is the topout."
115679841,Location,The left-most problem on this side of the boulder.  Look for the start hold.,Location`The left-most problem on this side of the boulder.  Look for the start hold.
115679841,Protection,Big pads will be appreciated on this one if this is at your limit.,Protection`Big pads will be appreciated on this one if this is at your limit.
112352193,Description,Sit start on left sloper and right slopey edge towards the right side of the tree. Head straight up comfy holds and,Description`Sit start on left sloper and right slopey edge towards the right side of the tree. Head straight up comfy holds and
112352193,Location,About 5 ft to the right of the large tree for the start.,Location`About 5 ft to the right of the large tree for the start.
112352193,Protection,Crash Pads,Protection`Crash Pads
107041786,Description,"Distinguished by a mono. Climb the face, past an undercling to a mono and a pocket.This line is originally known as “The Proctologist” which makes more sense!","Description`Distinguished by a mono. Climb the face, past an undercling to a mono and a pocket.This line is originally known as “The Proctologist” which makes more sense!"
