type,grade,min,min
boulder,V0,20000,20050
boulder,V1,20050,20150
boulder,V2,20150,20250
boulder,V3,20250,20350
boulder,V4,20350,20450
boulder,V5,20450,20550
boulder,V6,20550,20650
boulder,V7,20650,20750
boulder,V8,20750,20850
boulder,V9,20850,20950
boulder,V10,20950,21050
boulder,V11,21050,21150
boulder,V12,21150,21250
boulder,V13,21250,21350
boulder,V14,21350,21450
boulder,V15,21450,21550
boulder,V16,21550,21650
boulder,V17,21650,21700
rope,5.0,1000,1000
rope,5.1,1100,1100
rope,5.2,1200,1200
rope,5.3,1300,1300
rope,5.4,1400,1400
rope,5.5,1500,1500
rope,5.6,1600,1600
rope,5.7,1800,1900
rope,5.8,2000,2200
rope,5.9,2300,2500
rope,5.10a,2600,2700
rope,5.10b,2700,3100
rope,5.10c,3100,3300
rope,5.10d,3300,4600
rope,5.11a,4600,4800
rope,5.11b,4800,5100
rope,5.11c,5100,5300
rope,5.11d,5300,6600
rope,5.12a,6600,6700
rope,5.12b,6700,7100
rope,5.12c,7100,7300
rope,5.12d,7300,8600
rope,5.13a,8600,8700
rope,5.13b,8700,9200
rope,5.13c,9200,9500
rope,5.13d,9500,10500
rope,5.14a,10500,10900
rope,5.14b,10900,11200
rope,5.14c,11200,11500
rope,5.14d,11500,11600
rope,5.15a,11600,11900
rope,5.15b,11900,12100
rope,5.15c,12100,12400
rope,5.15d,12400,12400

