route_id,route,location,url,avg_stars,rating,pitches,length,x,y,region_1,region_2,rating_simple,text,feature_tags,good_tags,other_tags,bad_tags,bad_ind,good_ind,fun_ind,pretty_ind,jake_ind,jonathan_ind,adrienne_ind
126064665,Wampa,Red River Gorge > Ash Branch,https://www.mountainproject.com/route/126064665/wampa,2.4,5.8,1,42,-83.63194,37.71743,Ash Branch,-,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
126064970,Pebble Wrestler,Red River Gorge > Ash Branch,https://www.mountainproject.com/route/126064970/pebble-wrestler,2.4,5.9-,1,30,-83.63194,37.71743,Ash Branch,-,9,pebble wrestler: climb the bolted pocketed face to a mantle on the ledge just below the chains.,"face, ledge, mantle, pocket",-,-,-,0,0,0,0,1,0,0
126064577,Harry,Red River Gorge > Ash Branch,https://www.mountainproject.com/route/126064577/harry,2.4,5.9,1,40,-83.63194,37.71743,Ash Branch,-,9,"harry: climbs up the middle of this section, past a small bulge crux higher up.",crux,-,-,-,0,0,0,0,0,0,0
126064610,The Hendersons,Red River Gorge > Ash Branch,https://www.mountainproject.com/route/126064610/the-hendersons,2.6,5.9,1,40,-83.63194,37.71743,Ash Branch,-,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
126064987,Festina Lente,Red River Gorge > Ash Branch,https://www.mountainproject.com/route/126064987/festina-lente,2.2,5.9+,1,25,-83.63194,37.71743,Ash Branch,-,9,"festina lente: ascends a sculpted water groove left of the arete. short, but fun movement on unique features. might feel weird if you don't figure out the flow.",arete,fun,-,-,0,1,1,0,0,0,1
126632375,Mellow Marmelade,Red River Gorge > Ash Branch,https://www.mountainproject.com/route/126632375/mellow-marmelade,1.2,5.9+,1,25,-83.63194,37.71743,Ash Branch,-,9,mellow marmelade: more of a boulder problem. stick clip the first bolt then work through the perm draw to the anchors.,-,-,stick-clip,-,0,0,0,0,0,0,0
126502921,Camp 4,Red River Gorge > Ash Branch,https://www.mountainproject.com/route/126502921/camp-4,2,5.9+,1,23,-83.63194,37.71743,Ash Branch,-,9,camp 4: good warm up for lighthouse and sandstone serenity. not hard moves just committing getting your feet onto the roof.,roof,"good, warm-up",-,-,0,1,0,0,0,0,1
200262327,Pepe,Red River Gorge > Ash Branch,https://www.mountainproject.com/route/200262327/pepe,3,5.10a,1,40,-83.63194,37.71743,Ash Branch,-,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
126067917,They're Out There,Red River Gorge > Ash Branch,https://www.mountainproject.com/route/126067917/theyre-out-there,2.5,5.10a,1,40,-83.63194,37.71743,Ash Branch,-,10,they're out there: establish over an undercut roof and climb pockets and plates past a slight bulge to a horizontal break up high near the anchors.,"pocket, roof",-,-,-,0,0,0,0,0,0,1
126068515,Charred Oak,Red River Gorge > Ash Branch,https://www.mountainproject.com/route/126068515/charred-oak,2.4,5.10a,1,40,-83.63194,37.71743,Ash Branch,-,10,charred oak: the following routes are under a large roof that should keep them dry in a rain. slabby climb on decent edges that begins above a low roof and trends up and right.,"roof, slab",-,-,-,0,0,0,0,0,0,1
