route,location,url,avg_stars,route_type,rating,pitches,length,y,x
BG,The Stadium > Muir Valley > Red River Gorge > Kentucky,https://www.mountainproject.com/route/118708487/bg,2.5,Sport,5.10a,1,60,37.73169,-83.63221
KS,The Stadium > Muir Valley > Red River Gorge > Kentucky,https://www.mountainproject.com/route/120980955/ks,2.3,Sport,5.10-,1,32,37.73169,-83.63221
Scrumbulglazer,The Stadium > Muir Valley > Red River Gorge > Kentucky,https://www.mountainproject.com/route/106059217/scrumbulglazer,2.6,Sport,5.10c,1,65,37.73169,-83.63221
Augenblick,The Stadium > Muir Valley > Red River Gorge > Kentucky,https://www.mountainproject.com/route/106059358/augenblick,2.8,Sport,5.10c,1,80,37.73169,-83.63221
Melancholy Mechanics,The Stadium > Muir Valley > Red River Gorge > Kentucky,https://www.mountainproject.com/route/106059221/melancholy-mechanics,2.7,Sport,5.10d,1,65,37.73169,-83.63221
Treetop Terror,The Stadium > Muir Valley > Red River Gorge > Kentucky,https://www.mountainproject.com/route/106065250/treetop-terror,2.6,"Trad, Sport",5.10d,1,NA,37.73169,-83.63221
Gnome Wrecker,The Stadium > Muir Valley > Red River Gorge > Kentucky,https://www.mountainproject.com/route/117343981/gnome-wrecker,1.9,Sport,5.10d,1,50,37.73169,-83.63221
Sweet Jane,Bruise Brothers Wall > Muir Valley > Red River Gorge > Kentucky,https://www.mountainproject.com/route/106286280/sweet-jane,2.2,Sport,5.8-,1,50,37.72444,-83.62657
The Bee's Business,Bruise Brothers Wall > Muir Valley > Red River Gorge > Kentucky,https://www.mountainproject.com/route/107116591/the-bees-business,2.5,Sport,5.8-,1,60,37.72444,-83.62657
Put the Best Foot Forward,Bruise Brothers Wall > Muir Valley > Red River Gorge > Kentucky,https://www.mountainproject.com/route/106085039/put-the-best-foot-forward,2.6,"Trad, Sport",5.8,1,55,37.72444,-83.62657
Redeye Brew,Bruise Brothers Wall > Muir Valley > Red River Gorge > Kentucky,https://www.mountainproject.com/route/106432960/redeye-brew,2,Sport,5.8,1,45,37.72444,-83.62657
