118708487,Description,"Climb the face until the holds fade, then reach around the arete for a blind side-pull. Work the arete until the bolts stop just before some large blocks, then run it out on easy climbing to get on top of the ledge containing anchors for ED. Clip one more bolt with an extended draw, if you wish, then make a few more moves to the chains above ED's anchor. Bolted during BG's (""Big Gio's"") first weekend back to climbing after a medical hiatus.","Description`Climb the face until the holds fade, then reach around the arete for a blind side-pull. Work the arete until the bolts stop just before some large blocks, then run it out on easy climbing to get on top of the ledge containing anchors for ED. Clip one more bolt with an extended draw, if you wish, then make a few more moves to the chains above ED's anchor. Bolted during BG's (""Big Gio's"") first weekend back to climbing after a medical hiatus."
118708487,Location,On the right face just around the arete from ED.,Location`On the right face just around the arete from ED.
118708487,Protection,6 bolts + anchors,Protection`6 bolts + anchors
126064970,Description,Climb the bolted pocketed face to a mantle on the ledge just below the chains.,Description`Climb the bolted pocketed face to a mantle on the ledge just below the chains.
126064970,Location,"Heavily featured line in the middle of the ""Bouldering Alley""","Location`Heavily featured line in the middle of the ""Bouldering Alley"""
126064970,Protection,4 bolts to anchors.,Protection`4 bolts to anchors.
126064577,Description,"Climbs up the middle of this section, past a small bulge crux higher up.","Description`Climbs up the middle of this section, past a small bulge crux higher up."
126064577,Location,"Middle of Squatch wall, starting over a ledge.","Location`Middle of Squatch wall, starting over a ledge."
126064577,Protection,4 bolts to anchors.,Protection`4 bolts to anchors.
126064610,Description,"Right end of moderates on the first wall, climbs up and right on layered features.","Description`Right end of moderates on the first wall, climbs up and right on layered features."
126064610,Location,"Furthest right route at Squatch wall's moderate section, before the wall gets manky and then steep.","Location`Furthest right route at Squatch wall's moderate section, before the wall gets manky and then steep."
126064610,Protection,5 bolts to anchors,Protection`5 bolts to anchors
126064987,Description,"Ascends a sculpted water groove left of the arete. Short, but fun movement on unique features. Might feel weird if you don't figure out the flow.","Description`Ascends a sculpted water groove left of the arete. Short, but fun movement on unique features. Might feel weird if you don't figure out the flow."
126064987,Location,"Right end of the short wall, just left of an arête. Climbs the water groove.","Location`Right end of the short wall, just left of an arête. Climbs the water groove."
126064987,Protection,2 bolts to anchors.,Protection`2 bolts to anchors.
126632375,Description,More of a boulder problem. Stick clip the first bolt then work through the perm draw to the anchors.,Description`More of a boulder problem. Stick clip the first bolt then work through the perm draw to the anchors.
126632375,Location,Left of the waterfall and hammock. Left of Sandstone Serenity. On the shorter wall left of the waterfall. If you are at the hammock you have gone too far.,Location`Left of the waterfall and hammock. Left of Sandstone Serenity. On the shorter wall left of the waterfall. If you are at the hammock you have gone too far.
126632375,Protection,2 Bolts. Anchors. Mussy Hooks.,Protection`2 Bolts. Anchors. Mussy Hooks.
126502921,Description,Good warm up for Lighthouse and Sandstone Serenity. Not hard moves just committing getting your feet onto the roof.,Description`Good warm up for Lighthouse and Sandstone Serenity. Not hard moves just committing getting your feet onto the roof.
126502921,Location,Thunderbeast Wall. Right of Lighthouse and Dennis's project route near the hammock next to the waterfall. It is left of the big-ledge with two-bolt routes to mussy hooks on it.,Location`Thunderbeast Wall. Right of Lighthouse and Dennis's project route near the hammock next to the waterfall. It is left of the big-ledge with two-bolt routes to mussy hooks on it.
