date,cloud_cover,sunshine,global_radiation,max_temp,mean_temp,min_temp,precipitation,pressure,snow_depth
1981-03-29,7,0,52,9,11.5,9.5,7.4,100260,0
1982-05-09,7,8.1,233,16.7,8.8,2.1,0,101940,0
1983-04-17,8,0,64,4.6,9.6,8.9,14.2,100040,0
1984-05-13,3,10.2,266,16.5,10.4,4.2,0,102520,0
1985-04-21,5,4.3,159,15.1,5.6,-0.1,0,101500,0
1986-04-20,5,8.6,218,10.6,10,5.5,0.1,100210,0
1987-05-10,5,8.2,236,15.2,11,7.2,0,101520,0
1988-04-17,7,3.2,138,18.9,13.9,10.6,0,100740,0
1989-04-23,8,0.4,84,6.6,10.2,6.8,0,101470,0
1990-04-22,6,4.2,158,17.3,12.2,8.4,0,101310,0
1991-04-21,6,4.2,157,11.5,5.3,-0.7,1.7,101750,0
1992-04-12,5,2.3,118,13.1,11.6,8.8,0.4,101530,0
1993-04-18,7,4.1,153,15.7,12.4,8.4,0,101570,0
1994-04-17,6,3.9,149,9.4,6.7,3.2,0,102260,0
1995-04-02,3,10.2,208,16.9,12.4,5.1,0,102740,0
1996-04-21,4,10.6,245,11.6,15.8,9.4,0.1,100450,0
1997-04-13,4,8.5,207,15.5,11.8,6.2,0,102790,0
1998-04-26,4,9.8,241,14.1,10.6,5.7,1.8,100430,0
1999-04-18,5,8.6,215,12.6,7.2,2.8,0,101500,0
2000-04-16,5,7.7,202,11.9,6.6,0.3,2.6,99560,0
2001-04-22,8,4.2,158,14,8,4.3,7.6,100460,0
2002-04-14,6,2.4,121,12.3,6.5,0.9,0,101340,0
2003-04-13,6,8.3,204,18.2,12,5.5,0,101640,0
2004-04-18,8,0.1,71,12.3,8.9,6.5,13.4,98110,0
2005-04-17,5,9.8,228,15.3,8.2,1.2,4.8,100360,0
2006-04-23,8,0,67,13.6,11.2,8.7,1.6,101650,0
2007-04-22,2,7.1,201,22.2,14.4,6.7,0,101940,0
2008-04-13,5,4.5,154,10.9,7.4,3.8,6.8,100890,0
2009-04-26,0,12.3,272,17.7,11.2,4.6,1.4,100730,NA
2010-04-25,7,1.7,117,18.8,14.9,10.8,0.4,101990,0
2011-04-17,4,5.1,167,19.6,14.8,9.5,0,102430,NA
2012-04-22,4,8.1,215,10.6,9.8,4.3,2.4,100260,0
2013-04-21,2,7.9,210,15.5,8.1,1.4,0,102150,0
2014-04-13,1,12.3,251,15.8,12.2,7.9,0,102160,0
2015-04-26,7,0,68,13.4,9.2,7.2,0,100790,0
2016-04-24,7,2.9,140,12.1,6.7,3.1,0,102010,0
2017-04-23,5,7.6,209,13.6,11.9,7.1,0,102590,0
2018-04-22,3,8.7,222,16.7,17.8,12,0,101060,0
2019-04-28,8,1.1,106,16.1,10.9,7.1,0,102010,0
2020-10-04,8,0.3,57,11.1,10,8.9,5,98210,NA
