FIPS,State,County_Name,Population_2010,UIC_2013,Description
01001,AL,Autauga County,"54,571",2,Small-in a metro area with fewer than 1 million residents                                           
01003,AL,Baldwin County,"182,265",2,Small-in a metro area with fewer than 1 million residents                                           
01005,AL,Barbour County,"27,457",6,"Noncore adjacent to a small metro with town of at least 2,500 residents                             "
01007,AL,Bibb County,"22,915",1,Large-in a metro area with at least 1 million residents or more                                     
01009,AL,Blount County,"57,322",1,Large-in a metro area with at least 1 million residents or more                                     
01011,AL,Bullock County,"10,914",6,"Noncore adjacent to a small metro with town of at least 2,500 residents                             "
01013,AL,Butler County,"20,947",6,"Noncore adjacent to a small metro with town of at least 2,500 residents                             "
01015,AL,Calhoun County,"118,572",2,Small-in a metro area with fewer than 1 million residents                                           
01017,AL,Chambers County,"34,215",5,Micropolitan adjacent to a small metro area                                                         
01019,AL,Cherokee County,"25,989",6,"Noncore adjacent to a small metro with town of at least 2,500 residents                             "
01021,AL,Chilton County,"43,643",1,Large-in a metro area with at least 1 million residents or more                                     
01023,AL,Choctaw County,"13,859",10,"Noncore adjacent to micro area and does not contain a town of at least 2,500 residents              "
01025,AL,Clarke County,"25,833",11,"Noncore not adjacent to a metro/micro area and contains a town of 2,500  or more residents          "
01027,AL,Clay County,"13,932",10,"Noncore adjacent to micro area and does not contain a town of at least 2,500 residents              "
01029,AL,Cleburne County,"14,972",4,Noncore adjacent to a large metro area                                                              
01031,AL,Coffee County,"49,948",5,Micropolitan adjacent to a small metro area                                                         
01033,AL,Colbert County,"54,428",2,Small-in a metro area with fewer than 1 million residents                                           
01035,AL,Conecuh County,"13,228",11,"Noncore not adjacent to a metro/micro area and contains a town of 2,500  or more residents          "
01037,AL,Coosa County,"11,539",3,Micropolitan adjacent to a large metro area                                                         
01039,AL,Covington County,"37,765",6,"Noncore adjacent to a small metro with town of at least 2,500 residents                             "
01041,AL,Crenshaw County,"13,906",6,"Noncore adjacent to a small metro with town of at least 2,500 residents                             "
01043,AL,Cullman County,"80,406",3,Micropolitan adjacent to a large metro area                                                         
01045,AL,Dale County,"50,251",5,Micropolitan adjacent to a small metro area                                                         
01047,AL,Dallas County,"43,820",5,Micropolitan adjacent to a small metro area                                                         
