criterion,weight,lakewood,tuscaloosa_lakewood,duke_park,watts_hillandale,old_west_durham,trinity_park,northgate,colonial_village,forest_hills,morehead_hills
safety_community_feel,22,4,3,3,5,4,5,4,4,4,4
price_fit,16,5,5,3,3,2,1,5,5,3,3
lot_size_gt4k,12,4,5,4,4,2,1,4,4,5,5
tree_lined_quiet,10,4,4,3,5,4,5,5,4,5,5
story_1_or_1pt5,9,3,4,3,4,3,2,4,4,3,3
liberal_community,8,4,4,4,5,5,5,4,4,4,4
street_walking_culture,5,4,3,3,5,5,5,4,4,3,3
relaxing_greenspace_5min,4,5,5,3,4,4,5,4,4,5,5
upgrade_potential,6,4,5,3,3,3,3,4,4,4,3
vegan_access_15min,4,4,4,3,5,5,5,3,3,4,4
climbing_access_15min,4,3,3,3,4,4,4,4,4,3,3
siren_frequency_noise,3,4,4,2,4,4,4,3,3,4,4
bikeable_downtown,2,3,2,3,4,5,5,2,2,3,3
