original_category,group,is_violent,safety_risk
DEATH INVESTIGATION,Administrative / Non-Crime,FALSE,FALSE
SUSPICIOUS ACTIVITY,Administrative / Non-Crime,FALSE,FALSE
NON-CRIMINAL DETAINMENT (INVOLUNTARY COMMITMENT),Administrative / Non-Crime,FALSE,FALSE
HUMANE,Administrative / Non-Crime,FALSE,FALSE
DISORDERLY CONDUCT,Public Order,FALSE,FALSE
DISORDERLY CONDUCT-DRUNK AND DISRUPTIVE,Public Order,FALSE,FALSE
JUVENILE,Administrative / Non-Crime,FALSE,FALSE
DISORDERLY CONDUCT-UNLAWFUL ASSEMBLY,Public Order,FALSE,FALSE
CURFEW/LOITERING/VAGRANCY VIOLATIONS,Public Order,FALSE,FALSE
OBSCENE MATERIAL,Sex Offenses,FALSE,FALSE
PORNOGRAPHY/OBSCENE MATERIAL,Sex Offenses,FALSE,FALSE
TRUANCY,Public Order,FALSE,FALSE
LIQUOR LAW VIOLATIONS,Public Order,FALSE,FALSE
GAMBLING,Public Order,FALSE,FALSE
GAMBLING - BETTING/WAGERING,Public Order,FALSE,FALSE
UNDISCIPLINED JUVENILE,Administrative / Non-Crime,FALSE,FALSE
AGGRAVATED ASSAULT,Assault,TRUE,TRUE
Simple Assault,Assault,FALSE,TRUE
SIMPLE ASSAULT,Assault,FALSE,TRUE
SUICIDE,Death,FALSE,FALSE
INTIMIDATION,Assault,FALSE,TRUE
BURGLARY,Burglary,FALSE,TRUE
BURGLARY/COMMERCIAL,Burglary,FALSE,TRUE
BURGLARY/RESIDENTIAL,Burglary,FALSE,TRUE
DRUG VIOLATIONS,Drug Offenses,FALSE,TRUE
DRUG/NARCOTIC VIOLATIONS,Drug Offenses,FALSE,TRUE
DRUG EQUIPMENT/PARAPHERNALIA,Drug Offenses,FALSE,TRUE
DRUGS,Drug Offenses,FALSE,TRUE
HOMICIDE-MURDER/NON-NEGLIGENT MANSLAUGHTER,Homicide,TRUE,TRUE
HOMICIDE - NEGLIGENT MANSLAUGHTER,Homicide,TRUE,TRUE
MURDER,Homicide,TRUE,TRUE
JUSTIFIABLE HOMICIDE,Homicide,TRUE,TRUE
KIDNAPPING,Kidnapping & Human Trafficking,TRUE,TRUE
KIDNAPPING/ABDUCTION,Kidnapping & Human Trafficking,TRUE,TRUE
HUMAN TRAFFICKING,Kidnapping & Human Trafficking,TRUE,TRUE
HUMAN TRAFFICKING/COMMERCIAL SEX ACTS,Kidnapping & Human Trafficking,TRUE,TRUE
HUMAN TRAFFICKING/INVOLUNTARY SERVITUDE,Kidnapping & Human Trafficking,TRUE,TRUE
LARCENY,Larceny & Theft,FALSE,TRUE
LARCENY - ALL OTHER,Larceny & Theft,FALSE,TRUE
PROSTITUTION,Sex Offenses,FALSE,FALSE
PROSTITUTION - PURCHASING,Sex Offenses,FALSE,FALSE
LARCENY - AUTOMOBILE PARTS OR ACCESSORIES,Larceny & Theft,FALSE,TRUE
LARCENY - FROM BUILDING,Larceny & Theft,FALSE,TRUE
LARCENY - FROM COIN-OPERATED DEVICE,Larceny & Theft,FALSE,TRUE
LARCENY - FROM MOTOR VEHICLE,Larceny & Theft,FALSE,TRUE
LARCENY - POCKET-PICKING,Larceny & Theft,FALSE,TRUE
LARCENY - PURSESNATCHING,Larceny & Theft,FALSE,TRUE
LARCENY - SHOPLIFTING,Larceny & Theft,FALSE,TRUE
LARCENY FROM MV,Larceny & Theft,FALSE,TRUE
STOLEN PROPERTY,Larceny & Theft,FALSE,TRUE
MOTOR VEHICLE THEFT,Motor Vehicle Theft,FALSE,TRUE
MV THEFT,Motor Vehicle Theft,FALSE,TRUE
UNAUTHORIZED MOTOR VEHICLE USE,Motor Vehicle Theft,FALSE,TRUE
OFFENSES AGAINST FAMILY - CHILD ABUSE,Offenses Against Family,TRUE,FALSE
ARSON,Property Crime,FALSE,TRUE
RECOVERED STOLEN PROPERTY (OTHER JURISDICTION),Larceny & Theft,FALSE,FALSE
VANDALISM,Property Crime,FALSE,TRUE
TRESPASSING,Property Crime,FALSE,TRUE
DISORDERLY CONDUCT-FIGHTING (AFFRAY),Public Order,TRUE,TRUE
RECOVERED STOLEN VEHICLE (OTHER JURISDICTION),Motor Vehicle Theft,FALSE,FALSE
FRAUD,Fraud & Financial Crimes,FALSE,FALSE
FRAUD-FAIL TO RETURN RENTAL VEHICLE,Fraud & Financial Crimes,FALSE,FALSE
FRAUD-HACKING/COMPUTER INVASION,Fraud & Financial Crimes,FALSE,FALSE
FRAUD-IDENTITY THEFT,Fraud & Financial Crimes,FALSE,FALSE
FRAUD - CONFIDENCE GAMES/TRICKERY,Fraud & Financial Crimes,FALSE,FALSE
FRAUD - CREDIT CARD/ATM,Fraud & Financial Crimes,FALSE,FALSE
FRAUD - FALSE PRETENSE,Fraud & Financial Crimes,FALSE,FALSE
FRAUD - IMPERSONATION,Fraud & Financial Crimes,FALSE,FALSE
