subcounty_fips,county_fips,state_name,county_name,subcounty_name,n_population,pct_poverty,n_lgbt,pct_lgbt,pct_cost_higher_2400,pct_price_higher_400k,sqmi_land,sqmi_water,x,y,pct_dem,pct_temp_ideal,pct_temp_below_40,pct_temp_below_50,pct_temp_below_60,avg_daytime_temp,n_gym_10mi,n_gym_20mi,n_boulder_60mi,n_route_60mi,n_route_200mi,gym_x,gym_y,gym_name,rating,n_votes
0100190171,01001,Alabama,Autauga County,Autaugaville,4481,0.41330060254407497,20,0.00446328944432046,0.03503184713375796,0.03879598662207358,184.615348136806,5.366009688514,-86.73216610606113,32.45601346135976,0.2638879035118836,0.6767123287671233,0,0.01643835616438356,0.136986301369863,77.25378520547945,0,0,12,3,66,-86.17259880000002,32.3666137,Auburn Montgomery Wellness Center,4.6,89
0100190315,01001,Alabama,Autauga County,Billingsley,2820,0.299645390070922,0,0,0.09111111111111111,0.14852492370295017,149.36946026907,0.6082658630040001,-86.75630390739629,32.60893787095838,0.2638879035118836,0.6767123287671233,0,0.01643835616438356,0.136986301369863,77.25378520547945,0,0,42,3,69,-86.17259880000002,32.3666137,Auburn Montgomery Wellness Center,4.6,89
0100192106,01001,Alabama,Autauga County,Marbury,6552,0.15094627594627594,0,0,0.10243407707910752,0.04968094804010939,113.033992557334,0.19928731950400003,-86.52376235648845,32.64296120208837,0.2638879035118836,0.6767123287671233,0,0.01643835616438356,0.136986301369863,77.25378520547945,0,0,32,3,94,-86.17259880000002,32.3666137,Auburn Montgomery Wellness Center,4.6,89
0100192628,01001,Alabama,Autauga County,Prattville,45432,0.17485472794506074,220,0.00484240183130832,0.07546670197272606,0.03639344262295082,147.435985391812,3.74058513365,-86.50679986908773,32.479413063657105,0.2638879035118836,0.6767123287671233,0,0.01643835616438356,0.136986301369863,77.25378520547945,0,0,12,3,69,-86.17259880000002,32.3666137,Auburn Montgomery Wellness Center,4.6,89
0100390207,01003,Alabama,Baldwin County,Bay Minette,26446,0.28681085986538607,38,0.00143689026695908,0.0917573872472784,0.09282979004357586,516.725035191194,10.624046724932,-87.6980030864238,30.78906911188116,0.20469919873899908,0.7123287671232876,0,0,0.07945205479452055,78.99865589041096,0,1,1,0,3,-87.8965329,30.6047212,We Rock the Spectrum - Daphne Kid's Gym,4.9,72
0100390846,01003,Alabama,Baldwin County,Daphne,57518,0.11041760840084842,314,0.0054591606105914604,0.20891107413569976,0.2010349288486417,114.809262912296,54.979849119828,-87.89837155277156,30.68265731707822,0.20469919873899908,0.7123287671232876,0,0,0.07945205479452055,78.99865589041096,1,1,1,0,3,-87.8965329,30.6047212,We Rock the Spectrum - Daphne Kid's Gym,4.9,72
0100390963,01003,Alabama,Baldwin County,Elberta,13183,0.1950238944094667,278,0.02108776454524766,0.0663029794376836,0.09496494582536648,122.040507810588,18.284585309556,-87.52542244362644,30.41023079506433,0.20469919873899908,0.7123287671232876,0,0,0.07945205479452055,78.99865589041096,0,0,1,0,3,-87.8965329,30.6047212,We Rock the Spectrum - Daphne Kid's Gym,4.9,72
0100391053,01003,Alabama,Baldwin County,Fairhope,33940,0.14505008839127873,162,0.0047731290512669404,0.2641267808548103,0.3275523280649295,65.768033982592,75.649554437754,-87.86280731245418,30.47323265084793,0.20469919873899908,0.7123287671232876,0,0,0.07945205479452055,78.99865589041096,1,1,2,0,3,-87.8965329,30.6047212,We Rock the Spectrum - Daphne Kid's Gym,4.9,72
0100391152,01003,Alabama,Baldwin County,Foley,68479,0.16866484615721608,146,0.00213204047956306,0.13592087516858983,0.18213835384147137,174.284777155972,261.45518747271,-87.71302470598242,30.338809641432437,0.20469919873899908,0.7123287671232876,0,0,0.07945205479452055,78.99865589041096,0,0,1,0,3,-87.8965329,30.6047212,We Rock the Spectrum - Daphne Kid's Gym,4.9,72
0100392754,01003,Alabama,Baldwin County,Robertsdale,30838,0.199883260911862,274,0.00888514170828198,0.04585108541286265,0.10642247246627892,170.73785460789,1.6397165064960002,-87.64056357841092,30.566397647377844,0.20469919873899908,0.7123287671232876,0,0,0.07945205479452055,78.99865589041096,0,1,1,0,3,-87.8965329,30.6047212,We Rock the Spectrum - Daphne Kid's Gym,4.9,72
0100393024,01003,Alabama,Baldwin County,Stockton,3607,0.30385361796506793,0,0,0.01359223300970873,0.06744604316546762,375.108527792652,14.498931647752,-87.78627860977498,31.112712829039086,0.20469919873899908,0.7123287671232876,0,0,0.07945205479452055,78.99865589041096,0,0,1,0,3,-87.8965329,30.6047212,We Rock the Spectrum - Daphne Kid's Gym,4.9,72
