subcounty_fips,county_fips,state_name,county_name,subcounty_name,n_lgbt,pct_lgbt,x,y,pct_dem,pct_temp_ideal,avg_daytime_temp,n_gym_10mi,n_boulder_60mi,n_route_200mi,gym_x,gym_y,gym_name,pct_temp_above_60,pct_not_poverty,pct_price_affordable,pct_cost_affordable
0110192295,01101,Alabama,Montgomery County,Mount Meigs,62,0.00423034934497816,-86.05780497924707,32.36546978174527,0.6483468531468531,0.6794520547945205,77.70917534246576,1,19,70,-86.17259880000002,32.3666137,Auburn Montgomery Wellness Center,0.873972602739726,0.9139601528384279,0.8509958200147529,0.8069032888309997
0110192565,01101,Alabama,Montgomery County,Pike Road,22,9.440034327397554e-4,-86.1175927349602,32.24151289710809,0.6483468531468531,0.6794520547945205,77.70917534246576,1,19,43,-86.17259880000002,32.3666137,Auburn Montgomery Wellness Center,0.873972602739726,0.8941428877923192,0.8377433849226161,0.8171538297418391
0600190020,06001,California,Alameda County,Alameda,950,0.012357562828451,-122.26630151402168,37.76657937125583,0.7458211406389967,0.6547945205479452,67.83486356164384,2,99,329,-122.2887373,37.8156283,Pacific Pipe,0.6986301369863014,0.8940891825797388,0.05398193760262715,0.1761019005256773
0600190200,06001,California,Alameda County,Berkeley,2674,0.0191012279360816,-122.27994884297512,37.87492274386529,0.7458211406389967,0.6547945205479452,67.83486356164384,2,102,313,-122.3073993,37.9001519,Bridges Rock Gym,0.6986301369863014,0.820095577572844,0.06403839842467995,0.14436242034197744
0600191070,06001,California,Alameda County,Fremont,1308,0.00381722830702422,-121.99553149663522,37.53945917181875,0.7458211406389967,0.6547945205479452,67.83486356164384,1,93,404,-121.950955,37.510594,The Peak of Fremont,0.6986301369863014,0.917579386967142,0.07135018009905436,0.16697748375571742
0600192230,06001,California,Alameda County,Oakland,8936,0.01934869218777064,-122.21870735064422,37.79246403264421,0.7458211406389967,0.6547945205479452,67.83486356164384,2,99,333,-122.2887373,37.8156283,Pacific Pipe,0.6986301369863014,0.7926359778278191,0.13225707099224882,0.24243347370307322
0601390270,06013,California,Contra Costa County,Briones,98,0.01747815230961298,-122.2010440130067,37.957095610641865,0.6731051381725228,0.6383561643835617,69.58700821917809,1,102,324,-122.3073993,37.9001519,Bridges Rock Gym,0.7123287671232876,0.8391296593543784,0.1837474120082816,0.24140625000000004
0601393620,06013,California,Contra Costa County,West Contra Costa,3060,0.01142136242670358,-122.29923905693391,37.97556602178467,0.6731051381725228,0.6383561643835617,69.58700821917809,1,102,287,-122.3073993,37.9001519,Bridges Rock Gym,0.7123287671232876,0.8203636173619638,0.20773708247515,0.36283829411459145
0603790560,06037,California,Los Angeles County,Compton,928,0.00275803038588648,-118.2428544380776,33.8696244503809,0.648291893605534,0.6547945205479452,69.73968767123287,2,131,493,-118.1615562,33.8051165,Hangar 18 Indoor Climbing Gym - Long Beach,0.7342465753424657,0.7547195606172281,0.3178874913516294,0.546666325538556
0603790730,06037,California,Los Angeles County,Downey-Norwalk,1940,0.0047637171727093,-118.1090784856496,33.9027360839149,0.648291893605534,0.6547945205479452,69.73968767123287,1,151,494,-118.1615562,33.8051165,Hangar 18 Indoor Climbing Gym - Long Beach,0.7342465753424657,0.8164716571105846,0.18171656075338793,0.43918371128767
