state,crag,region_1,region_2,example_location,x,y,n,n_boulder,n_routes,mean_rating,median_rating
Florida,Florida > *Artificial Boulders > 00,*Artificial Boulders,Broken Glass Bridge,-,-84.289254,30.419912,5,5,0,2.7,3
Florida,Florida > *Artificial Boulders > 01,*Artificial Boulders,Hollywood Holds,-,-80.11533,26.02192,1,1,0,2,2
Florida,Florida > *Artificial Boulders > 02,*Artificial Boulders,Lexington Crossing,-,-82.36415,29.6166,1,1,0,2.6,2.6
Florida,Florida > *Artificial Boulders > 03,*Artificial Boulders,Pcola,-,-87.23842,30.46787,1,1,0,3.5,3.5
Florida,Florida > *Artificial Boulders > 04,*Artificial Boulders,University of South Florida,-,-82.41421,28.06118,1,1,0,4,4
Illinois,Illinois > *Holy Boulders and Surrounding > 00,*Holy Boulders and Surrounding,Hagler Road,A. Hagler Roof,-89.40946472222222,37.617625277777776,108,108,0,2.714814814814815,2.6
Illinois,Illinois > *Jackson Falls > 00,*Jackson Falls,A. North Canyon,C. Beaver Wall Right,-88.68646653846153,37.50453923076923,26,4,22,2.5653846153846156,2.55
New Hampshire,New Hampshire > *Pawtuckaway > 00,*Pawtuckaway,Area 51,Bermuda Triangle Boulder,-71.17519291666666,43.1145759375,96,95,1,2.4229166666666666,2.3
New Hampshire,New Hampshire > *Rumney > 00,*Rumney,*Rumney Bouldering,Black Jack Boulders,-71.8399743678161,43.80464689655172,87,39,48,2.4091954022988507,2.3
New Hampshire,New Hampshire > *Whitehorse Ledge > 00,*Whitehorse Ledge,08) The Last Wave Slab,-,-71.16745333333334,44.05574333333333,3,2,1,2.1333333333333333,2
Maine,Maine > -Acadia National Park > 00,-Acadia National Park,-MDI Bouldering,Beech Cliff Bouldering,-68.24779411764706,44.31944411764706,17,17,0,2.6294117647058823,2.6
Maine,Maine > -Camden Hills > 00,-Camden Hills,02. The Verticals,-,-69.07373066666666,44.236644,15,11,4,2.493333333333333,2.3
Maine,Maine > -Clifton Crags > 00,-Clifton Crags,Big Chick Hill,Left End and Left Face,-68.48694952380953,44.81206619047619,21,4,17,2.6285714285714286,2.7
Maine,Maine > -Shagg Crag > 00,-Shagg Crag,-,-,-70.52741,44.43274,4,0,4,2.075,2.1
Vermont,Vermont > 1. Northern Vermont > 00,1. Northern Vermont,114 Boulders,The Capybara Boulder,-71.94860249999999,44.7917575,4,3,1,3,3
Vermont,Vermont > 1. Northern Vermont > 01,1. Northern Vermont,Bolton Area,82 Crag,-72.88331131147541,44.389629180327866,61,46,15,2.4688524590163934,2.4
Vermont,Vermont > 1. Northern Vermont > 02,1. Northern Vermont,Butchers Crag,Butchers Crag East,-72.7289,44.64681,2,1,1,2.4,2.4
Vermont,Vermont > 1. Northern Vermont > 03,1. Northern Vermont,Eagle Point Quarry,Sôskadabi Ledge,-72.20906,45.00489,1,1,0,3,3
Vermont,Vermont > 1. Northern Vermont > 04,1. Northern Vermont,Ethan Allen Park,Hillside Boulders,-73.24058,44.506510000000006,2,2,0,2.15,2.15
Vermont,Vermont > 1. Northern Vermont > 05,1. Northern Vermont,Groton,Kettle Pond Boulders,-72.306375,44.295075,10,10,0,2.85,2.65
Vermont,Vermont > 1. Northern Vermont > 06,1. Northern Vermont,Lone Rock Point,Lone Rock Bouldering,-73.24914,44.48805,2,2,0,3,3
Vermont,Vermont > 1. Northern Vermont > 07,1. Northern Vermont,Marshfield Ledge,Dragonfly Theater,-72.31234666666667,44.327639999999995,6,0,6,2.5666666666666664,2.6
Vermont,Vermont > 1. Northern Vermont > 08,1. Northern Vermont,Mount Hor,Red Light District,-72.02942714285714,44.71680857142857,7,7,0,2.9285714285714284,3
Vermont,Vermont > 1. Northern Vermont > 09,1. Northern Vermont,Prospect Rock,Main Cliff,-72.72316,44.65477,1,0,1,2,2
Vermont,Vermont > 1. Northern Vermont > 10,1. Northern Vermont,Sentinel Rock,-,-72.02851,44.79098,2,2,0,2,2
Vermont,Vermont > 1. Northern Vermont > 11,1. Northern Vermont,Smugglers' Notch,Bat Cave Buttress,-72.79248235294118,44.55324980392157,51,49,2,2.4823529411764707,2.2
Vermont,Vermont > 1. Northern Vermont > 12,1. Northern Vermont,Vermont's Lonely Rocks - Northern,Tree Farm Boulder,-73.11476,44.50913,2,2,0,2.5,2.5
