state,state_id,route,location,url,avg_stars,route_type,rating,pitches,length,x,y,region_1,region_2,region_3,x_diff,y_diff,region_crag_id,crag
Florida,111721391,"Sun Traverse, Virtuous 1, and Dynoland",*Artificial Boulders > Broken Glass Bridge,https://www.mountainproject.com/route/120300221/sun-traverse-virtuous-1-and-dynoland,3,Boulder,V1-2,1,18,-84.2989,30.41254,*Artificial Boulders,Broken Glass Bridge,-,0,0,0,Florida > *Artificial Boulders > 00
Florida,111721391,"Choss Crimps (V3), Glass Slab (V2), and Finger Burn Arete (V1)",*Artificial Boulders > Broken Glass Bridge,https://www.mountainproject.com/route/120309302/choss-crimps-v3-glass-slab-v2-and-finger-burn-arete-v1,3,Boulder,V2,1,15,-84.2989,30.41254,*Artificial Boulders,Broken Glass Bridge,-,0,0,0,Florida > *Artificial Boulders > 00
Florida,111721391,Smack and Nab,*Artificial Boulders > Broken Glass Bridge,https://www.mountainproject.com/route/121010425/smack-and-nab,3,Boulder,V2,1,15,-84.2989,30.41254,*Artificial Boulders,Broken Glass Bridge,-,0,0,0,Florida > *Artificial Boulders > 00
Florida,111721391,Gator Slab,*Artificial Boulders > Broken Glass Bridge,https://www.mountainproject.com/route/120280355/gator-slab,2.5,Boulder,V2-3,1,15,-84.2989,30.41254,*Artificial Boulders,Broken Glass Bridge,-,0,0,0,Florida > *Artificial Boulders > 00
Florida,111721391,Golden Puzzle Piece,*Artificial Boulders > Governors Bridge > Dead Cat Alley,https://www.mountainproject.com/route/122611580/golden-puzzle-piece,2,Boulder,V2,1,20,-84.25067,30.4494,*Artificial Boulders,Governors Bridge,Dead Cat Alley,0.04823000000000377,0.03686000000000078,0,Florida > *Artificial Boulders > 00
Florida,111721391,Back L->R,*Artificial Boulders > Hollywood Holds,https://www.mountainproject.com/route/116986878/back-l-r,2,Boulder,V2-3,1,NA,-80.11533,26.02192,*Artificial Boulders,Hollywood Holds,-,4.135339999999999,-4.427479999999999,1,Florida > *Artificial Boulders > 01
Florida,111721391,Gator Wrastlin',*Artificial Boulders > Lexington Crossing,https://www.mountainproject.com/route/114047132/gator-wrastlin,2.6,Boulder,V2,1,6,-82.36415,29.6166,*Artificial Boulders,Lexington Crossing,-,-2.248819999999995,3.5946799999999968,2,Florida > *Artificial Boulders > 02
Florida,111721391,Chuffer Berry Jam,*Artificial Boulders > Pcola,https://www.mountainproject.com/route/115447564/chuffer-berry-jam,3.5,Boulder,V2+,1,NA,-87.23842,30.46787,*Artificial Boulders,Pcola,-,-4.87427000000001,0.8512700000000031,3,Florida > *Artificial Boulders > 03
Florida,111721391,Grab the Bull by the Balls,*Artificial Boulders > University of South Florida,https://www.mountainproject.com/route/200504315/grab-the-bull-by-the-balls,4,Boulder,V2-3,1,3,-82.41421,28.06118,*Artificial Boulders,University of South Florida,-,4.824210000000008,-2.406690000000001,4,Florida > *Artificial Boulders > 04
Illinois,105911816,Three Ninjas,*Holy Boulders and Surrounding > Hagler Road > A. Hagler Roof,https://www.mountainproject.com/route/125549851/three-ninjas,2.4,Boulder,V2,1,10,-89.40566,37.62792,*Holy Boulders and Surrounding,Hagler Road,A. Hagler Roof,0,0,0,Illinois > *Holy Boulders and Surrounding > 00
Illinois,105911816,Cole's Eyes,*Holy Boulders and Surrounding > Hagler Road > A. Hagler Roof,https://www.mountainproject.com/route/125549869/coles-eyes,2.7,Boulder,V2,1,8,-89.40566,37.62792,*Holy Boulders and Surrounding,Hagler Road,A. Hagler Roof,0,0,0,Illinois > *Holy Boulders and Surrounding > 00
Illinois,105911816,Dog Bowl,*Holy Boulders and Surrounding > Hagler Road > A. Hagler Roof,https://www.mountainproject.com/route/125562200/dog-bowl,2.3,Boulder,V2,1,10,-89.40566,37.62792,*Holy Boulders and Surrounding,Hagler Road,A. Hagler Roof,0,0,0,Illinois > *Holy Boulders and Surrounding > 00
Illinois,105911816,Tall face,*Holy Boulders and Surrounding > Hagler Road > A. Hagler Roof,https://www.mountainproject.com/route/125562206/tall-face,2,Boulder,V2,1,12,-89.40566,37.62792,*Holy Boulders and Surrounding,Hagler Road,A. Hagler Roof,0,0,0,Illinois > *Holy Boulders and Surrounding > 00
Illinois,105911816,Dayender Arete,*Holy Boulders and Surrounding > Hagler Road > B. Hagler Road North > Breaking Bread Cliffline,https://www.mountainproject.com/route/125555542/dayender-arete,2.7,Boulder,V2 R,1,15,-89.40556,37.62816,*Holy Boulders and Surrounding,Hagler Road,B. Hagler Road North,1.0000000000331966e-4,2.3999999999801958e-4,0,Illinois > *Holy Boulders and Surrounding > 00
Illinois,105911816,Snail Rail,*Holy Boulders and Surrounding > Hagler Road > C. Hagler Road South > Balanced Rock,https://www.mountainproject.com/route/125678775/snail-rail,3,Boulder,V2,1,12,-89.406,37.62695,*Holy Boulders and Surrounding,Hagler Road,C. Hagler Road South,-4.400000000117643e-4,-0.0012100000000003774,0,Illinois > *Holy Boulders and Surrounding > 00
Illinois,105911816,Brownstone Shorty,*Holy Boulders and Surrounding > Hagler Road > C. Hagler Road South > Brownstone Cliffline,https://www.mountainproject.com/route/125678432/brownstone-shorty,3,Boulder,V2-3,1,10,-89.40588,37.62719,*Holy Boulders and Surrounding,Hagler Road,C. Hagler Road South,1.2000000000966793e-4,2.3999999999801958e-4,0,Illinois > *Holy Boulders and Surrounding > 00
Illinois,105911816,Left arete,*Holy Boulders and Surrounding > Hagler Road > D. Creek Boulders > B. Gold Face,https://www.mountainproject.com/route/125566321/left-arete,2,Boulder,V2,1,8,-89.40833,37.62766,*Holy Boulders and Surrounding,Hagler Road,D. Creek Boulders,-0.0024500000000102773,4.6999999999997044e-4,0,Illinois > *Holy Boulders and Surrounding > 00
Illinois,105911816,Baker Baker,*Holy Boulders and Surrounding > Hagler Road > D. Creek Boulders > C. Sloper House,https://www.mountainproject.com/route/125687635/baker-baker,3.5,Boulder,V2-3,1,12,-89.40854,37.6274,*Holy Boulders and Surrounding,Hagler Road,D. Creek Boulders,-2.099999999956026e-4,-2.599999999972624e-4,0,Illinois > *Holy Boulders and Surrounding > 00
Illinois,105911816,Sourdough,*Holy Boulders and Surrounding > Hagler Road > D. Creek Boulders > C. Sloper House,https://www.mountainproject.com/route/125687646/sourdough,2.5,Boulder,V2-3,1,12,-89.40854,37.6274,*Holy Boulders and Surrounding,Hagler Road,D. Creek Boulders,0,0,0,Illinois > *Holy Boulders and Surrounding > 00
Illinois,105911816,Backdoor,*Holy Boulders and Surrounding > Hagler Road > D. Creek Boulders > E. Creekside Area > Creekside Face Boulder,https://www.mountainproject.com/route/125681579/backdoor,3,Boulder,V1-2 PG13,1,18,-89.40928,37.62813,*Holy Boulders and Surrounding,Hagler Road,D. Creek Boulders,-7.399999999933016e-4,7.299999999972329e-4,0,Illinois > *Holy Boulders and Surrounding > 00
Illinois,105911816,Polypod,*Holy Boulders and Surrounding > Hagler Road > D. Creek Boulders > E. Creekside Area > Creekside Face Boulder,https://www.mountainproject.com/route/125591242/polypod,2,Boulder,V2,1,6,-89.40928,37.62813,*Holy Boulders and Surrounding,Hagler Road,D. Creek Boulders,0,0,0,Illinois > *Holy Boulders and Surrounding > 00
Illinois,105911816,The Four Pillars,*Holy Boulders and Surrounding > Hagler Road > D. Creek Boulders > E. Creekside Area > Creekside Face Boulder,https://www.mountainproject.com/route/125679941/the-four-pillars,4,Boulder,V2,1,18,-89.40928,37.62813,*Holy Boulders and Surrounding,Hagler Road,D. Creek Boulders,0,0,0,Illinois > *Holy Boulders and Surrounding > 00
Illinois,105911816,Price of Admission,*Holy Boulders and Surrounding > Hagler Road > D. Creek Boulders > E. Creekside Area > Creekside Face Boulder,https://www.mountainproject.com/route/125681516/price-of-admission,4,Boulder,V2,1,20,-89.40928,37.62813,*Holy Boulders and Surrounding,Hagler Road,D. Creek Boulders,0,0,0,Illinois > *Holy Boulders and Surrounding > 00
Illinois,105911816,Darter arete,*Holy Boulders and Surrounding > Hagler Road > D. Creek Boulders > E. Creekside Area > Creekside Slab,https://www.mountainproject.com/route/125679017/darter-arete,3,Boulder,V2,1,18,-89.40919,37.62813,*Holy Boulders and Surrounding,Hagler Road,D. Creek Boulders,9.000000000014552e-5,0,0,Illinois > *Holy Boulders and Surrounding > 00
Illinois,105911816,Leftovers,*Holy Boulders and Surrounding > Hagler Road > D. Creek Boulders > E. Creekside Area > Creekside Slab,https://www.mountainproject.com/route/125681354/leftovers,3,Boulder,V2,1,12,-89.40919,37.62813,*Holy Boulders and Surrounding,Hagler Road,D. Creek Boulders,0,0,0,Illinois > *Holy Boulders and Surrounding > 00
Illinois,105911816,Darter Face,*Holy Boulders and Surrounding > Hagler Road > D. Creek Boulders > E. Creekside Area > Creekside Slab,https://www.mountainproject.com/route/125681428/darter-face,4,Boulder,V2 PG13,1,20,-89.40919,37.62813,*Holy Boulders and Surrounding,Hagler Road,D. Creek Boulders,0,0,0,Illinois > *Holy Boulders and Surrounding > 00
Illinois,105911816,Roof huecos,*Holy Boulders and Surrounding > Hagler Road > D. Creek Boulders > E. Creekside Area > Iron Roof,https://www.mountainproject.com/route/125678969/roof-huecos,2,Boulder,V2,1,10,-89.40938,37.6281,*Holy Boulders and Surrounding,Hagler Road,D. Creek Boulders,-1.9000000000346517e-4,-2.9999999995311555e-5,0,Illinois > *Holy Boulders and Surrounding > 00
Illinois,105911816,Kiss Center,*Holy Boulders and Surrounding > Hagler Road > D. Creek Boulders > G. The Kiss Area > The Kiss,https://www.mountainproject.com/route/125585978/kiss-center,4,Boulder,V2-3,1,12,-89.41008,37.62771,*Holy Boulders and Surrounding,Hagler Road,D. Creek Boulders,-6.999999999948159e-4,-3.9000000000299906e-4,0,Illinois > *Holy Boulders and Surrounding > 00
Illinois,105911816,Warm up roof,*Holy Boulders and Surrounding > Hagler Road > E. Forest Boulders > Jelly Belly,https://www.mountainproject.com/route/125586375/warm-up-roof,2,Boulder,V2,1,12,-89.41039,37.62631,*Holy Boulders and Surrounding,Hagler Road,E. Forest Boulders,-3.100000000131331e-4,-0.0014000000000038426,0,Illinois > *Holy Boulders and Surrounding > 00
Illinois,105911816,Warm up arete,*Holy Boulders and Surrounding > Hagler Road > E. Forest Boulders > Jelly Belly,https://www.mountainproject.com/route/125610049/warm-up-arete,4,Boulder,V2-3,1,8,-89.41039,37.62631,*Holy Boulders and Surrounding,Hagler Road,E. Forest Boulders,0,0,0,Illinois > *Holy Boulders and Surrounding > 00
Illinois,105911816,Redbud arete,*Holy Boulders and Surrounding > Hagler Road > E. Forest Boulders > Red Bud,https://www.mountainproject.com/route/125592152/redbud-arete,2,Boulder,V2,1,8,-89.41087,37.6264,*Holy Boulders and Surrounding,Hagler Road,E. Forest Boulders,-4.7999999999603915e-4,9.000000000014552e-5,0,Illinois > *Holy Boulders and Surrounding > 00
Illinois,105911816,Second Son,*Holy Boulders and Surrounding > Hagler Road > F. Farside Boulders > First Son Boulder,https://www.mountainproject.com/route/125587014/second-son,4,Boulder,V2,1,18,-89.40907,37.62401,*Holy Boulders and Surrounding,Hagler Road,F. Farside Boulders,0.0018000000000029104,-0.002389999999998338,0,Illinois > *Holy Boulders and Surrounding > 00
