county_fips,state_abbv,state_fips,county_name,fips_class,state_name,pop_2015,X,Y
04015,AZ,04,Mohave County,H1,Arizona,83307.95,-113.76144972095709,35.698591922344676
12035,FL,12,Flagler County,H1,Florida,39052.581,-81.02769272231598,29.782652404290623
20129,KS,20,Morton County,H1,Kansas,1075.94,-101.79923598141141,37.19144685037552
28093,MS,28,Marshall County,H1,Mississippi,13634.544,-89.50298335932875,34.762173846136136
29510,MO,29,St. Louis city,C7,Missouri,141312,-89.46778587222869,38.509767023206216
35031,NM,35,McKinley County,H1,New Mexico,19931.145,-108.26340365403202,35.58122711771369
37187,NC,37,Washington County,H1,North Carolina,5138.688,-76.57683656814712,35.823116013444476
38013,ND,38,Burke County,H1,North Dakota,928.7739999999999,-102.51832238292354,48.79110422357253
51700,VA,51,Newport News city,C7,Virginia,70431,-76.87941558735118,36.78780259151563
20109,KS,20,Logan County,H1,Kansas,1184.975,-101.14845145766819,38.91747300483632
13243,GA,13,Randolph County,H1,Georgia,2685.5099999999998,-84.7538038595807,31.76218328942574
17081,IL,17,Jefferson County,H1,Illinois,14939.876,-88.9239985644204,38.30022579228009
19081,IA,19,Hancock County,H1,Iowa,4740.196,-93.73457331883064,43.08187684708226
19197,IA,19,Wright County,H1,Iowa,5318.3,-93.7351712629722,42.733146897384536
18101,IN,18,Martin County,H1,Indiana,4008.512,-86.80312900137618,38.707819925497205
19073,IA,19,Greene County,H1,Iowa,3922.5879999999997,-94.39659036505584,42.036130809541476
28111,MS,28,Perry County,H1,Mississippi,4628.808,-88.99257427900682,31.17194253778713
29185,MO,29,St. Clair County,H1,Missouri,3839.004,-93.77592959425272,38.037360540399256
31151,NE,31,Saline County,H1,Nebraska,5673.648,-97.14080689957562,40.524245678031775
38003,ND,38,Barnes County,H1,North Dakota,4707.922,-98.07166651480667,46.93568082335792
46085,SD,46,Lyman County,H1,South Dakota,1303.658,-99.84676531648103,43.8959415786648
46129,SD,46,Walworth County,H1,South Dakota,2313.612,-100.03129774751129,45.43025890995723
48383,TX,48,Reagan County,H1,Texas,1186.713,-101.52326029406927,31.36611634307289
48497,TX,48,Wise County,H1,Texas,22986.176999999996,-97.91246154903797,33.61666454317142
49051,UT,49,Wasatch County,H1,Utah,8199.036,-111.16877763797982,40.33077865601663
53037,WA,53,Kittitas County,H1,Washington,15379.245,-120.49584455892959,47.05224127706366
55035,WI,55,Eau Claire County,H1,Wisconsin,39091.896,-91.28609752980414,44.72697672021325
55113,WI,55,Sawyer County,H1,Wisconsin,7422.702,-91.14473646776622,45.880135094245844
20069,KS,20,Gray County,H1,Kansas,2011.54,-100.43795288942582,37.73844083089893
17159,IL,17,Richland County,H1,Illinois,6493.0560000000005,-88.08562090104867,38.712303929653224
27001,MN,27,Aitkin County,H1,Minnesota,6893.922,-93.415487235393,46.60729660145419
06083,CA,06,Santa Barbara County,H1,California,144037,-120.43576850571928,34.94076912187848
13115,GA,13,Floyd County,H1,Georgia,34674.798,-85.13517820194043,34.42634627018794
20121,KS,20,Miami County,H1,Kansas,12738.336000000001,-94.7497134617856,38.323975552548404
26005,MI,26,Allegan County,H1,Michigan,42078,-85.70257220173373,42.697058863365214
26149,MI,26,St. Joseph County,H1,Michigan,22464.675,-85.2874102257178,42.031980069121616
31157,NE,31,Scotts Bluff County,H1,Nebraska,15233.282,-103.70838078344791,41.85150596423125
42049,PA,42,Erie County,H1,Pennsylvania,110138,-79.94141666468336,42.10607481441998
01045,AL,01,Dale County,H1,Alabama,18845.296000000002,-85.61115631437958,31.431669021735
05123,AR,05,St. Francis County,H1,Arkansas,10178.288,-90.74851715223694,35.02206073213592
12043,FL,12,Glades County,H1,Florida,4006.75,-81.50755883173186,27.015707072061026
17117,IL,17,Macoupin County,H1,Illinois,18421.143,-89.93457895651686,39.282202753227864
