debators,order,party,speaker,line,response
biden-trump,1,moderator,wallace,1,"the first of the 2020 presidential debates between president donald j. trump and former vice president joe biden. this debate is sponsored by the commission on presidential debates. the commission has designed the format: six, roughly 15 minute segments, with two minute answers and each candidate to the first question. then open discussion for the rest of each segment. both campaigns have agreed to these rules. for the record, i decided the topics, and the questions in each topic. i can assure you, none of the questions has been shared with the commission, or the two candidates. this debate is being conducted under health and safety protocols designed by the cleveland clinic, which is doing as a health security adviser to the commission for all four debates. as a precaution both campaigns have agreed that candidates will not shake hands at the beginning of tonight's debate. the audience here in the hall has pledged to remain silent: no cheers, no boo’s, or other interruptions so we, and more importantly you, can focus on what the candidates have to say. no noise, except right now, as we welcome the republican nominee, president trump, and the democratic nominee, vice president biden."
biden-trump,1,moderator,wallace,2,"gentlemen, a lot of people have been waiting for this night, so let's get going. our first subject is the supreme court. president trump you nominated amy coney barrett over the weekend to succeed the late, ruth bader ginsburg on the court. you say the constitution is clear about your obligation and the senate's to consider a nominee the court, vice president biden, you say that this is an effort by the president and republicans to jam through and an appointment and what you call an ‘abuse of power.’ my first question to both of you tonight: why are you right in the argument you make, and your opponent wrong and where do you think a justice barrett would take the court. president trump, in this first segment you go first. two minutes.  president donald"
biden-trump,1,republican,trump,3,"thank you very much, chris, i will tell you very simply. we won the election, elections have consequences. we have the senate, we have the white house, and we have a phenomenal nominee, respected by all top, top academic -- good in every way, good in every way. in fact, some of her biggest endorsers are very liberal people from notre dame and other places so i think she's going to be fantastic. we have plenty of time. even if we did it after the election itself, i have a lot of time after the election, as you know. so i think that she will be outstanding, she's going to be as good as anybody that has served on that court. we really feel that -- we have a professor at notre dame, highly respected by all, says she's the single greatest student he's ever had. he's been a professor for a long time in a great school. and we just, we won the election, and therefore we have the right to choose her and very few people knowingly would say otherwise -- and by the way the democrats, they wouldn't even think about that, doing it. if they had -- the only difference is they'd try and do it faster. there's no way they would give it up. they had merrick garland, but the problem is they didn't have the elections so they were stopped, and probably that would happen in reversal so definitely would happen reverse. so we won the election and we have the right to do it. "
biden-trump,1,moderator,wallace,4,"president trump, thank you. same question to your vice president biden you have two minutes.  joe"
biden-trump,1,democrat,biden,5,"first of all, thank you for doing this and looking forward to this, mr. president. i -- the american people have a right to have a say to who the supreme court nominee is, and that say occurs when they vote for united states senators and when they vote for the president of the united states. they're not going to get that chance now because we're in the middle of an election already -- the election has already started. tens of thousands of people have already voted. and so the thing that should happen is we should wait, we should wait and see what the outcome of this election is, because that's the only way the american people get to express their view, is by who they elect as president who they elect as vice president. now, what's at stake here is, the president’s made it clear, he wants to get rid of the affordable care act. he's been running on that. he ran on that and he’s been governing on that. he's in the supreme court right now trying to get rid of the affordable care act, which will strip 20 million people from having insurance, health insurance, now, if they -- if it goes into court and, and the justice and i have nothing -- i'm not opposed to the justice, she seems like a very fine person. but she's written before she went to the bench, which is her right, that she thinks that the affordable care act is not constitutional. the other thing is on the court -- if it’s struck down, what happens? women's rights are fundamentally changed. once again, a woman could be held -- make more money because she has a pre-existing condition of pregnancy. we're able to, they're able to charge women more for the same exact procedure a man gets, and that ended when we, in fact, passed the affordable care act. and there's 100 million people who have pre-existing conditions, and they'll be taken away as well. those pre-existing conditions, insurance companies are going to love this. and so it's just not appropriate to do this before this election. if he wins the election and the senate is democrat or republican, then he goes forward; if not, we should wait until february."
biden-trump,1,republican,trump,6,"there aren’t 100 million people with pre-existing conditions. as far as the say is concerned, people already had their say. they -- okay, justice ginsburg said -- very powerfully, very strongly -- at some point, 10 years ago or so, she said a president and the senate is elected for a period of time, but a president's elected for four years. we’re not elected for three years -- i'm not elected for three years. so we have the senate, we have a president -- "
biden-trump,1,democrat,biden,7,who’s elected at the next election.
biden-trump,1,republican,trump,8,"-- during that period of time, we have an opening. i'm not elected for three years; i'm elected for four years. -- "
biden-trump,1,democrat,biden,9,the election’s already started.
biden-trump,1,republican,trump,10,-- joe. the hundred million people is totally wrong. i don't know where you got that number. the bigger problem that you have is that you're going to extinguish 180 million people with their private health care --
biden-trump,1,democrat,biden,11,that’s simply not true. 
biden-trump,1,republican,trump,12,"well, you said "
biden-trump,1,moderator,wallace,13,"gentleman, we're now into open discussion, open discussion. yes, i agree. vice president. "
biden-trump,1,democrat,biden,14,"number one. he knows that -- what i proposed. what i proposed is that we expand obamacare, and we increase it, we do not wipe any -- and one of the big debates we had with 23 of my colleagues trying to win the nomination that i won, were saying that biden wanted to allow people have private insurance still, they can they do, they will under my proposal. "
biden-trump,1,republican,trump,15,"not what you said. that is not what you said. your party wants to go socialist.they're gonna dominate you, joe, you know that. "
biden-trump,1,democrat,biden,16,"i am the democratic party right now. the platform of the democratic party is what, i, in fact, approved of. what i approved of. now here's the deal. the deal is that this is going to wipe out pre-existing condition -- by the way, the 20, the 200 million, the 200,000 people that have died on his watch. how many of those have survived? over 7 million people have contracted covid. what does it mean for them going forward if you strike down the affordable care act?"
biden-trump,1,republican,trump,17,"joe, you had 308,000 military people die because you couldn't provide them proper health care in the military, so don't tell me about this"
biden-trump,1,democrat,biden,18,i’m happy to talk about this
biden-trump,1,republican,trump,19,"and if you were here, it wouldn’t be 200, it would be 2 million people, because you were very late on the draw. you didn’t want me to ban china, which was heavily infected. you didn’t want me to ban "
biden-trump,1,moderator,wallace,20,"all right we're gonna jump in right now. mr. president. mr. president, there’s a moderator. we are going to talk about covid in the next segment, but go ahead."
biden-trump,1,democrat,biden,21,"well, let me finish. the point is that the president also is opposed to roe v wade. that's on the ballot as well, in the court in the court. and so that's also at stake, right now. "
biden-trump,1,republican,trump,22,"you don’t know that’s on the ballot. why is it on the ballot, why is it on the ballot. it's not on the ballot"
biden-trump,1,democrat,biden,23,it’s on the ballot in the court
biden-trump,1,republican,trump,24,i don’t think so. there's nothing happening there. you don’t know her view on roe v wade. all right. 
biden-trump,1,democrat,biden,25,i don’t know -- 
biden-trump,1,moderator,wallace,26,"all right, all right, let's talk here. we got a lot to unpack here, gentlemen, and we’ve got a lot of time. on health care. and with that, we'll come back to roe v wade. all right, mr president, the supreme court will hear a case, a week after the election, in which the trump administration, along with 18 state attorneys general are seeking to overturn obamacare, to end obamacare. you have sent the last --"
biden-trump,1,republican,trump,27,because i want to give good healthcare. good healthcare. 
biden-trump,1,moderator,wallace,28,"if i may ask that question, sir. over the last four years you have promised to repeal and replace obamacare but you have never in these four years, come up with a plan, a comprehensive plan, to replace obamacare."
biden-trump,1,republican,trump,29,"yes i have. of course i have. i'll get rid of the individual mandate which was added. that is absolutely a big thing, that was the worst part of obamacare. the worst part of obamacare. well, i’ll ask joe. the individual mandate was the most unpopular aspect of obamacare. i got rid of it. "
biden-trump,1,moderator,wallace,30,i am the moderator in this debate. and i would like you to let me ask my question and then you can answer.go ahead. 
biden-trump,1,moderator,wallace,31,"you, in the course of these four years, have never come up with a comprehensive plan to replace obamacare, and just this last thursday, you signed a largely symbolic executive order to protect people with pre-existing conditions, five days before this debate. so my question sir is, what is the trump healthcare plan. "
biden-trump,1,republican,trump,32,"well, first of all, i guess i'm debating you not him, but that's okay, i’m not surprised. let me just tell you something. that has nothing symbolic. i'm cutting drug prices, i'm going with favored nations which no president has encouraged to do because you're going against big pharma. drug prices will be coming down, 80 or 90%. you could have done it during your 47 year period in government but you didn't do it, nobody's done it. so we're cutting health care, all of the things that we've done -- insulin. i‘ll give an example: insulin. it's going to, it was destroying families -- destroyed people, the cost -- ‘i'm getting it for so cheap; it's like water.’ you want to know the truth, so cheap. take a look at all of the drugs that --- what we're doing, prescription drug prices, we're going to allow our governors now to go to other countries to buy drugs because when they make just a tiny fraction -- this is big stuff. "
biden-trump,1,moderator,wallace,33,"mr. president, you'll be happy. i'm about to pick up on one of your points to ask the vice president, which is he points out that you would like to add a public option to obamacare, and the argument that he makes and other republicans make, is that that is going to end private insurance. "
biden-trump,1,democrat,biden,34,it is not. 
biden-trump,1,moderator,wallace,35,"i am asking the question. that it will, it will end private insurance and create a government takeover of health care. "
biden-trump,1,democrat,biden,36," it does not. it's only for those people who are so poor they qualify for medicaid, they can get that free. in most states, except governors who want to deny people are poor, medicaid. anyone who qualifies for medicare -- excuse me, medicaid -- would automatically be enrolled in the public option. the vast majority of the american people would still not be in that option. number one -- "
biden-trump,1,republican,trump,37,"so you agree with bernie sanders, who’s left on the manifesto we call it, that gives you socialized medicine "
biden-trump,1,democrat,biden,38,"look. the fact of the matter is, i beat bernie sanders -- "
biden-trump,1,republican,trump,39,you got very lucky.
biden-trump,1,democrat,biden,40,"i got very lucky, i’m going to get very lucky tonight as well. and tonight i'm going to -- here's the deal, here’s the deal. the fact is that everything he’s saying so far it's simply a lie. i'm not here to call out his lies; everybody knows he's a liar. i want to make sure --  i want to make the president --"
biden-trump,1,moderator,wallace,41,can you let him finish sir. 
biden-trump,1,democrat,biden,42,he doesn't know how to do that. 
biden-trump,1,democrat,biden,43, there is no manifesto -- 
biden-trump,1,republican,trump,44,you just lost the left. you just lost the left. you agreed with bernie sanders on a plan. 
biden-trump,1,democrat,biden,45,"folks, do we have any idea what this clown is doing? "
biden-trump,1,democrat,biden,46,"let me tell you what. he is not for any help for people needing health care because he in fact already cost 10 million people their health care that they had from their employers, because of his recession, number one. number two, there are 20 million people getting health care through obamacare now he wants to take it away. he won't ever look in your eye and say that's what he wants to do. take it away,"
biden-trump,1,republican,trump,47," no, i want to give them better health care at a much much lower price because he has no, he doesn't know how to read fixed he has never already played it to an extent he has now."
biden-trump,1,moderator,wallace,48,i know you’ll realize you're both speaking at the same time. let the president's -- go ahead sir.
biden-trump,1,republican,trump,49,"obamacare is no good. we made it better and i had a choice to make very early on. we took away the individual mandate. we guaranteed pre existing conditions but took away the individual mandate. listen, this is the way it is. and that destroyed, that they shouldn't even call it obamacare. but i had a choice to make. do i let my people run it really well, or badly. if i run it badly they'll probably blame him, but they'll blame me, but more importantly i want to help people. okay, i said you got to run it so well. that's me, and i just had a meeting with them; they said, ‘the problem is, no matter how well you run obamacare, it's a disaster. it's too expensive, premiums are too high, that it doesn't work,’ i suppose, people -- yes we do want to get rid of it. i want to get rid of something."
biden-trump,1,moderator,wallace,50,"i have to give you roughly equal time, please let the vice president talk. "
biden-trump,1,democrat,biden,51,"he has no plan for healthcare. he sends out wishful thinking, he has executive orders that have no power, he hasn't lowered drug costs for anybody, he’s been promising a health care plan since he got elected. he has none. like almost everything else he talks about, he does not have a plan. he doesn't have a plan. and the fact is, this man doesn't know what he's talking about. "
biden-trump,1,moderator,wallace,52,"one final question for you, mr. vice president, if senate republicans -- we were originally talking about the supreme court here -- if senate republicans, go ahead and confirm justice barrett, there has been talk about ending the filibuster, or even packing the court, adding to the nine justices there. you call this a distraction by the president, but in fact it wasn't brought up by the president, it was brought up by some of your democratic colleagues in congress. so my question to you as you have refused in the past to talk about it: are you willing to tell the american people tonight, whether or not you will support either ending the filibuster or packing the court."
biden-trump,1,democrat,biden,53,"whatever position i take on that, that'll become the issue -- the issue is, the american people should speak. you should go out and vote. we're in voting now, vote and let your senators know how strongly you feel. vote now, in fact let people know it is your senators. i'm not going to answer the question. "
biden-trump,1,republican,trump,54,"why won’t you answer the question -- radical left -- well, listen."
biden-trump,1,democrat,biden,55," would you shut up, man. "
biden-trump,1,republican,trump,56,who is on your list? 
biden-trump,1,moderator,wallace,57,we have ended this segment. we're going to move on to the second segment. 
biden-trump,1,democrat,biden,58,"that was a really productive segment, wasn’t it. "
biden-trump,1,democrat,biden,59,"keep yapping, man. "
biden-trump,1,republican,trump,60,"the people understand, joe. in 47 years, you've done nothing then just. "
biden-trump,1,moderator,wallace,61,"alright. the second subject is a covid-19, which is an awfully serious subject, so let's try to be -- a million cases of coronavirus in the united states and more than 200,000 people have died. even after we produce a vaccine, experts say that it could be months or even years before we come back toward anything approaching normal. my question for both of you is based on what you have said and done so far and what you have said you would do starting in 2021, why should the american people trust you more than your opponent to deal with this public health crisis going forward. in this case, the question goes to you first. sir, two minutes uninterrupted."
biden-trump,1,democrat,biden,62,"look, 200,000 dead. you said over 7 million infected in the united states. we in fact have 5% or 4% of the world's population, 20% of the deaths. 40,000 people a day are contracting covid. in addition to that, about between 750 and 1000 people, they're dying. when he was presented with that number he said ‘it is what it is’ -- what it is what it is -- because you are who you are. that's why it is. the president has no plan. he hasn't laid out anything. he knew all the way back in february how serious this crisis was. he knew it was a deadly disease. what did he do? he's on tape as acknowledging he knew. he said he didn't tell us or give people a warning of it, because he didn't want to panic the american people. you don't panic, he panicked. in addition to that, what did he do? he went in and he, we were insisting that the chinese, the people we had on the ground in china should be able to go to watch, and determine for themselves, how dangerous this was. he did not even ask xi to do that. he told us what a great job xi was doing. he said we owe him a debt of gratitude for being so transparent with us. what did he do then? he then he waited and waited and waited. he still doesn't have a plan. i laid out or i could just watch, exactly what we should be doing. and i laid out again in july, what we should be doing. we should be providing all the protective gear plus, we should be providing the money the house has passed in order to be able to go out and get people to help they need to keep their businesses, open, open schools that cost a lot of money. you should get out of your bunker and get out of the sand trap, get people the help they need to keep their businesses, open, open schools that cost a lot of money. you should get out of your bunker and get out of the car, and in your golf course the golf course and going oval office"
